Fri Mar 06 12:03:40 2026

Number of Points = 3606
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.307680	1.848501	0.000000	0.000821	1.049100

0.369146	1.797874	0.005005	0.000810	1.049067
0.436315	1.717376	0.010010	0.000798	1.048997
0.400676	1.547069	0.015014	0.000804	1.048760
0.473762	1.382849	0.020019	0.000791	1.048586
0.302982	1.331435	0.025024	0.000822	1.048432
0.309926	1.149803	0.030029	0.000821	1.048202
0.084304	1.050072	0.035034	0.000861	1.047957
-0.039761	0.952092	0.040038	0.000883	1.047768
-0.376796	0.917487	0.045043	0.000944	1.047550
-0.463054	0.819001	0.050048	0.000959	1.047379
-0.596085	0.763431	0.055053	0.000983	1.047239
-0.858968	0.671442	0.060058	0.001030	1.046985
-0.886400	0.642553	0.065062	0.001035	1.046934
-1.074094	0.481607	0.070067	0.001069	1.046630
-1.098735	0.463061	0.075072	0.001073	1.046593
-1.279754	0.300265	0.080077	0.001105	1.046290
-1.442855	0.312195	0.085082	0.001135	1.046222
-1.651926	0.209881	0.090086	0.001172	1.045983
-1.778738	0.244466	0.095091	0.001195	1.045962
-1.921642	0.094226	0.100096	0.001221	1.045695
-1.890311	0.067705	0.105101	0.001215	1.045676
-2.553365	0.079637	0.110106	0.001334	1.045351
-2.505936	0.065092	0.115110	0.001325	1.045356
-2.859575	0.200280	0.120115	0.001388	1.045349
-2.834539	0.172943	0.125120	0.001384	1.045327
-2.916159	-0.011581	0.130125	0.001399	1.045046
-3.455736	0.198383	0.135130	0.001495	1.045040
-3.204109	0.106330	0.140134	0.001450	1.045050
-3.400885	0.183697	0.145139	0.001486	1.045049
-3.384597	0.077668	0.150144	0.001483	1.044920
-3.744379	0.077737	0.155149	0.001547	1.044735
-4.520970	0.383225	0.160154	0.001686	1.044731
-3.563147	0.007685	0.165158	0.001515	1.044738
-3.989928	0.168542	0.170163	0.001591	1.044726
-4.215654	0.246436	0.175168	0.001632	1.044710
-4.235634	0.034682	0.180173	0.001635	1.044426
-4.448039	0.119297	0.185178	0.001673	1.044426
-4.047841	-0.055134	0.190182	0.001602	1.044407
-5.632492	0.410440	0.195187	0.001885	1.044193
-4.602440	0.129389	0.200192	0.001701	1.044360
-5.216241	0.324817	0.205197	0.001811	1.044296
-6.005403	0.589246	0.210202	0.001952	1.044232
-4.160888	-0.147476	0.215206	0.001622	1.044229
-4.898699	0.045504	0.220211	0.001754	1.044098
-5.473676	0.054373	0.225216	0.001857	1.043814
-4.936226	-0.178413	0.230221	0.001761	1.043789
-5.965883	0.237755	0.235226	0.001945	1.043798
-5.596554	-0.087205	0.240230	0.001879	1.043567
-6.411614	0.170622	0.245235	0.002025	1.043481
-6.168723	0.079310	0.250240	0.001982	1.043488
-5.437341	-0.207418	0.255245	0.001851	1.043493
-6.948145	0.297780	0.260250	0.002121	1.043369
-5.447984	-0.307549	0.265254	0.001853	1.043358
-6.589888	0.069200	0.270259	0.002057	1.043257
-6.758108	0.045760	0.275264	0.002087	1.043140
-6.981019	-0.031828	0.280269	0.002127	1.042925
-7.654286	0.338170	0.285274	0.002248	1.043057
-6.409292	-0.204159	0.290278	0.002025	1.042996
-7.331004	0.099896	0.295283	0.002190	1.042915
-7.450050	0.149898	0.300288	0.002211	1.042918
-6.925022	-0.230543	0.305293	0.002117	1.042696
-8.148086	0.185746	0.310298	0.002336	1.042605
-7.587045	-0.035561	0.315302	0.002236	1.042607
-7.735851	0.023029	0.320307	0.002263	1.042606
-8.028960	0.143688	0.325312	0.002315	1.042611
-8.034959	-0.064066	0.330317	0.002316	1.042339
-9.074594	0.379597	0.335322	0.002502	1.042378
-7.659645	-0.148567	0.340326	0.002249	1.042423
-8.792944	0.189960	0.345331	0.002452	1.042277
-9.112270	0.325934	0.350336	0.002509	1.042288
-7.862544	-0.218201	0.355341	0.002286	1.042228
-9.743253	0.456479	0.360346	0.002622	1.042132
-8.518209	-0.040232	0.365350	0.002403	1.042120
-8.840053	-0.026465	0.370355	0.002461	1.041972
-9.428019	0.216298	0.375360	0.002566	1.041983
-9.099412	-0.011310	0.380365	0.002507	1.041857
-10.342474	0.524572	0.385370	0.002729	1.041911
-9.024541	-0.045975	0.390374	0.002494	1.041851
-9.568112	0.017100	0.395379	0.002591	1.041652
-10.024121	0.202109	0.400384	0.002673	1.041657
-9.306695	-0.192495	0.405389	0.002544	1.041515
-11.088718	0.416919	0.410394	0.002863	1.041386
-9.988813	0.070915	0.415398	0.002667	1.041504
-10.749447	0.250177	0.420403	0.002803	1.041344
-10.944218	0.326042	0.425408	0.002838	1.041342
