Thu Sep 11 13:02:20 2025

Number of Points = 3585
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.688609	2.065530	0.000000	0.002128	1.319447

0.719547	2.085545	0.005005	0.002123	1.319478
0.717225	2.081980	0.010010	0.002123	1.319473
0.924494	2.051182	0.015014	0.002086	1.319477
0.795738	2.069363	0.020019	0.002109	1.319473
0.838995	2.054839	0.025024	0.002102	1.319464
0.803153	1.905141	0.030029	0.002109	1.319273
0.711064	1.825267	0.035034	0.002126	1.319156
1.086757	1.736243	0.040038	0.002057	1.319125
0.966296	1.533569	0.045043	0.002079	1.318852
0.692739	1.456037	0.050048	0.002130	1.318701
0.598308	1.339442	0.055053	0.002148	1.318538
0.427326	1.180070	0.060058	0.002180	1.318308
0.426440	1.100241	0.065062	0.002180	1.318210
0.290170	0.890697	0.070067	0.002205	1.317925
0.307263	0.776522	0.075072	0.002203	1.317789
0.210332	0.640858	0.080077	0.002221	1.317603
0.098332	0.464129	0.085082	0.002242	1.317363
0.113700	0.299013	0.090086	0.002239	1.317164
0.068767	0.092077	0.095091	0.002248	1.316901
0.049255	-0.141426	0.100096	0.002252	1.316611
-0.017275	-0.377064	0.105101	0.002264	1.316309
-0.052563	-0.641312	0.110106	0.002271	1.315977
-0.222045	-0.874081	0.115110	0.002303	1.315657
-0.258033	-1.142533	0.120115	0.002310	1.315320
-0.548331	-1.339719	0.125120	0.002364	1.315018
-0.639031	-1.573386	0.130125	0.002381	1.314713
-1.188004	-1.677527	0.135130	0.002482	1.314471
-2.096400	-1.744729	0.140134	0.002650	1.314200
-8.497086	-0.276091	0.145139	0.003828	1.314674
-3.940098	-0.225856	0.150144	0.002989	1.315680
-2.806990	-0.352394	0.155149	0.002780	1.315759
-2.661834	-0.370489	0.160154	0.002754	1.315767
-2.455044	-0.474813	0.165158	0.002716	1.315681
-2.686726	-0.617063	0.170163	0.002759	1.315459
-2.764793	-0.606665	0.175168	0.002774	1.315455
-3.129915	-0.535453	0.180173	0.002841	1.315467
-3.332516	-0.571773	0.185178	0.002879	1.315380
-3.212194	-0.779526	0.190182	0.002857	1.315150
-3.799576	-0.685136	0.195187	0.002965	1.315144
-3.834794	-0.672874	0.200192	0.002972	1.315151
-4.069176	-0.632550	0.205197	0.003015	1.315152
-4.339147	-0.589840	0.210202	0.003065	1.315148
-4.054606	-0.641434	0.215206	0.003013	1.315143
-4.194477	-0.609699	0.220211	0.003039	1.315153
-4.248513	-0.610685	0.225216	0.003049	1.315140
-4.102198	-0.693865	0.230221	0.003022	1.315069
-5.150416	-0.588874	0.235226	0.003216	1.314980
-4.362972	-0.752919	0.240230	0.003071	1.314942
-5.142152	-0.693969	0.245235	0.003215	1.314852
-5.373075	-0.661932	0.250240	0.003257	1.314843
