Fri Dec 12 12:22:15 2025

Number of Points = 3585
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.033931	1.627422	0.000000	0.001911	1.320571

1.365826	1.550480	0.005005	0.001850	1.320545
0.608073	1.676119	0.010010	0.001989	1.320542
0.936062	1.554503	0.015014	0.001929	1.320460
1.297423	1.295410	0.020019	0.001863	1.320218
0.652898	1.241488	0.025024	0.001982	1.320019
0.467711	1.198538	0.030029	0.002016	1.319928
0.390670	1.211458	0.035034	0.002031	1.319927
0.138069	1.083684	0.040038	0.002078	1.319718
0.735108	0.884494	0.045043	0.001968	1.319598
0.727214	0.647422	0.050048	0.001970	1.319306
0.184349	0.573364	0.055053	0.002070	1.319103
0.520999	0.367820	0.060058	0.002009	1.318921
0.389201	0.174406	0.065062	0.002033	1.318657
0.272831	-0.053703	0.070067	0.002055	1.318353
-0.147747	-0.204662	0.075072	0.002133	1.318081
-0.507391	-0.220973	0.080077	0.002199	1.317986
-0.592818	-0.414109	0.085082	0.002215	1.317731
-0.319789	-0.560384	0.090086	0.002165	1.317609
-0.385038	-0.721459	0.095091	0.002178	1.317397
-0.705680	-0.858396	0.100096	0.002237	1.317163
-0.465763	-1.135171	0.105101	0.002193	1.316873
-1.668080	-1.183880	0.110106	0.002415	1.316564
-7.020305	0.118038	0.115110	0.003400	1.317049
-3.054976	-0.018925	0.120115	0.002670	1.317703
-2.497296	-0.081860	0.125120	0.002568	1.317742
-2.302875	-0.120220	0.130125	0.002532	1.317735
-2.196640	-0.142321	0.135130	0.002513	1.317729
-2.429315	-0.278833	0.140134	0.002556	1.317514
-2.833527	-0.228385	0.145139	0.002631	1.317491
-2.946258	-0.205090	0.150144	0.002652	1.317496
-2.741991	-0.238108	0.155149	0.002614	1.317498
-2.896622	-0.215431	0.160154	0.002643	1.317493
-3.005336	-0.395048	0.165158	0.002663	1.317251
-3.753625	-0.337257	0.170163	0.002801	1.317166
-3.834436	-0.315415	0.175168	0.002816	1.317176
-3.499885	-0.355451	0.180173	0.002755	1.317196
-4.545505	-0.092842	0.185178	0.002948	1.317301
-3.616930	-0.131608	0.190182	0.002777	1.317445
-4.124661	-0.277512	0.195187	0.002871	1.317161
-4.546280	-0.028716	0.200192	0.002948	1.317378
-3.464324	-0.349606	0.205197	0.002750	1.317209
-4.417879	-0.222752	0.210202	0.002925	1.317167
-4.599384	-0.187819	0.215206	0.002959	1.317171
-4.427034	-0.223208	0.220211	0.002928	1.317164
-4.634051	-0.437579	0.225216	0.002966	1.316858
-5.790931	-0.133174	0.230221	0.003179	1.316991
-5.152092	-0.098368	0.235226	0.003062	1.317165
-4.411854	-0.347595	0.240230	0.002926	1.317013
-5.378161	-0.319808	0.245235	0.003104	1.316847
-5.747950	-0.253969	0.250240	0.003172	1.316850
-6.040840	-0.205727	0.255245	0.003226	1.316848
-6.203559	0.013793	0.260250	0.003256	1.317084
-4.575361	-0.376006	0.265254	0.002957	1.316943
-5.698619	-0.264481	0.270259	0.003164	1.316847
-6.279736	-0.161989	0.275264	0.003271	1.316852
-5.802047	-0.421759	0.280269	0.003184	1.316632
-8.165678	0.070860	0.285274	0.003619	1.316745
-5.441710	-0.299995	0.290278	0.003118	1.316855
-6.128581	-0.382557	0.295283	0.003244	1.316611
-7.423174	-0.061933	0.300288	0.003483	1.316736
-6.023404	-0.395994	0.305293	0.003226	1.316616
-7.195860	-0.272614	0.310298	0.003442	1.316524
-7.364670	-0.238684	0.315302	0.003473	1.316530
-7.108808	-0.286422	0.320307	0.003426	1.316525
-7.160676	-0.271327	0.325312	0.003436	1.316532
-7.347861	-0.240461	0.330317	0.003471	1.316531
-7.406992	-0.237313	0.335322	0.003482	1.316522
-7.386535	-0.391912	0.340326	0.003478	1.316337
-8.460418	-0.190880	0.345331	0.003676	1.316360
-7.595497	-0.376563	0.350336	0.003517	1.316312
-8.573804	-0.202141	0.355341	0.003697	1.316322
-8.170177	-0.297540	0.360346	0.003623	1.316289
-8.689406	-0.092177	0.365350	0.003719	1.316433
-7.752901	-0.387723	0.370355	0.003547	1.316264
-8.277592	-0.332893	0.375360	0.003644	1.316222
-8.742840	-0.255478	0.380365	0.003730	1.316220
-9.449469	-0.130596	0.385370	0.003860	1.316227
-8.421216	-0.309620	0.390374	0.003671	1.316220
-9.357478	-0.336753	0.395379	0.003844	1.315992
-9.576309	-0.110927	0.400384	0.003884	1.316224
-8.531382	-0.451459	0.405389	0.003692	1.316023
-11.018966	-0.052529	0.410394	0.004150	1.315995
-9.148558	-0.183840	0.415398	0.003806	1.316222
-8.594686	-0.433952	0.420403	0.003704	1.316030
-10.552830	-0.211333	0.425408	0.004065	1.315897
-9.824822	-0.328162	0.430413	0.003931	1.315904
-11.308208	-0.005342	0.435418	0.004205	1.315992
-9.756523	-0.074889	0.440422	0.003919	1.316228
-8.939718	-0.462765	0.445427	0.003769	1.315922
-11.257588	-0.208447	0.450432	0.004196	1.315752
-10.314352	-0.239762	0.455437	0.004023	1.315910
-11.009820	-0.136613	0.460442	0.004151	1.315892
-11.161623	-0.103081	0.465446	0.004179	1.315901
-9.905921	-0.409851	0.470451	0.003948	1.315785
-11.609783	-0.279141	0.475456	0.004262	1.315591
-12.060071	-0.083920	0.480461	0.004345	1.315737
-11.270574	-0.093800	0.485466	0.004200	1.315889
-10.320908	-0.333382	0.490470	0.004025	1.315792
-11.917088	-0.233489	0.495475	0.004320	1.315582
-12.018391	-0.211240	0.500480	0.004339	1.315588
-12.636159	-0.035567	0.505485	0.004452	1.315675
-11.561328	-0.206709	0.510490	0.004255	1.315688
-12.078545	-0.190644	0.515494	0.004350	1.315600
-12.479255	-0.127833	0.520499	0.004424	1.315594
-12.642027	-0.092001	0.525504	0.004454	1.315604
-11.356030	-0.313830	0.530509	0.004218	1.315599
-13.428977	-0.166274	0.535514	0.004600	1.315349
-12.730998	-0.080328	0.540518	0.004471	1.315599
-12.689302	-0.184221	0.545523	0.004464	1.315480
-12.686613	-0.114899	0.550528	0.004464	1.315565
-12.842688	-0.318528	0.555533	0.004493	1.315283
-13.512114	-0.209979	0.560538	0.004616	1.315277
-14.786263	0.189126	0.565542	0.004851	1.315502
-12.207428	-0.284581	0.570547	0.004377	1.315456
-13.463777	-0.212770	0.575552	0.004608	1.315282
-13.292410	-0.236989	0.580557	0.004577	1.315288
-14.679567	-0.146382	0.585562	0.004832	1.315111
-14.850320	0.209651	0.590566	0.004864	1.315512
-12.192315	-0.474885	0.595571	0.004375	1.315224
-15.196178	-0.133077	0.600576	0.004928	1.315019
-14.107049	-0.097439	0.605581	0.004728	1.315289
-15.231049	-0.077560	0.610586	0.004935	1.315079
-14.643996	-0.008753	0.615590	0.004827	1.315286
-13.890750	-0.213851	0.620595	0.004689	1.315190
-14.706696	-0.246989	0.625600	0.004839	1.314980
-14.794726	-0.229911	0.630605	0.004856	1.314982
-15.875471	-0.045574	0.635610	0.005055	1.314984
-15.554122	-0.094990	0.640614	0.004996	1.314989
-15.283418	-0.151597	0.645619	0.004946	1.314976
-15.467048	-0.120627	0.650624	0.004980	1.314976
-15.032136	-0.193713	0.655629	0.004901	1.314976
-15.762303	-0.276224	0.660634	0.005035	1.314723
-16.606577	0.076236	0.665638	0.005191	1.314980
-15.747555	-0.173379	0.670643	0.005033	1.314851
