Fri Dec 12 09:54:50 2025

Number of Points = 3569
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.157397	1.680082	0.000000	0.002073	1.319664

1.676227	1.585301	0.005005	0.001978	1.319655
1.709228	1.531235	0.010010	0.001973	1.319595
1.687519	1.350606	0.015014	0.001977	1.319369
1.016899	1.400343	0.020019	0.002101	1.319291
0.624089	1.463553	0.025024	0.002174	1.319287
1.251682	1.298704	0.030029	0.002058	1.319214
1.099143	1.129041	0.035034	0.002087	1.318975
1.028277	1.003747	0.040038	0.002101	1.318806
1.305888	0.813711	0.045043	0.002050	1.318631
0.393811	0.728918	0.050048	0.002218	1.318338
0.265376	0.765700	0.055053	0.002242	1.318356
-0.359788	0.864217	0.060058	0.002358	1.318347
0.494702	0.629398	0.065062	0.002201	1.318236
0.215609	0.525205	0.070067	0.002253	1.318050
-0.481865	0.633667	0.075072	0.002381	1.318038
0.191671	0.288353	0.080077	0.002258	1.317754
-0.362483	0.340589	0.085082	0.002360	1.317703
-1.185934	0.319400	0.090086	0.002512	1.317506
-0.556169	0.252978	0.095091	0.002397	1.317554
-0.633809	0.216184	0.100096	0.002411	1.317493
-1.059735	0.152725	0.105101	0.002490	1.317326
-1.274202	0.049236	0.110106	0.002530	1.317155
-0.716351	-0.040312	0.115110	0.002428	1.317160
-1.227398	-0.165416	0.120115	0.002523	1.316900
-1.880448	-0.096599	0.125120	0.002643	1.316849
-1.423478	-0.170099	0.130125	0.002559	1.316853
-1.658193	-0.287040	0.135130	0.002603	1.316661
-2.504690	-0.249827	0.140134	0.002759	1.316530
-1.946101	-0.343073	0.145139	0.002657	1.316531
-3.304876	-0.119551	0.150144	0.002907	1.316523
-3.780041	0.218414	0.155149	0.002995	1.316838
-3.530387	0.296696	0.160154	0.002949	1.316986
-2.655147	0.292694	0.165158	0.002788	1.317162
-2.519126	0.034672	0.170163	0.002764	1.316874
-3.745015	0.211887	0.175168	0.002990	1.316836
-3.359396	0.367763	0.180173	0.002919	1.317107
-3.086159	0.099713	0.185178	0.002869	1.316835
-3.656876	0.206295	0.190182	0.002975	1.316846
-3.256155	0.133591	0.195187	0.002901	1.316840
-3.203679	0.126885	0.200192	0.002892	1.316842
-3.603661	0.029707	0.205197	0.002966	1.316640
-4.089673	0.022026	0.210202	0.003056	1.316529
-3.577135	-0.064573	0.215206	0.002962	1.316529
-3.360166	-0.203875	0.220211	0.002923	1.316403
-4.695132	-0.139583	0.225216	0.003169	1.316204
-4.636207	-0.136183	0.230221	0.003158	1.316220
-3.889161	-0.262725	0.235226	0.003021	1.316219
-4.557568	-0.152081	0.240230	0.003144	1.316216
-4.322816	-0.255811	0.245235	0.003102	1.316137
-4.748423	-0.379026	0.250240	0.003180	1.315897
-5.507870	-0.248326	0.255245	0.003321	1.315899
-5.925328	-0.094521	0.260250	0.003398	1.316001
-5.218719	-0.046000	0.265254	0.003268	1.316207
-5.008147	-0.330580	0.270259	0.003230	1.315901
-5.941962	-0.183538	0.275264	0.003402	1.315887
-5.912759	-0.178038	0.280269	0.003397	1.315900
-5.546968	-0.246296	0.285274	0.003330	1.315891
-6.311295	-0.107073	0.290278	0.003471	1.315903
-6.448377	-0.085836	0.295283	0.003497	1.315900
-6.210503	-0.130473	0.300288	0.003453	1.315894
-6.007547	-0.159086	0.305293	0.003416	1.315901
-6.307878	-0.112130	0.310298	0.003472	1.315896
-5.921092	-0.335519	0.315302	0.003401	1.315702
-7.017684	-0.243158	0.320307	0.003603	1.315587
-9.472340	0.371165	0.325312	0.004055	1.315831
-7.491711	0.359532	0.330317	0.003691	1.316227
-6.112128	0.093110	0.335322	0.003437	1.316186
-6.576541	-0.061134	0.340326	0.003523	1.315900
-6.912798	-0.010514	0.345331	0.003586	1.315892
-6.823742	-0.273062	0.350336	0.003570	1.315588
-7.696596	-0.123355	0.355341	0.003731	1.315590
-8.043713	-0.063326	0.360346	0.003795	1.315591
-8.287044	-0.022515	0.365350	0.003840	1.315590
-7.604796	-0.137527	0.370355	0.003715	1.315591
-8.052937	-0.068159	0.375360	0.003798	1.315582
-8.179780	-0.032945	0.380365	0.003822	1.315599
-7.198682	-0.376784	0.385370	0.003641	1.315380
-8.624202	-0.219754	0.390374	0.003904	1.315276
-9.127602	-0.130474	0.395379	0.003997	1.315281
-9.055114	-0.146993	0.400384	0.003984	1.315275
