Thu Jul 02 10:06:31 2026

Number of Points = 3547
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
3.375232	2.047340	0.000000	0.000916	1.054119

3.221376	2.151561	0.005005	0.000944	1.054174
3.175425	2.224822	0.010010	0.000953	1.054246
3.275811	2.117318	0.015014	0.000935	1.054154
3.231387	2.103279	0.020019	0.000944	1.054110
3.295855	2.079965	0.025024	0.000933	1.054111
3.192789	2.120511	0.030029	0.000952	1.054109
3.264268	1.902673	0.035034	0.000940	1.053855
3.365567	1.827945	0.040038	0.000922	1.053807
3.182405	1.672944	0.045043	0.000956	1.053503
3.261507	1.578536	0.050048	0.000942	1.053417
3.075533	1.528545	0.055053	0.000976	1.053250
2.949406	1.394440	0.060058	0.000999	1.053003
3.069542	1.214686	0.065062	0.000979	1.052826
3.115732	0.987382	0.070067	0.000971	1.052546
3.042829	0.792528	0.075072	0.000985	1.052246
2.870596	0.647063	0.080077	0.001016	1.051959
2.755144	0.463823	0.085082	0.001037	1.051652
2.412225	0.380039	0.090086	0.001099	1.051357
2.050903	0.348505	0.095091	0.001165	1.051121
1.824431	0.369785	0.100096	0.001206	1.051028
1.542944	0.267718	0.105101	0.001257	1.050740
1.410721	0.320760	0.110106	0.001281	1.050739
1.293444	0.149938	0.115110	0.001303	1.050447
1.165851	0.171819	0.120115	0.001326	1.050407
1.152283	0.014547	0.125120	0.001329	1.050188
1.229393	-0.106012	0.130125	0.001316	1.050066
1.125049	-0.281196	0.135130	0.001336	1.049775
0.907007	-0.340424	0.140134	0.001375	1.049578
0.697570	-0.333706	0.145139	0.001413	1.049474
0.504126	-0.487205	0.150144	0.001449	1.049164
0.269529	-0.402931	0.155149	0.001491	1.049150
0.182346	-0.597488	0.160154	0.001507	1.048842
0.228913	-0.632968	0.165158	0.001500	1.048818
-0.014818	-0.758821	0.170163	0.001544	1.048518
-0.320894	-0.627565	0.175168	0.001599	1.048529
-0.333990	-0.806683	0.180173	0.001602	1.048281
-0.327746	-0.827853	0.185178	0.001602	1.048254
-0.639127	-0.923961	0.190182	0.001658	1.047958
-0.697583	-0.903313	0.195187	0.001669	1.047952
-0.808511	-1.078398	0.200192	0.001690	1.047657
-1.039263	-1.000885	0.205197	0.001732	1.047636
-1.145832	-1.151380	0.210202	0.001751	1.047376
-1.381078	-1.094128	0.215206	0.001794	1.047326
-1.401961	-1.168189	0.220211	0.001798	1.047214
-1.637595	-1.223590	0.225216	0.001841	1.047012
-1.873290	-1.128348	0.230221	0.001884	1.047012
-2.014774	-1.215078	0.235226	0.001910	1.046819
-2.385558	-1.163843	0.240230	0.001977	1.046688
-2.354057	-1.186232	0.245235	0.001972	1.046673
-2.336400	-1.181711	0.250240	0.001969	1.046686
-2.453840	-1.203633	0.255245	0.001991	1.046593
-2.474140	-1.354172	0.260250	0.001995	1.046378
-2.779514	-1.228271	0.265254	0.002051	1.046382
-2.843923	-1.331725	0.270259	0.002063	1.046207
-3.186994	-1.295364	0.275264	0.002125	1.046071
-3.382912	-1.225045	0.280269	0.002160	1.046059
-3.144942	-1.318619	0.285274	0.002119	1.046059
-3.470722	-1.275667	0.290278	0.002177	1.045941
-3.480529	-1.405872	0.295283	0.002180	1.045759
-3.585793	-1.351486	0.300288	0.002199	1.045774
-3.895187	-1.233536	0.305293	0.002255	1.045765
-3.923155	-1.433948	0.310298	0.002261	1.045480
-4.308646	-1.307884	0.315302	0.002331	1.045441
-4.305476	-1.310303	0.320307	0.002331	1.045438
-4.109209	-1.385238	0.325312	0.002296	1.045440
-4.565013	-1.355963	0.330317	0.002378	1.045234
-4.499424	-1.460320	0.335322	0.002367	1.045127
-4.985002	-1.266273	0.340326	0.002455	1.045127
-4.912849	-1.302387	0.345331	0.002442	1.045115
-4.727925	-1.468570	0.350336	0.002410	1.044989
-5.558983	-1.204367	0.355341	0.002559	1.044897
-5.020714	-1.483111	0.360346	0.002464	1.044809
-5.237866	-1.396056	0.365350	0.002503	1.044808
-5.371038	-1.374799	0.370355	0.002528	1.044764
-5.589359	-1.473895	0.375360	0.002567	1.044512
-5.926957	-1.344233	0.380365	0.002628	1.044504
-5.515366	-1.510728	0.385370	0.002555	1.044499
