Tue May 26 11:20:23 2026

Number of Points = 6601
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.864020	1.742144	0.000000	0.000787	1.043267

0.752803	1.552617	0.005005	0.000807	1.042957
0.660352	1.568580	0.010010	0.000825	1.042928
0.651363	1.449559	0.015014	0.000827	1.042765
0.643832	1.346994	0.020019	0.000829	1.042624
0.636990	1.165623	0.025024	0.000831	1.042380
0.658887	1.047769	0.030029	0.000827	1.042235
0.669689	0.861221	0.035034	0.000826	1.041993
0.679609	0.612452	0.040038	0.000825	1.041669
0.500687	0.471737	0.045043	0.000858	1.041388
0.246799	0.374244	0.050048	0.000904	1.041124
0.221436	0.223067	0.055053	0.000909	1.040910
0.374572	-0.053990	0.060058	0.000882	1.040623
0.368697	-0.320815	0.065062	0.000884	1.040266
0.469398	-0.624355	0.070067	0.000866	1.039917
0.113759	-0.767837	0.075072	0.000931	1.039539
-0.427359	-0.809537	0.080077	0.001028	1.039197
-0.680497	-0.893541	0.085082	0.001074	1.038951
-0.557659	-1.123279	0.090086	0.001053	1.038711
-0.734222	-1.248780	0.095091	0.001085	1.038450
-0.871259	-1.380343	0.100096	0.001110	1.038202
-0.985378	-1.543176	0.105101	0.001131	1.037925
-1.602034	-1.510007	0.110106	0.001242	1.037643
-1.305793	-1.772213	0.115110	0.001190	1.037450
-1.194368	-2.028522	0.120115	0.001170	1.037168
-1.355486	-2.211756	0.125120	0.001200	1.036839
-1.377328	-2.431501	0.130125	0.001204	1.036534
-1.890173	-2.446726	0.135130	0.001297	1.036242
-1.927841	-2.596236	0.140134	0.001304	1.036022
-2.077577	-2.713045	0.145139	0.001331	1.035787
-2.326445	-2.868063	0.150144	0.001376	1.035448
-2.476984	-2.957549	0.155149	0.001404	1.035248
-2.772329	-2.998644	0.160154	0.001457	1.035036
-3.198533	-2.979596	0.165158	0.001534	1.034834
-3.552498	-2.846898	0.170163	0.001598	1.034822
-4.399979	-2.654830	0.175168	0.001750	1.034627
-8.564122	-0.637588	0.180173	0.002496	1.035102
-5.689289	-1.301843	0.185178	0.001982	1.035737
-6.847777	-0.548852	0.190182	0.002190	1.036122
-4.232435	-1.420142	0.195187	0.001723	1.036345
-4.760478	-1.419301	0.200192	0.001818	1.036066
-4.199743	-1.631438	0.205197	0.001718	1.036079
-4.603939	-1.479289	0.210202	0.001791	1.036065
-5.631363	-1.063737	0.215206	0.001975	1.036072
-5.280329	-1.202983	0.220211	0.001913	1.036071
-5.972402	-0.922664	0.225216	0.002038	1.036076
-4.896642	-1.354886	0.230221	0.001846	1.036069
-4.938887	-1.334068	0.235226	0.001854	1.036072
-5.963912	-0.923183	0.240230	0.002038	1.036074
-5.242929	-1.340379	0.245235	0.001910	1.035900
-6.865526	-0.675125	0.250240	0.002200	1.035923
-5.206905	-1.315805	0.255245	0.001904	1.035948
-6.141250	-1.067591	0.260250	0.002072	1.035782
-6.081096	-1.083953	0.265254	0.002062	1.035790
-5.303622	-1.533855	0.270259	0.001924	1.035602
-7.832515	-0.567146	0.275264	0.002376	1.035547
-6.144519	-1.095118	0.280269	0.002075	1.035737
-7.399192	-0.710671	0.285274	0.002300	1.035582
-6.426551	-1.041606	0.290278	0.002127	1.035655
-6.635221	-1.116909	0.295283	0.002165	1.035443
-7.380915	-0.817587	0.300288	0.002299	1.035445
-7.534230	-0.748542	0.305293	0.002327	1.035454
-7.704952	-0.688402	0.310298	0.002358	1.035441
-8.067316	-0.490435	0.315302	0.002423	1.035511
-5.799557	-1.460341	0.320307	0.002018	1.035420
-8.234277	-0.703626	0.325312	0.002454	1.035136
-7.770688	-0.811418	0.330317	0.002372	1.035237
-7.904444	-0.834090	0.335322	0.002397	1.035134
-8.421357	-0.623447	0.340326	0.002490	1.035139
-6.991814	-1.218799	0.345331	0.002235	1.035102
-8.743136	-0.734880	0.350336	0.002548	1.034817
-8.341007	-0.804930	0.355341	0.002477	1.034935
-8.739009	-0.736301	0.360346	0.002549	1.034814
-8.919553	-0.658299	0.365350	0.002582	1.034820
-7.844762	-1.092979	0.370355	0.002390	1.034810
-9.984783	-0.409449	0.375360	0.002774	1.034584
-9.117788	-0.572736	0.380365	0.002619	1.034824
-8.494462	-0.928894	0.385370	0.002508	1.034679
-10.268895	-0.279338	0.390374	0.002826	1.034601
-8.698965	-0.869300	0.395379	0.002546	1.034646
-10.351856	-0.309249	0.400384	0.002842	1.034514
-9.563265	-0.612209	0.405389	0.002702	1.034527
-8.177642	-1.269292	0.410394	0.002455	1.034386
-10.967075	-0.300445	0.415398	0.002954	1.034195
-9.846693	-0.740764	0.420403	0.002754	1.034201
-10.492384	-0.487537	0.425408	0.002870	1.034194
-11.038084	-0.142418	0.430413	0.002969	1.034362
-9.315946	-0.931015	0.435418	0.002661	1.034224
-10.819267	-0.346924	0.440422	0.002931	1.034203
-9.961465	-0.835716	0.445427	0.002778	1.034006
-11.118034	-0.463873	0.450432	0.002985	1.033886
-11.622404	-0.257452	0.455437	0.003076	1.033892
-10.864576	-0.565869	0.460442	0.002941	1.033881
-12.064504	-0.082239	0.465446	0.003157	1.033887
-10.939410	-0.528909	0.470451	0.002956	1.033887
-10.735572	-0.627599	0.475456	0.002920	1.033862
-12.036338	-0.204781	0.480461	0.003153	1.033734
-10.931154	-0.706876	0.485466	0.002956	1.033650
-12.096025	-0.296842	0.490470	0.003165	1.033576
-11.630468	-0.481003	0.495475	0.003083	1.033576
-11.630445	-0.614386	0.500480	0.003083	1.033397
-12.232218	-0.413763	0.505485	0.003191	1.033344
-11.616933	-0.661955	0.510490	0.003082	1.033338
-13.430940	-0.079328	0.515494	0.003407	1.033150
-11.726842	-0.654205	0.520499	0.003103	1.033286
-12.384655	-0.607453	0.525504	0.003221	1.032998
-13.242904	-0.251296	0.530509	0.003375	1.033016
-12.334731	-0.614892	0.535514	0.003213	1.033011
-13.789290	-0.201239	0.540518	0.003474	1.032789
-12.565270	-0.587805	0.545523	0.003256	1.032922
-13.484030	-0.395723	0.550528	0.003421	1.032689
-13.895791	-0.225177	0.555533	0.003495	1.032696
-12.928841	-0.610423	0.560538	0.003323	1.032694
-14.032634	-0.169750	0.565542	0.003521	1.032694
-13.700915	-0.304084	0.570547	0.003462	1.032689
-13.651216	-0.531723	0.575552	0.003454	1.032411
-14.666513	-0.152226	0.580557	0.003636	1.032376
-13.802916	-0.500015	0.585562	0.003482	1.032369
-14.389629	-0.256334	0.590566	0.003588	1.032380
-14.474469	-0.226013	0.595571	0.003603	1.032374
-14.001902	-0.564665	0.600576	0.003520	1.032172
-15.495155	0.038803	0.605581	0.003787	1.032182
-14.050696	-0.578858	0.610586	0.003529	1.032124
-14.834711	-0.305064	0.615590	0.003670	1.032071
-15.528479	-0.026668	0.620595	0.003795	1.032072
-14.423548	-0.605788	0.625600	0.003598	1.031885
-15.883512	-0.120558	0.630605	0.003860	1.031755
-15.363192	-0.336573	0.635610	0.003767	1.031742
-14.990659	-0.486518	0.640614	0.003701	1.031738
-15.560567	-0.337143	0.645619	0.003804	1.031633
-15.631217	-0.466093	0.650624	0.003817	1.031422
-16.113095	-0.261874	0.655629	0.003904	1.031436
-15.578295	-0.476561	0.660634	0.003809	1.031432
-16.546370	-0.292212	0.665638	0.003983	1.031163
-16.680199	-0.036439	0.670643	0.004007	1.031431
-15.716944	-0.575939	0.675648	0.003835	1.031221
-16.490360	-0.341425	0.680653	0.003974	1.031122
-16.756537	-0.235478	0.685658	0.004023	1.031120
-16.674481	-0.423695	0.690662	0.004009	1.030911
-17.038161	-0.229105	0.695667	0.004074	1.030975
-17.174795	-0.290185	0.700672	0.004099	1.030820
-17.213083	-0.258296	0.705677	0.004107	1.030840
-16.588853	-0.519269	0.710682	0.003996	1.030822
-17.305681	-0.476085	0.715686	0.004125	1.030497
-18.292809	-0.080012	0.720691	0.004302	1.030499
-17.135405	-0.537751	0.725696	0.004095	1.030502
-18.017901	-0.185400	0.730701	0.004254	1.030501
-17.902171	-0.232840	0.735706	0.004234	1.030497
-17.603645	-0.522985	0.740710	0.004181	1.030267
-18.508122	-0.227753	0.745715	0.004343	1.030179
-18.326858	-0.294910	0.750720	0.004311	1.030184
-18.543199	-0.200256	0.755725	0.004351	1.030193
-18.601319	-0.185833	0.760730	0.004362	1.030180
-18.167756	-0.508689	0.765734	0.004285	1.029978
-19.654689	0.103080	0.770739	0.004551	1.030002
-18.316425	-0.473889	0.775744	0.004313	1.029942
-18.678903	-0.385834	0.780749	0.004378	1.029865
-19.591416	-0.022981	0.785754	0.004542	1.029862
-19.054535	-0.386003	0.790758	0.004446	1.029662
-19.662391	-0.221500	0.795763	0.004556	1.029556
-19.179239	-0.407086	0.800768	0.004470	1.029564
-19.650407	-0.273551	0.805773	0.004555	1.029490
-20.003561	-0.076425	0.810778	0.004619	1.029563
-19.835906	-0.330315	0.815782	0.004589	1.029312
-20.485636	-0.121432	0.820787	0.004706	1.029244
-19.731135	-0.432064	0.825792	0.004572	1.029228
-19.899423	-0.353100	0.830797	0.004602	1.029242
-20.974909	0.070933	0.835802	0.004795	1.029235
-19.997378	-0.448735	0.840806	0.004621	1.029059
-20.616270	-0.294576	0.845811	0.004733	1.028934
-20.329558	-0.436140	0.850816	0.004682	1.028896
-21.130815	-0.313573	0.855821	0.004826	1.028632
-21.532052	-0.161706	0.860826	0.004898	1.028619
-20.665845	-0.504440	0.865830	0.004744	1.028620
-21.462131	-0.184933	0.870835	0.004887	1.028622
-21.168091	-0.308304	0.875840	0.004835	1.028612
-21.117207	-0.499842	0.880845	0.004826	1.028381
-21.858350	-0.211180	0.885850	0.004960	1.028371
-21.526020	-0.346587	0.890854	0.004901	1.028365
-22.495471	-0.091347	0.895859	0.005075	1.028188
-21.678206	-0.381109	0.900864	0.004929	1.028234
-22.380520	-0.241603	0.905869	0.005055	1.028045
-22.359393	-0.253696	0.910874	0.005052	1.028038
-21.399035	-0.702124	0.915878	0.004881	1.027948
-23.329879	-0.095478	0.920883	0.005227	1.027729
-23.051182	-0.132421	0.925888	0.005178	1.027827
-21.825698	-0.667461	0.930893	0.004959	1.027762
-23.000930	-0.228481	0.935898	0.005170	1.027721
-23.262857	-0.327845	0.940902	0.005218	1.027447
-23.423820	-0.288190	0.945907	0.005247	1.027413
-23.439146	-0.225266	0.950912	0.005250	1.027487
-23.431178	-0.290623	0.955917	0.005249	1.027402
-23.461004	-0.283642	0.960922	0.005255	1.027394
-22.924947	-0.560399	0.965926	0.005160	1.027307
-24.469393	-0.100883	0.970931	0.005437	1.027098
-24.286311	-0.176608	0.975936	0.005405	1.027092
-23.474380	-0.490102	0.980941	0.005260	1.027103
-24.261189	-0.188065	0.985946	0.005402	1.027086
-23.989778	-0.420551	0.990950	0.005354	1.026918
-24.760819	-0.218567	0.995955	0.005492	1.026776
-24.452412	-0.347058	1.000960	0.005438	1.026767

-24.701509	-0.196413	1.010957	0.005483	1.026832
-24.666973	-0.257318	1.020954	0.005478	1.026765
-24.564176	-0.293881	1.030950	0.005461	1.026767
-24.540349	-0.150687	1.040947	0.005458	1.026968
-23.897439	-0.451951	1.050944	0.005344	1.026904
-24.563195	-0.220058	1.060941	0.005465	1.026856
-24.581764	-0.118111	1.070938	0.005469	1.026979
-23.761248	-0.450795	1.080934	0.005324	1.026967
-24.302899	-0.281488	1.090931	0.005422	1.026901
-24.257086	-0.150362	1.100928	0.005415	1.027098
-24.046652	-0.231028	1.110925	0.005378	1.027098
-24.442126	-0.026386	1.120922	0.005450	1.027158
-23.658149	-0.235966	1.130918	0.005311	1.027291
-23.748900	-0.292230	1.140915	0.005329	1.027164
-24.031317	-0.014595	1.150912	0.005380	1.027381
-23.481497	-0.208406	1.160909	0.005283	1.027412
-23.706233	-0.146772	1.170906	0.005325	1.027371
-23.457770	-0.216158	1.180902	0.005281	1.027407
-23.514915	-0.211810	1.190899	0.005293	1.027378
-23.525686	-0.184542	1.200896	0.005296	1.027405
-23.744464	-0.094296	1.210893	0.005336	1.027406
-23.570263	-0.059904	1.220890	0.005306	1.027541
-23.145099	-0.251418	1.230886	0.005231	1.027508
-23.312334	-0.101830	1.240883	0.005263	1.027615
-22.727175	-0.271521	1.250880	0.005159	1.027696
-23.338250	-0.115363	1.260877	0.005270	1.027576
-23.265888	-0.032083	1.270874	0.005258	1.027722
-22.752239	-0.237500	1.280870	0.005167	1.027718
-22.888875	-0.178161	1.290867	0.005193	1.027721
-22.741166	-0.236178	1.300864	0.005168	1.027718
-23.114677	-0.079329	1.310861	0.005236	1.027725
-22.651764	-0.269566	1.320858	0.005154	1.027714
-22.666188	-0.257854	1.330854	0.005158	1.027718
-22.687884	-0.116503	1.340851	0.005163	1.027892
-22.089821	-0.282715	1.350848	0.005057	1.027985
-22.718523	-0.100789	1.360845	0.005171	1.027890
-22.670227	-0.094231	1.370842	0.005163	1.027920
-21.997982	-0.269689	1.380838	0.005044	1.028040
-22.228106	-0.175745	1.390835	0.005087	1.028040
-22.378107	-0.115003	1.400832	0.005115	1.028037
-22.231021	-0.170899	1.410829	0.005090	1.028037
-22.233835	-0.169194	1.420826	0.005091	1.028035
-22.111197	-0.206460	1.430822	0.005071	1.028046
-21.678919	-0.302587	1.440819	0.004995	1.028144
-22.104122	-0.060904	1.450816	0.005072	1.028237
-21.920362	-0.109640	1.460813	0.005040	1.028266
-21.562077	-0.313321	1.470810	0.004977	1.028181
-21.622646	-0.244142	1.480806	0.004989	1.028238
-21.486967	-0.344761	1.490803	0.004966	1.028172
-21.623993	-0.254491	1.500800	0.004992	1.028216
-21.804395	-0.190885	1.510797	0.005025	1.028202
-21.499870	-0.239917	1.520794	0.004972	1.028295
-21.150950	-0.315170	1.530790	0.004911	1.028376
-21.377621	-0.220438	1.540787	0.004953	1.028378
-21.353674	-0.229334	1.550784	0.004950	1.028376
-21.207963	-0.289597	1.560781	0.004925	1.028369
-21.330928	-0.239508	1.570778	0.004948	1.028367
-20.966931	-0.246370	1.580774	0.004884	1.028548
-21.106346	-0.184988	1.590771	0.004910	1.028552
-21.292098	-0.142610	1.600768	0.004945	1.028506
-20.573897	-0.340702	1.610765	0.004817	1.028620
-20.729385	-0.361772	1.620762	0.004846	1.028506
-20.617738	-0.316980	1.630758	0.004828	1.028621
-20.875160	-0.290074	1.640755	0.004875	1.028517
-20.938625	-0.188002	1.650752	0.004887	1.028616
-20.109664	-0.513853	1.660749	0.004740	1.028618
-20.305799	-0.459265	1.670746	0.004777	1.028583
-21.185350	-0.096760	1.680742	0.004935	1.028596
-20.434294	-0.238963	1.690739	0.004802	1.028801
-20.419550	-0.286874	1.700736	0.004801	1.028742
-20.149464	-0.250304	1.710733	0.004754	1.028931
-20.085615	-0.339326	1.720730	0.004743	1.028842
-20.433785	-0.131794	1.730726	0.004807	1.028930
-20.188717	-0.225719	1.740723	0.004764	1.028932
-20.186281	-0.227219	1.750720	0.004765	1.028927
-19.876051	-0.285846	1.760717	0.004711	1.029011
-19.786125	-0.265389	1.770714	0.004696	1.029082
-20.019135	-0.114781	1.780710	0.004739	1.029156
-19.850333	-0.216513	1.790707	0.004710	1.029106
-19.559872	-0.278851	1.800704	0.004659	1.029174
-19.371584	-0.342193	1.810701	0.004626	1.029186
-19.718204	-0.189321	1.820698	0.004690	1.029202
-19.621618	-0.196166	1.830694	0.004674	1.029240
-19.529675	-0.233552	1.840691	0.004658	1.029236
-19.239775	-0.343691	1.850688	0.004608	1.029239
-19.469594	-0.207876	1.860685	0.004650	1.029295
-19.347057	-0.246201	1.870682	0.004629	1.029305
-19.559574	-0.139594	1.880678	0.004669	1.029331
-18.879902	-0.307786	1.890675	0.004548	1.029464
-19.052816	-0.244720	1.900672	0.004580	1.029453
-18.822018	-0.267104	1.910669	0.004540	1.029542
-19.077605	-0.229466	1.920666	0.004587	1.029453
-19.142661	-0.170692	1.930662	0.004600	1.029493
-18.652135	-0.314801	1.940659	0.004513	1.029558
-18.905871	-0.210171	1.950656	0.004560	1.029559
-18.717767	-0.260135	1.960653	0.004528	1.029589
-18.870920	-0.141658	1.970650	0.004556	1.029662
-18.637396	-0.173786	1.980646	0.004516	1.029739
-18.502776	-0.219966	1.990643	0.004493	1.029746
-18.098147	-0.351416	2.000640	0.004422	1.029782
-18.483872	-0.247020	2.010637	0.004492	1.029712
-18.562614	-0.157060	2.020634	0.004507	1.029787
-18.042104	-0.399481	2.030630	0.004415	1.029736
-18.120837	-0.297918	2.040627	0.004431	1.029826
-18.124718	-0.269769	2.050624	0.004432	1.029858
-18.433705	-0.139970	2.060621	0.004489	1.029864
-18.320025	-0.140824	2.070618	0.004470	1.029919
-17.838710	-0.337452	2.080614	0.004385	1.029909
-17.966024	-0.179423	2.090611	0.004409	1.030049
-17.554456	-0.281909	2.100608	0.004336	1.030127
-17.813603	-0.257962	2.110605	0.004384	1.030018
-17.963711	-0.116404	2.120602	0.004412	1.030123
-17.295249	-0.334217	2.130598	0.004294	1.030184
-17.689827	-0.243438	2.140595	0.004365	1.030092
-17.058649	-0.463053	2.150592	0.004254	1.030131
-17.854704	-0.159376	2.160589	0.004397	1.030109
-17.401010	-0.283033	2.170586	0.004317	1.030182
-17.173951	-0.371889	2.180582	0.004278	1.030180
-17.477536	-0.245356	2.190579	0.004334	1.030184
-17.256985	-0.328688	2.200576	0.004295	1.030187
-17.198508	-0.280629	2.210573	0.004286	1.030278
-17.207077	-0.250074	2.220570	0.004289	1.030311
-17.047359	-0.269889	2.230566	0.004261	1.030366
-16.768589	-0.309495	2.240563	0.004213	1.030457
-17.005019	-0.186778	2.250560	0.004256	1.030492
-16.585138	-0.348205	2.260557	0.004182	1.030496
-16.922871	-0.211064	2.270554	0.004244	1.030496
-16.918309	-0.207376	2.280550	0.004244	1.030500
-16.727516	-0.280848	2.290547	0.004211	1.030499
-16.635467	-0.231239	2.300544	0.004196	1.030611
-16.657255	-0.176817	2.310541	0.004201	1.030668
-16.194228	-0.340116	2.320538	0.004120	1.030693
-16.725281	-0.144109	2.330534	0.004216	1.030668
-15.870357	-0.377075	2.340531	0.004064	1.030808
-16.185987	-0.351165	2.350528	0.004122	1.030671
-16.544989	-0.128004	2.360525	0.004187	1.030775
-16.134191	-0.247794	2.370522	0.004115	1.030829
-15.854528	-0.358889	2.380518	0.004066	1.030826
-15.988974	-0.298136	2.390515	0.004091	1.030832
-16.206719	-0.212070	2.400512	0.004132	1.030828
-16.017094	-0.283492	2.410509	0.004099	1.030830
-15.851917	-0.344532	2.420506	0.004071	1.030832
-15.866161	-0.269166	2.430502	0.004074	1.030922
-15.415884	-0.319585	2.440499	0.003995	1.031090
-15.641580	-0.271725	2.450496	0.004036	1.031030
-15.705216	-0.272150	2.460493	0.004049	1.030992
-15.298370	-0.479840	2.470490	0.003978	1.030928
-15.487779	-0.404180	2.480486	0.004013	1.030925
-15.205120	-0.480851	2.490483	0.003963	1.030969
-15.685169	-0.249715	2.500480	0.004050	1.031019
-15.226801	-0.348357	2.510477	0.003970	1.031127
-15.505538	-0.238296	2.520474	0.004021	1.031122
-15.232110	-0.252592	2.530470	0.003973	1.031244
-14.731499	-0.339097	2.540467	0.003885	1.031391
-15.332630	-0.180473	2.550464	0.003993	1.031280
-15.026838	-0.304673	2.560461	0.003940	1.031273
-14.625816	-0.343293	2.570458	0.003869	1.031431
-14.761285	-0.361438	2.580454	0.003895	1.031331
-14.588852	-0.360852	2.590451	0.003865	1.031420
-15.049853	-0.274709	2.600448	0.003949	1.031286
-14.519948	-0.371583	2.610445	0.003855	1.031435
-14.449689	-0.398811	2.620442	0.003844	1.031432
-14.759085	-0.270437	2.630438	0.003900	1.031435
-14.757013	-0.145928	2.640435	0.003901	1.031599
-14.577576	-0.201605	2.650432	0.003870	1.031616
-14.082052	-0.304126	2.660429	0.003783	1.031739
-14.109639	-0.302370	2.670426	0.003789	1.031723
-14.465766	-0.150161	2.680422	0.003854	1.031733
-14.318438	-0.200859	2.690419	0.003829	1.031740
-14.272003	-0.212961	2.700416	0.003822	1.031745
-13.805284	-0.335770	2.710413	0.003739	1.031825
-13.731930	-0.338918	2.720410	0.003727	1.031857
-13.983357	-0.242324	2.730406	0.003774	1.031848
-14.125734	-0.131661	2.740403	0.003800	1.031916
-13.846153	-0.223220	2.750400	0.003752	1.031939
-13.275946	-0.435863	2.760397	0.003651	1.031955
-13.655519	-0.266916	2.770394	0.003720	1.031975
-13.698599	-0.177816	2.780390	0.003729	1.032067
-13.478869	-0.278080	2.790387	0.003691	1.032046
-13.459701	-0.269983	2.800384	0.003688	1.032064
-13.395895	-0.292996	2.810381	0.003678	1.032063
-13.271600	-0.287288	2.820378	0.003657	1.032133
-13.708388	-0.113882	2.830374	0.003737	1.032129
-13.247282	-0.253406	2.840371	0.003655	1.032184
-13.017420	-0.334265	2.850368	0.003615	1.032195
-12.903269	-0.330267	2.860365	0.003596	1.032257
-13.205626	-0.135779	2.870362	0.003651	1.032352
-12.824975	-0.270222	2.880358	0.003585	1.032371
-13.050747	-0.251421	2.890355	0.003626	1.032273
-12.625720	-0.344074	2.900352	0.003551	1.032371
-12.746796	-0.291992	2.910349	0.003574	1.032373
-12.766259	-0.283843	2.920346	0.003579	1.032370
-12.875391	-0.236929	2.930342	0.003600	1.032371
-12.574701	-0.350987	2.940339	0.003547	1.032375
-12.447473	-0.352188	2.950336	0.003525	1.032437
-12.221637	-0.395593	2.960333	0.003486	1.032495
-12.499781	-0.254574	2.970330	0.003537	1.032532
-12.615456	-0.210697	2.980326	0.003559	1.032525
-12.147224	-0.262874	2.990323	0.003477	1.032700
-12.040163	-0.305463	3.000320	0.003459	1.032697
-11.839045	-0.431180	3.010317	0.003424	1.032633
-12.310591	-0.280379	3.020314	0.003509	1.032580
-12.204379	-0.329683	3.030310	0.003492	1.032567
-11.755572	-0.404625	3.040307	0.003413	1.032701
-11.983015	-0.314771	3.050304	0.003454	1.032697
-11.847081	-0.371151	3.060301	0.003431	1.032690
-12.090038	-0.172188	3.070298	0.003476	1.032823
-11.641533	-0.361919	3.080294	0.003397	1.032804
-11.565269	-0.329634	3.090291	0.003385	1.032884
-11.326413	-0.446402	3.100288	0.003343	1.032852
-11.600729	-0.310486	3.110285	0.003393	1.032884
-11.619301	-0.208974	3.120282	0.003398	1.033005
-11.145081	-0.484263	3.130278	0.003314	1.032887
-11.309650	-0.387699	3.140275	0.003345	1.032924
-11.377489	-0.288732	3.150272	0.003358	1.033016
-11.398491	-0.279971	3.160269	0.003363	1.033013
-11.382546	-0.283866	3.170266	0.003362	1.033013
-11.007911	-0.370739	3.180262	0.003296	1.033092
-10.880435	-0.365181	3.190259	0.003274	1.033163
-10.899130	-0.371748	3.200256	0.003279	1.033141
-10.825947	-0.311397	3.210253	0.003267	1.033257
-11.026609	-0.232858	3.220250	0.003304	1.033251
-10.672263	-0.346395	3.230246	0.003242	1.033284
-10.383439	-0.440546	3.240243	0.003191	1.033308
-10.842312	-0.283415	3.250240	0.003275	1.033271
-10.734054	-0.266901	3.260237	0.003256	1.033347
-10.586012	-0.329281	3.270234	0.003231	1.033338
-10.506742	-0.353628	3.280230	0.003218	1.033344
-10.455892	-0.271953	3.290227	0.003210	1.033476
-10.348844	-0.335774	3.300224	0.003192	1.033445
-10.077872	-0.384573	3.310221	0.003145	1.033519
-10.305401	-0.351812	3.320218	0.003187	1.033439
-10.112316	-0.363477	3.330214	0.003154	1.033522
-9.947407	-0.452458	3.340211	0.003125	1.033488
-10.179028	-0.286467	3.350208	0.003168	1.033582
-10.067144	-0.331272	3.360205	0.003149	1.033578
-10.191233	-0.279521	3.370202	0.003173	1.033578
-9.829999	-0.287704	3.380198	0.003109	1.033754
-9.510906	-0.400958	3.390195	0.003053	1.033769
-9.757358	-0.275061	3.400192	0.003099	1.033802
-9.702282	-0.291655	3.410189	0.003090	1.033806
-9.596200	-0.305491	3.420186	0.003072	1.033840
-9.403367	-0.402539	3.430182	0.003039	1.033809
-9.284536	-0.382198	3.440179	0.003019	1.033896
-9.470497	-0.309283	3.450176	0.003053	1.033891
-9.649386	-0.236359	3.460173	0.003086	1.033889
-9.370468	-0.345736	3.470170	0.003038	1.033888
-8.986698	-0.441837	3.480166	0.002970	1.033960
-8.988627	-0.443382	3.490163	0.002972	1.033953
-8.972413	-0.436378	3.500160	0.002970	1.033967
-8.878163	-0.532897	3.510157	0.002955	1.033886
-8.790308	-0.561249	3.520154	0.002940	1.033891
-8.320016	-0.786791	3.530150	0.002857	1.033836
-8.709826	-0.731327	3.540147	0.002928	1.033700
-9.062825	-0.528756	3.550144	0.002992	1.033779
-8.744183	-0.698497	3.560141	0.002937	1.033719
-8.615630	-0.721518	3.570138	0.002915	1.033752
-7.942934	-0.966163	3.580134	0.002796	1.033780
-9.334160	-0.391824	3.590131	0.003046	1.033803
-8.408035	-0.690363	3.600128	0.002881	1.033893
-8.214767	-0.764162	3.610125	0.002848	1.033893
-8.003584	-0.847390	3.620122	0.002811	1.033891
-8.084808	-0.813533	3.630118	0.002827	1.033890
-8.289367	-0.731447	3.640115	0.002865	1.033887
-8.158677	-0.775502	3.650112	0.002843	1.033894
-7.982239	-0.845660	3.660109	0.002812	1.033890
-7.997083	-0.834705	3.670106	0.002816	1.033893
-7.798909	-0.912282	3.680102	0.002782	1.033892
-8.004454	-0.825389	3.690099	0.002820	1.033895
-7.817850	-0.901008	3.700096	0.002788	1.033890
-7.995541	-0.829032	3.710093	0.002821	1.033888
-7.169236	-1.071037	3.720090	0.002674	1.034000
-7.797687	-0.856943	3.730086	0.002788	1.033948
-8.045906	-0.691903	3.740083	0.002834	1.034032
-7.396829	-0.912358	3.750080	0.002719	1.034079
-7.539138	-0.860300	3.760077	0.002745	1.034069
-6.981748	-0.985020	3.770074	0.002647	1.034195
-7.234626	-0.937384	3.780070	0.002693	1.034121
-8.000508	-0.674987	3.790067	0.002831	1.034061
-6.873520	-1.014336	3.800064	0.002631	1.034203
-7.115454	-0.915720	3.810061	0.002676	1.034202
