Thu May 14 14:09:16 2026

Number of Points = 3588
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.118261	2.020217	0.000000	0.000863	1.051718

1.184707	1.899507	0.005005	0.000852	1.051595
0.964536	1.981966	0.010010	0.000891	1.051588
1.000698	1.966408	0.015014	0.000885	1.051586
0.899186	2.008523	0.020019	0.000903	1.051588
0.865148	1.809427	0.025024	0.000909	1.051312
0.780680	1.816327	0.030029	0.000925	1.051277
0.814646	1.749298	0.035034	0.000919	1.051208
0.944414	1.507020	0.040038	0.000896	1.050960
0.924203	1.399605	0.045043	0.000899	1.050810
0.666513	1.392001	0.050048	0.000946	1.050667
0.832316	1.080591	0.055053	0.000916	1.050348
0.698690	0.953869	0.060058	0.000940	1.050115
0.701946	0.767665	0.065062	0.000940	1.049874
0.708424	0.559953	0.070067	0.000939	1.049608
0.584820	0.367682	0.075072	0.000961	1.049294
0.692784	0.073356	0.080077	0.000942	1.048967
0.389498	-0.042213	0.085082	0.000996	1.048660
0.477578	-0.310153	0.090086	0.000981	1.048357
0.185663	-0.422658	0.095091	0.001033	1.048060
0.042620	-0.636305	0.100096	0.001059	1.047708
0.071507	-0.887377	0.105101	0.001054	1.047396
-0.091396	-1.092407	0.110106	0.001083	1.047044
0.017873	-1.406025	0.115110	0.001064	1.046693
-0.072480	-1.671700	0.120115	0.001080	1.046300
-0.072478	-1.985447	0.125120	0.001080	1.045891
-0.124305	-2.266282	0.130125	0.001090	1.045498
-0.224747	-2.575078	0.135130	0.001108	1.045043
-0.274828	-2.896045	0.140134	0.001117	1.044598
-0.436674	-3.154191	0.145139	0.001146	1.044177
-0.616151	-3.450816	0.150144	0.001178	1.043696
-0.710561	-3.662052	0.155149	0.001195	1.043371
-0.944409	-3.916906	0.160154	0.001237	1.042916
-1.140273	-4.159905	0.165158	0.001272	1.042497
-1.344938	-4.362427	0.170163	0.001309	1.042125
-1.642216	-4.548809	0.175168	0.001362	1.041726
-1.447143	-4.919139	0.180173	0.001328	1.041343
-1.666818	-5.136657	0.185178	0.001367	1.040944
-2.049720	-5.265583	0.190182	0.001436	1.040575
-2.190334	-5.478883	0.195187	0.001461	1.040222
-3.050473	-5.388948	0.200192	0.001615	1.039891
-3.913392	-5.116912	0.205197	0.001770	1.039797
-11.461836	-1.881703	0.210202	0.003120	1.040098
-11.489950	-0.475097	0.215206	0.003125	1.041924
-9.483488	-0.435423	0.220211	0.002766	1.043020
-7.875863	-0.514716	0.225216	0.002478	1.043751
-6.266472	-0.741163	0.230221	0.002191	1.044291
-4.597632	-1.297511	0.235226	0.001892	1.044432
-3.751972	-1.807651	0.240230	0.001741	1.044205
-3.349265	-2.164592	0.245235	0.001669	1.043948
-3.422454	-2.430776	0.250240	0.001683	1.043562
-3.465548	-2.650017	0.255245	0.001690	1.043253
-3.676090	-2.870469	0.260250	0.001728	1.042856
-4.144464	-2.951015	0.265254	0.001812	1.042506
-4.470250	-3.022606	0.270259	0.001871	1.042243
-5.859229	-2.657292	0.275264	0.002119	1.041997
-8.832623	-1.302498	0.280269	0.002651	1.042221
-8.670321	-0.921248	0.285274	0.002622	1.042803
-7.876058	-0.900082	0.290278	0.002480	1.043243
-6.756021	-1.178165	0.295283	0.002280	1.043462
-6.831641	-1.117180	0.300288	0.002294	1.043502
-6.320456	-1.324090	0.305293	0.002202	1.043497
-6.279132	-1.464718	0.310298	0.002195	1.043335
-6.519276	-1.410091	0.315302	0.002238	1.043281
-6.249385	-1.527228	0.320307	0.002190	1.043268
-6.939283	-1.501462	0.325312	0.002314	1.042942
-7.176423	-1.400096	0.330317	0.002356	1.042951
-7.349389	-1.339631	0.335322	0.002387	1.042940
-7.722011	-1.182900	0.340326	0.002454	1.042951
-7.177956	-1.400806	0.345331	0.002357	1.042948
-7.532330	-1.268367	0.350336	0.002420	1.042937
-7.448347	-1.395857	0.355341	0.002405	1.042814
-7.659897	-1.458137	0.360346	0.002443	1.042622
-8.280158	-1.207308	0.365350	0.002554	1.042627
-8.280770	-1.205354	0.370355	0.002555	1.042628
-8.463881	-1.136188	0.375360	0.002587	1.042623
-8.359373	-1.171779	0.380365	0.002569	1.042631
-8.321894	-1.189468	0.385370	0.002562	1.042627
-8.828986	-0.986376	0.390374	0.002653	1.042628
