Thu May 14 13:53:55 2026

Number of Points = 3581
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.731186	2.025223	0.000000	0.000913	1.042633

1.914998	1.947055	0.005005	0.000881	1.042625
1.968973	1.930128	0.010010	0.000872	1.042629
2.206387	1.816111	0.015014	0.000830	1.042602
1.985065	1.672930	0.020019	0.000870	1.042298
1.827974	1.743186	0.025024	0.000898	1.042307
1.845301	1.578601	0.030029	0.000896	1.042099
1.718499	1.556345	0.035034	0.000919	1.042003
1.954257	1.312131	0.040038	0.000877	1.041804
1.806103	1.221911	0.045043	0.000905	1.041608
2.031175	0.940016	0.050048	0.000865	1.041355
1.852202	0.778291	0.055053	0.000897	1.041048
1.254947	0.828286	0.060058	0.001005	1.040801
1.209088	0.770862	0.065062	0.001013	1.040700
0.941205	0.661969	0.070067	0.001062	1.040417
0.967043	0.584372	0.075072	0.001058	1.040327
1.338108	0.227137	0.080077	0.000992	1.040051
0.867436	0.220021	0.085082	0.001077	1.039794
0.930426	-0.012431	0.090086	0.001066	1.039521
0.721605	-0.127264	0.095091	0.001104	1.039260
0.164872	0.012579	0.100096	0.001204	1.039151
0.475936	-0.341358	0.105101	0.001149	1.038848
0.204203	-0.407097	0.110106	0.001198	1.038618
0.258240	-0.548202	0.115110	0.001189	1.038460
0.008586	-0.639193	0.120115	0.001234	1.038208
-0.666908	-0.562722	0.125120	0.001355	1.037954
-0.515538	-0.655364	0.130125	0.001329	1.037910
-0.920319	-0.690305	0.135130	0.001402	1.037651
-0.681677	-0.805802	0.140134	0.001360	1.037623
-0.876895	-0.954427	0.145139	0.001395	1.037324
-1.238200	-0.815766	0.150144	0.001460	1.037316
-0.883096	-1.186595	0.155149	0.001397	1.037013
-1.187986	-1.231206	0.160154	0.001452	1.036793
-1.780301	-1.072693	0.165158	0.001559	1.036690
-1.774116	-1.187926	0.170163	0.001558	1.036540
-2.129737	-1.164475	0.175168	0.001622	1.036383
-2.219232	-1.123826	0.180173	0.001639	1.036388
-2.149036	-1.173058	0.185178	0.001627	1.036359
-2.404880	-1.292979	0.190182	0.001673	1.036065
-2.178950	-1.374254	0.195187	0.001633	1.036075
-2.595532	-1.397896	0.200192	0.001708	1.035824
-2.615542	-1.427153	0.205197	0.001713	1.035774
-2.794122	-1.453169	0.210202	0.001745	1.035645
-3.505008	-1.325137	0.215206	0.001873	1.035439
-3.429745	-1.353182	0.220211	0.001860	1.035440
-3.787250	-1.209249	0.225216	0.001924	1.035441
-3.673377	-1.254686	0.230221	0.001904	1.035439
-3.834963	-1.184441	0.235226	0.001934	1.035445
-4.004753	-1.122256	0.240230	0.001965	1.035436
-3.739092	-1.284288	0.245235	0.001918	1.035361
-4.363516	-1.208183	0.250240	0.002030	1.035132
-4.369671	-1.208489	0.255245	0.002032	1.035127
-4.188708	-1.271276	0.260250	0.002000	1.035138
-4.685763	-1.073489	0.265254	0.002089	1.035136
-4.497976	-1.142905	0.270259	0.002056	1.035142
-4.755737	-1.186813	0.275264	0.002103	1.034947
-5.137467	-1.131903	0.280269	0.002171	1.034818
-5.035235	-1.165178	0.285274	0.002154	1.034826
-5.480183	-0.994656	0.290278	0.002234	1.034816
-4.885700	-1.223187	0.295283	0.002128	1.034825
-5.237959	-1.079857	0.300288	0.002192	1.034827
-5.455132	-1.118549	0.305293	0.002231	1.034661
-5.465421	-1.220946	0.310298	0.002233	1.034519
-6.030006	-0.995490	0.315302	0.002335	1.034519
-5.610258	-1.162143	0.320307	0.002260	1.034518
-5.939173	-1.158131	0.325312	0.002320	1.034349
-6.440565	-0.864485	0.330317	0.002410	1.034471
-6.291077	-1.128330	0.335322	0.002384	1.034200
-6.694552	-0.974313	0.340326	0.002456	1.034190
-6.375021	-1.105678	0.345331	0.002400	1.034183
-6.968209	-0.857634	0.350336	0.002506	1.034197
-6.824831	-0.918375	0.355341	0.002481	1.034191
-5.879036	-1.388028	0.360346	0.002312	1.034067
-7.345721	-0.943517	0.365350	0.002575	1.033881
-7.139376	-1.021992	0.370355	0.002539	1.033885
-7.129832	-1.024697	0.375360	0.002538	1.033885
-7.198884	-1.032866	0.380365	0.002551	1.033836
-7.249417	-1.209644	0.385370	0.002560	1.033575
-8.169674	-0.843537	0.390374	0.002725	1.033573
-7.676113	-1.036160	0.395379	0.002638	1.033576
-8.047307	-0.885165	0.400384	0.002705	1.033579
-8.133562	-0.856169	0.405389	0.002720	1.033571
-7.307856	-1.287595	0.410394	0.002573	1.033434
-8.307242	-0.963759	0.415398	0.002753	1.033334
-8.203675	-1.005151	0.420403	0.002735	1.033333
-8.491953	-1.128018	0.425408	0.002787	1.033018
-9.033069	-0.926619	0.430413	0.002884	1.032997
-8.439871	-1.149467	0.435418	0.002778	1.033014
-8.961088	-0.949900	0.440422	0.002872	1.033001
-8.911478	-0.964836	0.445427	0.002864	1.033006
-9.170630	-1.067407	0.450432	0.002911	1.032733
-9.854519	-0.745629	0.455437	0.003034	1.032797
-9.103267	-1.091807	0.460442	0.002900	1.032733
-9.832709	-0.839345	0.465446	0.003031	1.032682
-9.888912	-0.808947	0.470451	0.003041	1.032691
-9.499640	-0.961525	0.475456	0.002972	1.032692
-9.761621	-0.859047	0.480461	0.003020	1.032688
-9.910956	-1.030469	0.485466	0.003047	1.032382
-10.694871	-0.726205	0.490470	0.003187	1.032370
-10.343305	-0.863178	0.495475	0.003125	1.032373
-10.067770	-0.971583	0.500480	0.003076	1.032373
-10.320556	-0.872647	0.505485	0.003122	1.032369
-10.437536	-1.034600	0.510490	0.003144	1.032092
-10.769004	-0.926720	0.515494	0.003203	1.032059
-10.830799	-0.897526	0.520499	0.003215	1.032063
-10.944387	-0.845931	0.525504	0.003236	1.032070
-11.573402	-0.730685	0.530509	0.003349	1.031890
-10.977496	-1.021105	0.535514	0.003243	1.031818
-11.690397	-0.798515	0.540518	0.003371	1.031736
-11.587883	-0.840907	0.545523	0.003353	1.031732
-11.299046	-0.947525	0.550528	0.003302	1.031742
-12.100153	-0.631909	0.555533	0.003446	1.031735
-11.826312	-0.871778	0.560538	0.003397	1.031561
-12.172074	-0.827936	0.565542	0.003460	1.031436
-12.254935	-0.798325	0.570547	0.003475	1.031430
-12.024228	-0.891538	0.575552	0.003434	1.031426
-12.514173	-0.694534	0.580557	0.003522	1.031427
-12.119849	-0.966527	0.585562	0.003452	1.031274
-12.312802	-1.011680	0.590566	0.003487	1.031111
-12.207156	-1.135013	0.595571	0.003469	1.031002
-12.865428	-1.008782	0.600576	0.003587	1.030821
-13.651646	-0.701674	0.605581	0.003728	1.030811
-13.279040	-0.839604	0.610586	0.003662	1.030823
-13.147966	-0.890302	0.615590	0.003639	1.030824
-13.020632	-1.006376	0.620595	0.003617	1.030736
-13.919702	-0.831686	0.625600	0.003778	1.030492
-14.081758	-0.770702	0.630605	0.003808	1.030486
-13.355088	-1.051966	0.635610	0.003679	1.030495
-13.900461	-0.840487	0.640614	0.003777	1.030486
-13.766389	-0.902527	0.645619	0.003753	1.030473
-14.230022	-0.939679	0.650624	0.003837	1.030178
-14.427462	-0.865778	0.655629	0.003872	1.030170
-14.236959	-0.934251	0.660634	0.003839	1.030178
-14.585032	-0.792094	0.665638	0.003902	1.030181
-14.496960	-0.879630	0.670643	0.003886	1.030110
-15.017037	-0.853826	0.675648	0.003980	1.029869
-15.199360	-0.786651	0.680653	0.004013	1.029860
-14.684643	-0.989870	0.685658	0.003922	1.029861
-15.123345	-0.813853	0.690662	0.004001	1.029861
-15.092187	-0.862253	0.695667	0.003996	1.029812
-15.729719	-0.796442	0.700672	0.004110	1.029561
-16.018313	-0.680685	0.705677	0.004162	1.029561
-15.343874	-0.951478	0.710682	0.004042	1.029556
-15.523216	-0.883071	0.715686	0.004075	1.029551
-15.565209	-0.995558	0.720691	0.004083	1.029378
-16.214696	-0.838226	0.725696	0.004199	1.029242
-17.024323	-0.509031	0.730701	0.004345	1.029250
-16.280958	-0.766506	0.735706	0.004212	1.029299
-16.394164	-0.769872	0.740710	0.004233	1.029234
-16.297191	-0.801982	0.745715	0.004216	1.029241
-16.251857	-0.954927	0.750720	0.004209	1.029061
-17.283825	-0.643080	0.755725	0.004394	1.028928
-17.159538	-0.690608	0.760730	0.004372	1.028929
-17.262666	-0.645605	0.765734	0.004391	1.028932
-16.826354	-0.816953	0.770739	0.004314	1.028934
-16.839927	-0.873771	0.775744	0.004317	1.028850
-18.086842	-0.420562	0.780749	0.004540	1.028791
-17.212144	-0.844456	0.785754	0.004384	1.028689
-17.731572	-0.683087	0.790758	0.004478	1.028628
-17.966336	-0.593479	0.795763	0.004520	1.028621
-17.333973	-0.881673	0.800768	0.004407	1.028571
-18.276940	-0.664268	0.805773	0.004577	1.028360
-17.860431	-0.820846	0.810778	0.004503	1.028371
-18.405180	-0.603985	0.815782	0.004601	1.028369
-18.358085	-0.624416	0.820787	0.004593	1.028365
-18.421706	-0.820061	0.825792	0.004605	1.028071
-18.696741	-0.736357	0.830797	0.004654	1.028035
-18.362839	-0.864388	0.835802	0.004595	1.028040
-19.220706	-0.696732	0.840806	0.004749	1.027808
-18.942471	-0.751988	0.845811	0.004700	1.027880
-19.364161	-0.698639	0.850816	0.004776	1.027726
-19.543211	-0.627686	0.855821	0.004808	1.027724
-18.594892	-1.017366	0.860826	0.004639	1.027707
-19.790203	-0.773035	0.865830	0.004854	1.027398
-19.974623	-0.694943	0.870835	0.004887	1.027402
-19.125372	-1.029985	0.875840	0.004736	1.027405
-20.053285	-0.661707	0.880845	0.004902	1.027402
-20.141765	-0.766265	0.885850	0.004919	1.027215
-20.250552	-0.810792	0.890854	0.004939	1.027096
-20.569539	-0.683736	0.895859	0.004996	1.027095
-20.262690	-0.799412	0.900864	0.004942	1.027102
