Fri Sep 19 10:42:34 2025

Number of Points = 3567
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.089840	2.894317	0.000000	0.002839	1.313038

2.149275	2.758535	0.005005	0.002461	1.313298
2.823389	2.515198	0.010010	0.002338	1.313139
1.885550	2.552612	0.015014	0.002511	1.312989
2.228494	2.497485	0.020019	0.002449	1.312991
1.620616	2.597627	0.025024	0.002562	1.312987
1.729688	2.593244	0.030029	0.002542	1.313003
0.997582	2.711058	0.035034	0.002678	1.312995
1.755540	2.576412	0.040038	0.002539	1.312986
2.422121	2.219987	0.045043	0.002418	1.312686
0.686814	2.399276	0.050048	0.002738	1.312544
1.910149	2.209191	0.055053	0.002514	1.312564
2.089447	1.903094	0.060058	0.002482	1.312225
0.081037	2.132008	0.065062	0.002852	1.312087
1.117148	1.962691	0.070067	0.002663	1.312094
0.830975	2.011081	0.075072	0.002716	1.312093
0.476981	1.846643	0.080077	0.002782	1.311816
0.464786	1.821553	0.085082	0.002785	1.311782
0.655189	1.790543	0.090086	0.002751	1.311782
0.657675	1.577141	0.095091	0.002752	1.311520
-1.052271	1.820113	0.100096	0.003068	1.311461
0.278588	1.675553	0.105101	0.002823	1.311560
0.613892	1.409488	0.110106	0.002763	1.311302
-2.010401	1.847137	0.115110	0.003247	1.311292
-0.506244	1.732973	0.120115	0.002971	1.311464
0.729804	1.375359	0.125120	0.002744	1.311281
0.322808	1.152358	0.130125	0.002820	1.310921
-1.755100	1.427935	0.135130	0.003203	1.310826
-1.506248	1.390892	0.140134	0.003158	1.310831
-0.107290	1.149343	0.145139	0.002902	1.310825
-1.393120	1.117435	0.150144	0.003140	1.310517
-0.584699	0.990978	0.155149	0.002992	1.310529
-0.137746	0.662560	0.160154	0.002910	1.310217
-3.791743	1.201445	0.165158	0.003584	1.310117
-4.105651	1.679050	0.170163	0.003642	1.310638
-2.102960	1.489787	0.175168	0.003274	1.310822
-0.723947	1.135819	0.180173	0.003021	1.310673
-1.465728	0.971278	0.185178	0.003159	1.310315
-2.595572	1.072258	0.190182	0.003368	1.310203
-1.130143	0.768478	0.195187	0.003099	1.310134
-2.634039	0.839587	0.200192	0.003377	1.309907
-3.882026	1.071514	0.205197	0.003608	1.309931
-2.576962	0.997813	0.210202	0.003368	1.310111
-2.357944	0.793876	0.215206	0.003329	1.309905
-2.404722	0.646230	0.220211	0.003338	1.309713
-2.798028	0.598994	0.225216	0.003412	1.309571
-3.189628	0.501511	0.230221	0.003485	1.309369
-3.644136	0.496259	0.235226	0.003569	1.309267
-4.436689	0.740174	0.240230	0.003716	1.309401
-2.953388	0.508212	0.245235	0.003444	1.309423
-4.601309	0.661554	0.250240	0.003748	1.309267
-4.532417	0.840860	0.255245	0.003736	1.309502
-2.578747	0.345415	0.260250	0.003378	1.309298
-4.169873	0.341174	0.265254	0.003672	1.308960
-6.360099	0.857666	0.270259	0.004075	1.309138
-6.128830	1.122755	0.275264	0.004034	1.309512
-4.165200	0.852406	0.280269	0.003673	1.309587
-3.277951	0.534231	0.285274	0.003511	1.309380
-4.508876	0.506153	0.290278	0.003738	1.309088
-4.233709	0.362123	0.295283	0.003688	1.308967
-4.749359	0.251965	0.300288	0.003784	1.308722
-6.578075	0.671617	0.305293	0.004122	1.308857
-5.197712	0.526679	0.310298	0.003869	1.308965
-4.996939	0.346649	0.315302	0.003833	1.308784
-5.638738	0.347195	0.320307	0.003952	1.308650
-6.083832	0.417403	0.325312	0.004034	1.308643
-6.568320	0.502651	0.330317	0.004125	1.308646
-6.124644	0.429216	0.335322	0.004044	1.308647
-6.285834	0.456193	0.340326	0.004074	1.308645
-5.877537	0.389894	0.345331	0.004000	1.308648
-5.988853	0.410953	0.350336	0.004021	1.308650
-6.798954	0.330920	0.355341	0.004171	1.308381
-5.965645	0.248926	0.360346	0.004019	1.308453
-7.179674	0.358265	0.365350	0.004243	1.308333
-8.149152	0.602500	0.370355	0.004423	1.308431
-7.186804	0.616573	0.375360	0.004246	1.308648
-5.924760	0.239752	0.380365	0.004015	1.308446
-6.292030	0.059621	0.385370	0.004084	1.308147
-8.603083	0.393737	0.390374	0.004510	1.308075
-7.390265	0.364674	0.395379	0.004287	1.308291
-7.911558	0.230636	0.400384	0.004384	1.308016
-8.185648	0.487068	0.405389	0.004436	1.308274
-7.131974	0.138887	0.410394	0.004243	1.308064
-8.252509	0.297410	0.415398	0.004450	1.308024
-8.056197	0.265511	0.420403	0.004414	1.308025
-8.184963	0.263938	0.425408	0.004439	1.307995
-9.443590	0.477475	0.430413	0.004672	1.307995
-8.021851	0.264628	0.435418	0.004411	1.308028
-8.602043	0.151832	0.440422	0.004519	1.307767
-8.997298	0.380111	0.445427	0.004592	1.307965
-8.992895	0.177752	0.450432	0.004592	1.307715
-10.338113	0.556253	0.455437	0.004841	1.307900
-7.479214	0.072792	0.460442	0.004315	1.307900
-9.874644	0.324275	0.465446	0.004757	1.307709
-9.973199	0.350202	0.470451	0.004776	1.307719
-9.474325	0.256068	0.475456	0.004685	1.307706
-10.087372	0.363239	0.480461	0.004799	1.307710
-9.122353	0.200045	0.485466	0.004622	1.307709
-9.729216	0.147294	0.490470	0.004735	1.307516
-11.455385	0.569315	0.495475	0.005053	1.307675
-9.485809	0.268924	0.500480	0.004692	1.307715
-10.190306	0.213852	0.505485	0.004822	1.307499
-10.342955	0.274209	0.510490	0.004851	1.307540
-11.075328	0.334998	0.515494	0.004987	1.307461
-10.958372	0.461098	0.520499	0.004966	1.307640
-9.897542	0.137364	0.525504	0.004772	1.307462
-11.477716	0.408386	0.530509	0.005064	1.307465
-10.883922	0.309055	0.535514	0.004955	1.307465
-11.346879	0.225241	0.540518	0.005042	1.307264
-11.362101	0.394550	0.545523	0.005045	1.307469
-11.651627	0.198484	0.550528	0.005099	1.307166
-12.103600	0.499033	0.555533	0.005183	1.307441
-10.853201	0.110654	0.560538	0.004954	1.307222
-12.700323	0.346920	0.565542	0.005295	1.307127
-11.956889	0.476382	0.570547	0.005159	1.307441
