Fri Sep 19 11:57:00 2025

Number of Points = 3563
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
2.601174	2.117286	0.000000	0.002070	1.315140

2.765799	2.126049	0.005005	0.002040	1.315185
2.659942	2.135438	0.010010	0.002060	1.315173
2.787204	2.116118	0.015014	0.002037	1.315175
2.819163	2.121158	0.020019	0.002032	1.315188
2.750411	1.917254	0.025024	0.002046	1.314923
2.756694	1.885612	0.030029	0.002045	1.314885
2.687491	1.899053	0.035034	0.002058	1.314886
2.690389	1.671155	0.040038	0.002059	1.314607
2.703870	1.628748	0.045043	0.002057	1.314557
2.632960	1.416464	0.050048	0.002071	1.314281
2.707323	1.303966	0.055053	0.002058	1.314158
2.557124	1.139046	0.060058	0.002086	1.313924
2.565124	0.920826	0.065062	0.002085	1.313657
2.656038	0.713933	0.070067	0.002069	1.313422
2.575833	0.495975	0.075072	0.002085	1.313137
2.556077	0.241241	0.080077	0.002089	1.312820
2.695888	-0.020491	0.085082	0.002064	1.312527
2.534273	-0.293734	0.090086	0.002095	1.312157
2.451100	-0.594669	0.095091	0.002111	1.311770
2.366808	-0.900212	0.100096	0.002127	1.311376
2.554689	-1.253991	0.105101	0.002094	1.310980
2.383181	-1.591489	0.110106	0.002126	1.310529
2.364507	-1.953927	0.115110	0.002130	1.310079
2.203607	-2.281607	0.120115	0.002161	1.309641
1.970343	-2.634708	0.125120	0.002205	1.309158
1.887073	-2.943837	0.130125	0.002221	1.308759
1.762708	-3.302001	0.135130	0.002245	1.308291
1.682537	-3.634250	0.140134	0.002260	1.307865
1.416353	-3.892101	0.145139	0.002310	1.307491
1.087651	-4.194868	0.150144	0.002372	1.307048
0.720109	-4.409324	0.155149	0.002440	1.306707
0.688439	-4.675190	0.160154	0.002447	1.306371
0.719704	-4.974241	0.165158	0.002442	1.306008
0.783761	-5.289523	0.170163	0.002431	1.305632
0.464270	-5.599332	0.175168	0.002490	1.305182
0.440750	-5.894707	0.180173	0.002496	1.304812
0.017906	-6.135507	0.185178	0.002574	1.304425
0.117606	-6.426070	0.190182	0.002557	1.304087
-0.060106	-6.705218	0.195187	0.002590	1.303704
-0.502628	-6.933565	0.200192	0.002672	1.303328
-0.664722	-7.139170	0.205197	0.002703	1.303039
-0.840076	-7.340391	0.210202	0.002736	1.302753
-1.000815	-7.524980	0.215206	0.002767	1.302490
-1.278988	-7.719958	0.220211	0.002819	1.302190
-1.375895	-7.894840	0.225216	0.002837	1.301953
-1.520920	-8.079374	0.230221	0.002865	1.301693
-1.552737	-8.275055	0.235226	0.002871	1.301443
-1.998853	-8.388588	0.240230	0.002954	1.301209
-2.394646	-8.561415	0.245235	0.003028	1.300911
-2.513036	-8.555509	0.250240	0.003050	1.300892
-2.610695	-8.768249	0.255245	0.003069	1.300608
-2.571261	-8.839382	0.260250	0.003062	1.300527
-2.971049	-8.963022	0.265254	0.003137	1.300289
-4.515213	-8.689598	0.270259	0.003422	1.300303
-5.924773	-8.292542	0.275264	0.003682	1.300498
-11.267868	-6.820802	0.280269	0.004665	1.301198
-40.674814	1.099493	0.285274	0.010078	1.304827
-10.868841	0.759456	0.290278	0.004588	1.310633
-2.137660	-0.650418	0.295283	0.002981	1.310718
-1.602316	-1.157965	0.300288	0.002884	1.310205
-1.631229	-1.637322	0.305293	0.002890	1.309608
-1.609506	-2.155794	0.310298	0.002887	1.308974
-1.586598	-2.702233	0.315302	0.002884	1.308306
-1.449767	-3.256109	0.320307	0.002860	1.307651
-1.330554	-3.898164	0.325312	0.002839	1.306884
-1.807866	-4.420460	0.330317	0.002928	1.306140
-2.111385	-4.928665	0.335322	0.002984	1.305448
-2.189717	-5.473224	0.340326	0.003000	1.304759
-2.356766	-5.994801	0.345331	0.003032	1.304079
-2.402385	-6.536675	0.350336	0.003041	1.303399
-2.886863	-6.972736	0.355341	0.003131	1.302758
-3.398071	-7.318017	0.360346	0.003226	1.302223
-3.483093	-7.751272	0.365350	0.003243	1.301668
-4.313398	-8.036705	0.370355	0.003396	1.301140
-5.617796	-8.059827	0.375360	0.003637	1.300836
-21.031503	-5.047252	0.380365	0.006475	1.301329
-41.570358	3.460394	0.385370	0.010253	1.307539
-3.649817	-0.549070	0.390374	0.003272	1.310514
-2.261514	-1.459770	0.395379	0.003017	1.309683
-2.009045	-2.302703	0.400384	0.002972	1.308697
-1.955398	-3.145178	0.405389	0.002963	1.307670
-2.007420	-3.973647	0.410394	0.002974	1.306638
-2.045187	-4.870152	0.415398	0.002982	1.305523
-2.264012	-5.706564	0.420403	0.003024	1.304444
-2.712672	-6.478968	0.425408	0.003107	1.303395
-3.386867	-7.122711	0.430413	0.003233	1.302457
-4.083150	-7.688307	0.435418	0.003362	1.301610
-5.746085	-7.994540	0.440422	0.003669	1.300881
-34.988605	-2.230627	0.445427	0.009052	1.301877
-29.955355	2.791156	0.450432	0.008123	1.309131
-3.637373	-0.904558	0.455437	0.003278	1.310070
-2.130778	-2.076329	0.460442	0.003002	1.308942
-1.296944	-3.342099	0.465446	0.002850	1.307557
-1.623526	-4.476277	0.470451	0.002911	1.306089
-2.373363	-5.496015	0.475456	0.003051	1.304673
-2.855371	-6.472814	0.480461	0.003141	1.303365
-4.165343	-7.152260	0.485466	0.003383	1.302249
-4.815836	-7.842562	0.490470	0.003504	1.301257
-10.275619	-7.429910	0.495475	0.004510	1.300621
-51.601850	2.172082	0.500480	0.012117	1.303832
-11.495938	0.443561	0.505485	0.004731	1.310084
-2.286574	-1.918866	0.510490	0.003037	1.309096
-1.937665	-3.244798	0.515494	0.002974	1.307536
-2.443029	-4.434430	0.520499	0.003068	1.305963
-2.896214	-5.590333	0.525504	0.003153	1.304440
-2.933102	-6.782411	0.530509	0.003161	1.302959
-3.771165	-7.796154	0.535514	0.003317	1.301528
-9.741238	-7.668683	0.540518	0.004417	1.300431
-54.623315	2.579475	0.545523	0.012678	1.303695
-10.554361	0.122452	0.550528	0.004563	1.309879
-2.327471	-2.273955	0.555533	0.003050	1.308644
-1.942076	-3.768358	0.560538	0.002981	1.306883
-2.250096	-5.213808	0.565542	0.003039	1.305035
-3.104611	-6.499748	0.570547	0.003198	1.303266
-4.242909	-7.544202	0.575552	0.003409	1.301735
-9.062458	-7.737622	0.580557	0.004297	1.300483
-53.808544	2.028988	0.585562	0.012534	1.303179
-12.180851	0.086805	0.590566	0.004868	1.309490
-2.211402	-2.740884	0.595571	0.003034	1.308088
-2.644942	-4.227629	0.600576	0.003115	1.306164
-2.985533	-5.715548	0.605581	0.003180	1.304255
-3.080815	-7.187446	0.610586	0.003199	1.302415
-5.638348	-8.179170	0.615590	0.003671	1.300650
-46.123244	-0.623428	0.620595	0.011124	1.301504
-26.118926	2.096463	0.625600	0.007438	1.309051
-2.921336	-2.216229	0.630605	0.003169	1.308581
-2.522579	-3.937847	0.635610	0.003097	1.306542
-2.736146	-5.614088	0.640614	0.003138	1.304428
-3.353750	-7.153919	0.645619	0.003253	1.302394
-6.335236	-8.143012	0.650624	0.003804	1.300543
-48.742408	-0.185977	0.655629	0.011611	1.301490
-25.367757	2.032023	0.660634	0.007304	1.309124
-2.711964	-2.398928	0.665638	0.003135	1.308395
-2.515160	-4.257388	0.670643	0.003100	1.306145
-3.062566	-6.000446	0.675648	0.003203	1.303877
-3.947417	-7.581525	0.680653	0.003367	1.301736
-14.421459	-7.145198	0.685658	0.005297	1.300075
-60.061426	4.267930	0.690662	0.013697	1.304623
-6.008556	-1.123498	0.695667	0.003745	1.309273
-2.318438	-3.530418	0.700672	0.003067	1.307078
-2.814646	-5.434925	0.705677	0.003161	1.304624
-3.568110	-7.207182	0.710682	0.003301	1.302274
-10.494524	-7.682892	0.715686	0.004578	1.300230
-61.592464	3.720696	0.720691	0.013983	1.303620
-9.061615	-0.639366	0.725696	0.004311	1.309228
-2.371920	-3.488393	0.730701	0.003081	1.307114
-2.262482	-5.685915	0.735706	0.003063	1.304425
-4.393747	-7.350918	0.740710	0.003457	1.301919
-20.666740	-5.895758	0.745715	0.006454	1.300303
-53.282413	4.005843	0.750720	0.012456	1.305711
-3.775133	-2.352591	0.755725	0.003342	1.308217
-3.051067	-4.595104	0.760730	0.003210	1.305603
-4.405811	-6.418921	0.765734	0.003462	1.303066
-8.511221	-7.494590	0.770739	0.004219	1.300872
-53.051163	1.162774	0.775744	0.012419	1.302239
-17.387531	0.097360	0.780749	0.005851	1.308390
-3.505130	-3.753540	0.785754	0.003297	1.306543
-4.034684	-5.819742	0.790758	0.003396	1.303881
-6.131055	-7.479190	0.795763	0.003784	1.301388
-43.806281	-1.226557	0.800768	0.010720	1.301218
-29.790203	1.851402	0.805773	0.008137	1.307958
-3.215303	-3.466934	0.810778	0.003246	1.306953
-3.331944	-5.795643	0.815782	0.003270	1.304054
-6.353556	-7.459193	0.820787	0.003828	1.301362
-45.847247	-0.821986	0.825792	0.011099	1.301287
-27.654257	1.416353	0.830797	0.007747	1.307864
-3.554126	-3.708340	0.835802	0.003312	1.306581
-4.055020	-5.996854	0.840806	0.003406	1.303650
-8.547959	-7.337305	0.845811	0.004235	1.301049
-53.669331	1.130866	0.850816	0.012542	1.302059
-18.367151	0.000907	0.855821	0.006041	1.308056
-3.652510	-4.235010	0.860826	0.003333	1.305907
-5.033864	-6.385942	0.865830	0.003590	1.302961
-16.885490	-6.223192	0.870835	0.005774	1.300674
-56.520116	3.690020	0.875840	0.013068	1.304624
-5.250120	-2.677129	0.880845	0.003629	1.307492
-4.610105	-5.228824	0.885850	0.003514	1.304477
-7.792105	-6.887219	0.890854	0.004101	1.301758
-42.585973	-1.428622	0.895859	0.010508	1.301210
-30.709693	1.564154	0.900864	0.008319	1.307398
-3.688390	-4.138341	0.905869	0.003346	1.306013
-5.191328	-6.450628	0.910874	0.003625	1.302841
-19.433243	-5.974047	0.915878	0.006248	1.300441
-57.548551	4.063328	0.920883	0.013263	1.304864
-4.734241	-2.867619	0.925888	0.003540	1.307358
-3.826679	-5.712868	0.930893	0.003375	1.304036
-9.732881	-7.185291	0.935898	0.004465	1.300975
-57.226317	1.923463	0.940902	0.013208	1.302281
-15.339689	-0.873676	0.945907	0.005495	1.307598
-4.088101	-5.045152	0.950912	0.003426	1.304803
-7.662264	-7.025209	0.955917	0.004086	1.301605
-48.537838	-0.378275	0.960922	0.011611	1.301252
-26.049851	0.690506	0.965926	0.007469	1.307285
-3.967607	-4.763372	0.970931	0.003406	1.305174
