Fri Dec 12 14:50:38 2025

Number of Points = 3580
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.607415	2.134342	0.000000	0.002066	1.322405

-0.709069	1.910067	0.005005	0.002085	1.322110
-1.381649	2.230275	0.010010	0.002208	1.322362
0.165404	1.905570	0.015014	0.001924	1.322285
-0.256632	1.794701	0.020019	0.002002	1.322063
-0.707565	1.643112	0.025024	0.002085	1.321784
-1.100103	1.710896	0.030029	0.002157	1.321786
-1.966056	1.855170	0.035034	0.002317	1.321783
-1.462145	1.773190	0.040038	0.002224	1.321787
-1.381740	1.758044	0.045043	0.002209	1.321785
0.058030	1.359520	0.050048	0.001944	1.321596
-0.057015	0.953577	0.055053	0.001966	1.321076
-2.587033	1.182007	0.060058	0.002432	1.320832
-1.937598	1.189039	0.065062	0.002312	1.320975
-2.322948	1.137312	0.070067	0.002383	1.320832
-2.990231	1.264030	0.075072	0.002506	1.320849
-1.929583	1.129516	0.080077	0.002311	1.320904
-1.702746	1.017294	0.085082	0.002269	1.320814
-1.046891	0.613266	0.090086	0.002149	1.320455
-3.279517	0.795409	0.095091	0.002560	1.320216
-3.603982	0.965524	0.100096	0.002620	1.320357
-3.314988	1.058891	0.105101	0.002566	1.320531
-3.712049	1.126682	0.110106	0.002639	1.320532
-1.086971	0.519669	0.115110	0.002156	1.320332
-1.067078	0.026155	0.120115	0.002153	1.319733
-2.244377	-0.121060	0.125120	0.002370	1.319309
-2.259488	-0.369284	0.130125	0.002373	1.319002
-3.849347	-0.377681	0.135130	0.002666	1.318663
-4.446499	-0.258681	0.140134	0.002776	1.318685
-5.086457	0.071315	0.145139	0.002894	1.318956
-4.327673	-0.045972	0.150144	0.002754	1.318970
-2.682225	-0.450963	0.155149	0.002451	1.318815
-3.325845	-0.651029	0.160154	0.002570	1.318436
-3.533478	-0.797665	0.165158	0.002608	1.318214
-5.087590	-0.686748	0.170163	0.002895	1.318028
-6.169996	-0.344787	0.175168	0.003094	1.318222
-4.070252	-0.649576	0.180173	0.002707	1.318284
-3.734365	-0.971005	0.185178	0.002646	1.317960
-3.832891	-1.191278	0.190182	0.002664	1.317669
-5.255023	-1.103315	0.195187	0.002926	1.317482
-5.157497	-1.119256	0.200192	0.002908	1.317483
-3.583443	-1.625513	0.205197	0.002619	1.317189
-6.899339	-1.309556	0.210202	0.003229	1.316888
-8.501532	-0.669646	0.215206	0.003524	1.317340
-6.317611	-0.751113	0.220211	0.003122	1.317693
-4.035266	-1.303473	0.225216	0.002702	1.317490
-3.396351	-1.901096	0.230221	0.002585	1.316890
-16.444252	0.367958	0.235226	0.004987	1.316965
-13.236253	1.653707	0.240230	0.004395	1.319204
-6.483079	1.099050	0.245235	0.003151	1.319923
-3.358257	0.246677	0.250240	0.002576	1.319527
-4.463674	-0.157664	0.255245	0.002780	1.318803
-8.296267	0.374114	0.260250	0.003486	1.318661
-6.240987	0.034919	0.265254	0.003108	1.318671
-6.683364	-0.122704	0.270259	0.003189	1.318386
-9.033209	0.425119	0.275264	0.003622	1.318570
-8.529979	0.529592	0.280269	0.003529	1.318802
-6.274720	0.170407	0.285274	0.003114	1.318830
-7.437700	0.022086	0.290278	0.003328	1.318407
-8.110853	0.074705	0.295283	0.003452	1.318332
-10.200335	0.693929	0.300288	0.003837	1.318657
-5.542517	0.001140	0.305293	0.002980	1.318774
-9.470100	0.173660	0.310298	0.003703	1.318171
-8.300469	0.358430	0.315302	0.003487	1.318640
-8.632780	0.163842	0.320307	0.003549	1.318333
-8.799811	0.376262	0.325312	0.003579	1.318558
-7.297680	-0.095729	0.330317	0.003303	1.318291
-8.987515	-0.029655	0.335322	0.003614	1.318022
-10.461031	0.411995	0.340326	0.003886	1.318258
-10.049451	0.530199	0.345331	0.003810	1.318488
-7.349757	-0.044386	0.350336	0.003313	1.318343
-9.316483	0.026339	0.355341	0.003675	1.318022
-9.819439	0.109961	0.360346	0.003768	1.318020
-10.906994	0.475469	0.365350	0.003968	1.318243
-6.977187	-0.313036	0.370355	0.003245	1.318091
-12.233891	0.359850	0.375360	0.004213	1.317826
-8.833803	-0.056156	0.380365	0.003587	1.318021
-11.218470	0.265304	0.385370	0.004026	1.317920
-9.389650	0.017603	0.390374	0.003689	1.317996
-11.408318	0.257959	0.395379	0.004061	1.317872
-9.916359	0.080060	0.400384	0.003786	1.317963
-10.418799	-0.030236	0.405389	0.003879	1.317724
-11.352119	0.125572	0.410394	0.004051	1.317721
-11.104829	0.296979	0.415398	0.004005	1.317982
-9.676869	-0.213469	0.420403	0.003743	1.317653
-12.485735	0.292820	0.425408	0.004260	1.317691
-11.016612	0.068944	0.430413	0.003989	1.317721
-11.074819	0.080883	0.435418	0.004000	1.317724
-11.998495	0.240219	0.440422	0.004170	1.317727
-10.675583	-0.100159	0.445427	0.003927	1.317584
-13.391235	0.350228	0.450432	0.004427	1.317573
-10.643000	-0.028993	0.455437	0.003921	1.317678
-12.386090	0.097952	0.460442	0.004242	1.317472
-13.404502	0.394543	0.465446	0.004429	1.317625
-10.620383	-0.104210	0.470451	0.003917	1.317591
-12.895388	0.187469	0.475456	0.004336	1.317476
-12.545938	0.138964	0.480461	0.004271	1.317489
-11.914322	-0.112511	0.485466	0.004155	1.317312
-14.600323	0.364846	0.490470	0.004650	1.317340
-12.665957	0.153693	0.495475	0.004294	1.317482
-12.552997	0.048133	0.500480	0.004273	1.317376
-14.003468	0.384574	0.505485	0.004540	1.317488
-12.291611	-0.090128	0.510490	0.004225	1.317261
-14.367668	0.350191	0.515494	0.004607	1.317370
-12.980840	0.193982	0.520499	0.004352	1.317466
-13.557545	0.036356	0.525504	0.004458	1.317153
-13.930273	0.226401	0.530509	0.004527	1.317309
-13.860489	0.081736	0.535514	0.004514	1.317146
-14.164336	0.139062	0.540518	0.004570	1.317153
-13.861142	0.091437	0.545523	0.004514	1.317157
-14.756098	0.240637	0.550528	0.004679	1.317155
-14.142954	0.139928	0.555533	0.004566	1.317158
-14.051173	-0.120692	0.560538	0.004550	1.316858
-16.673460	0.469857	0.565542	0.005032	1.317038
-13.862464	0.088798	0.570547	0.004515	1.317154
-14.666881	0.013003	0.575552	0.004663	1.316894
-15.799350	0.342725	0.580557	0.004872	1.317063
-13.873841	-0.174954	0.585562	0.004517	1.316828
-17.130880	0.521031	0.590566	0.005117	1.317005
-14.261029	-0.010393	0.595571	0.004589	1.316949
-15.637363	0.136995	0.600576	0.004842	1.316844
-16.231273	0.232455	0.605581	0.004952	1.316838
-15.168629	0.047719	0.610586	0.004756	1.316832
-16.561436	0.288302	0.615590	0.005012	1.316838
-15.834168	0.163310	0.620595	0.004879	1.316835
-15.691395	-0.050814	0.625600	0.004853	1.316602
-17.744294	0.402875	0.630605	0.005230	1.316733
-15.028531	-0.132204	0.635610	0.004731	1.316640
-18.331257	0.481810	0.640614	0.005339	1.316708
-15.545047	0.049007	0.645619	0.004826	1.316755
-16.537920	0.027458	0.650624	0.005009	1.316522
-17.751740	0.232793	0.655629	0.005232	1.316522
-16.752946	0.063758	0.660634	0.005048	1.316522
-17.386288	0.174870	0.665638	0.005165	1.316527
-17.199448	0.136302	0.670643	0.005131	1.316518
-17.574234	0.201433	0.675648	0.005200	1.316520
-17.754273	0.234370	0.680653	0.005233	1.316523
-16.889935	-0.006294	0.685658	0.005074	1.316408
-18.983431	0.266205	0.690662	0.005459	1.316307
-17.038854	0.063813	0.695667	0.005101	1.316462
-18.884494	0.184534	0.700672	0.005441	1.316227
-18.578620	0.367765	0.705677	0.005385	1.316516
-17.172357	-0.015135	0.710682	0.005126	1.316338
-19.047343	0.204230	0.715686	0.005472	1.316218
-18.888124	0.171992	0.720691	0.005442	1.316211
-18.497617	0.102648	0.725696	0.005370	1.316207
-19.161401	0.221842	0.730701	0.005493	1.316215
-18.175097	0.050269	0.735706	0.005311	1.316209
-19.361429	0.250133	0.740710	0.005530	1.316208
-19.604305	0.295296	0.745715	0.005574	1.316213
-18.536354	-0.043936	0.750720	0.005378	1.316019
-21.080148	0.431215	0.755725	0.005846	1.316073
-17.986340	-0.090790	0.760730	0.005277	1.316075
-20.964765	0.307971	0.765734	0.005825	1.315946
-19.490518	0.264907	0.770739	0.005554	1.316199
-19.380706	-0.007783	0.775744	0.005534	1.315887
-20.746358	0.231787	0.780749	0.005785	1.315898
-20.396405	0.153656	0.785754	0.005721	1.315874
-20.779224	0.224157	0.790758	0.005791	1.315881
-20.458018	0.398485	0.795763	0.005732	1.316162
-18.984888	-0.198487	0.800768	0.005461	1.315735
-21.904661	0.344241	0.805773	0.005999	1.315795
-20.316367	0.023269	0.810778	0.005707	1.315731
-21.739794	0.353524	0.815782	0.005969	1.315840
-20.826830	0.235512	0.820787	0.005801	1.315885
-20.663347	0.025733	0.825792	0.005771	1.315662
-22.400359	0.393983	0.830797	0.006090	1.315753
-20.051639	-0.082016	0.835802	0.005658	1.315656
-22.720768	0.309100	0.840806	0.006150	1.315582
-22.480557	0.352633	0.845811	0.006105	1.315685
-20.046657	-0.073483	0.850816	0.005657	1.315668
-23.873860	0.492519	0.855821	0.006362	1.315567
-20.345558	-0.098347	0.860826	0.005713	1.315575
-23.403260	0.311679	0.865830	0.006276	1.315443
-22.092587	0.198131	0.870835	0.006034	1.315576
-21.686731	0.042565	0.875840	0.005960	1.315469
-24.494109	0.459262	0.880845	0.006477	1.315397
-21.238960	0.013114	0.885850	0.005877	1.315526
-23.563716	0.201760	0.890854	0.006305	1.315274
-23.130857	0.376591	0.895859	0.006226	1.315579
-21.915996	-0.047769	0.900864	0.006002	1.315310
-23.974356	0.269953	0.905869	0.006381	1.315272
-23.953129	0.259037	0.910874	0.006377	1.315263
-23.112933	0.123305	0.915878	0.006223	1.315271
-24.154163	0.294882	0.920883	0.006414	1.315266
-23.419439	0.168609	0.925888	0.006279	1.315263
-23.838416	0.251652	0.930893	0.006356	1.315278
-23.581435	0.199054	0.935898	0.006309	1.315267
-24.366044	0.122634	0.940902	0.006454	1.315010
-25.025007	0.441259	0.945907	0.006575	1.315264
-23.157100	-0.004714	0.950912	0.006231	1.315105
-25.455304	0.367791	0.955917	0.006654	1.315084
-23.726148	0.090240	0.960922	0.006336	1.315103
-25.977245	0.427187	0.965926	0.006751	1.315049
-23.987737	0.149556	0.970931	0.006384	1.315121
-24.885024	0.176448	0.975936	0.006550	1.314968
-25.656437	0.308783	0.980941	0.006692	1.314970
-25.200891	0.227980	0.985946	0.006608	1.314965
-25.172055	0.231604	0.990950	0.006603	1.314975
-25.740855	0.321128	0.995955	0.006708	1.314967
-25.721953	0.171916	1.000960	0.006704	1.314788

-25.322876	0.247842	1.010957	0.006631	1.314964
-25.244654	0.240051	1.020954	0.006617	1.314970
-25.608353	0.303812	1.030950	0.006684	1.314973
-25.448117	0.277239	1.040947	0.006654	1.314973
-25.069915	0.208937	1.050944	0.006585	1.314968
-25.418205	0.270154	1.060941	0.006649	1.314971
-24.852314	0.258804	1.070938	0.006545	1.315074
-25.147676	0.223171	1.080934	0.006599	1.314969
-25.614581	0.366706	1.090931	0.006685	1.315048
-24.492316	0.182141	1.100928	0.006479	1.315055
-25.144813	0.305985	1.110925	0.006599	1.315071
-24.658393	0.201291	1.120922	0.006510	1.315043
-24.675998	0.312448	1.130918	0.006513	1.315176
-25.157303	0.301405	1.140915	0.006602	1.315062
-24.054125	0.144895	1.150912	0.006399	1.315099
-24.463022	0.248766	1.160909	0.006474	1.315142
-24.726339	0.322143	1.170906	0.006523	1.315177
-24.707975	0.237157	1.180902	0.006519	1.315076
-24.415886	0.235877	1.190899	0.006466	1.315135
-24.283293	0.234033	1.200896	0.006441	1.315160
-23.695845	0.176210	1.210893	0.006333	1.315211
-24.267767	0.235684	1.220890	0.006439	1.315165
-24.338552	0.254960	1.230886	0.006452	1.315174
-24.781364	0.317980	1.240883	0.006534	1.315160
-23.398234	0.212059	1.250880	0.006279	1.315317
-24.181451	0.222377	1.260877	0.006423	1.315167
-23.675595	0.306763	1.270874	0.006330	1.315375
