Thu Feb 26 09:51:02 2026

Number of Points = 3587
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.016829	2.003026	0.000000	0.000900	1.049492

1.060024	1.989150	0.005005	0.000893	1.049496
0.832496	2.077329	0.010010	0.000933	1.049493
1.035919	1.994985	0.015014	0.000897	1.049491
0.898572	2.054747	0.020019	0.000922	1.049498
1.008736	1.946876	0.025024	0.000902	1.049415
0.884837	1.813868	0.030029	0.000924	1.049180
0.804712	1.838078	0.035034	0.000939	1.049170
0.874790	1.664485	0.040038	0.000926	1.048983
0.826902	1.594255	0.045043	0.000935	1.048868
0.760408	1.451591	0.050048	0.000947	1.048650
0.840647	1.315820	0.055053	0.000932	1.048516
0.492757	1.292912	0.060058	0.000995	1.048308
0.560473	1.124375	0.065062	0.000983	1.048125
0.542753	0.983193	0.070067	0.000986	1.047934
0.229419	0.887503	0.075072	0.001042	1.047650
0.439716	0.654283	0.080077	0.001005	1.047456
0.268110	0.518280	0.085082	0.001035	1.047193
-0.011662	0.449979	0.090086	0.001085	1.046961
-0.147279	0.309252	0.095091	0.001110	1.046710
-0.207070	0.142515	0.100096	0.001120	1.046463
0.008923	-0.125865	0.105101	0.001082	1.046228
-0.230827	-0.256622	0.110106	0.001125	1.045936
-0.375211	-0.421634	0.115110	0.001151	1.045648
-0.445124	-0.606913	0.120115	0.001163	1.045372
-0.738406	-0.689556	0.125120	0.001216	1.045115
-0.899763	-0.840392	0.130125	0.001245	1.044837
-1.301078	-0.885915	0.135130	0.001317	1.044571
-1.348081	-0.979280	0.140134	0.001325	1.044426
-1.604725	-1.046697	0.145139	0.001371	1.044206
-1.810741	-1.137537	0.150144	0.001408	1.043983
-1.689201	-1.259433	0.155149	0.001386	1.043887
-2.084273	-1.333043	0.160154	0.001457	1.043588
-2.013753	-1.421952	0.165158	0.001444	1.043509
-2.209110	-1.461229	0.170163	0.001479	1.043358
-2.602504	-1.468202	0.175168	0.001550	1.043146
-2.651757	-1.540452	0.180173	0.001559	1.043027
-2.948383	-1.511000	0.185178	0.001612	1.042912
-3.053705	-1.622774	0.190182	0.001631	1.042713
-3.291722	-1.521942	0.195187	0.001673	1.042720
-4.167101	-1.178865	0.200192	0.001830	1.042714
-3.966504	-1.251490	0.205197	0.001794	1.042723
-4.027711	-1.234147	0.210202	0.001805	1.042714
-4.311069	-1.121054	0.215206	0.001856	1.042714
-4.330608	-1.113246	0.220211	0.001859	1.042714
-4.389057	-1.112479	0.225216	0.001870	1.042685
-4.097985	-1.438853	0.230221	0.001818	1.042411
-4.350220	-1.354160	0.235226	0.001863	1.042391
-5.145298	-1.033758	0.240230	0.002005	1.042396
-4.845299	-1.156479	0.245235	0.001952	1.042392
-5.338625	-0.959589	0.250240	0.002040	1.042392
-5.019653	-1.077517	0.255245	0.001983	1.042404
-4.564780	-1.381313	0.260250	0.001902	1.042245
-5.425862	-1.162734	0.265254	0.002056	1.042084
-5.176900	-1.253228	0.270259	0.002011	1.042095
-5.499384	-1.136119	0.275264	0.002069	1.042080
-5.478162	-1.247626	0.280269	0.002065	1.041946
-6.226298	-0.996510	0.285274	0.002199	1.041886
-5.968241	-1.197011	0.290278	0.002153	1.041759
-5.679553	-1.306448	0.295283	0.002101	1.041765
-6.327095	-1.051189	0.300288	0.002217	1.041762
-5.984053	-1.188634	0.305293	0.002156	1.041761
-6.504211	-1.202448	0.310298	0.002249	1.041474
-6.452957	-1.239414	0.315302	0.002240	1.041453
-6.508221	-1.216365	0.320307	0.002250	1.041454
-6.943118	-1.041697	0.325312	0.002328	1.041456
-6.503754	-1.251400	0.330317	0.002249	1.041410
-7.443142	-1.083862	0.335322	0.002417	1.041143
-7.380037	-1.117061	0.340326	0.002406	1.041132
-6.769242	-1.346153	0.345331	0.002297	1.041150
-7.746928	-0.964730	0.350336	0.002472	1.041140
-7.108699	-1.215324	0.355341	0.002358	1.041144
-7.453321	-1.275589	0.360346	0.002419	1.040888
-7.685953	-1.214294	0.365350	0.002461	1.040847
-7.434805	-1.311687	0.370355	0.002416	1.040850
-8.877085	-0.864912	0.375360	0.002674	1.040685
-7.694143	-1.250910	0.380365	0.002462	1.040795
-8.650116	-1.083363	0.385370	0.002634	1.040518
-8.789311	-1.036707	0.390374	0.002658	1.040507
-8.321801	-1.218106	0.395379	0.002575	1.040513
-8.781042	-1.029595	0.400384	0.002657	1.040520
-8.196180	-1.264068	0.405389	0.002553	1.040518
-9.133938	-1.107731	0.410394	0.002720	1.040236
-9.407800	-0.859797	0.415398	0.002769	1.040416
-9.127854	-1.100173	0.420403	0.002719	1.040249
-9.123070	-1.139711	0.425408	0.002719	1.040200
-9.360157	-1.042077	0.430413	0.002761	1.040204
-9.215508	-1.175542	0.435418	0.002735	1.040105
-9.842983	-0.971732	0.440422	0.002847	1.040045
-9.824273	-1.098604	0.445427	0.002844	1.039890
-9.721100	-1.146659	0.450432	0.002826	1.039881
-9.898514	-1.067248	0.455437	0.002857	1.039892
-10.256892	-1.073745	0.460442	0.002922	1.039698
-10.145761	-1.107554	0.465446	0.002902	1.039712
-10.480659	-1.072039	0.470451	0.002962	1.039584
-10.593725	-1.026885	0.475456	0.002982	1.039584
-10.352980	-1.122068	0.480461	0.002939	1.039585
-10.964929	-1.053286	0.485466	0.003049	1.039358
-10.863525	-1.038388	0.490470	0.003030	1.039430
-11.441504	-0.939885	0.495475	0.003134	1.039258
-11.264187	-1.014866	0.500480	0.003102	1.039252
-10.694957	-1.231966	0.505485	0.003000	1.039265
-11.324437	-1.163467	0.510490	0.003113	1.039028
-11.901228	-0.970587	0.515494	0.003216	1.038980
-11.856126	-1.001824	0.520499	0.003208	1.038963
-11.994932	-0.955244	0.525504	0.003233	1.038951
-11.584127	-1.118476	0.530509	0.003160	1.038951
-11.708331	-1.069068	0.535514	0.003182	1.038951
-12.349413	-0.820597	0.540518	0.003297	1.038942
-12.526848	-0.983355	0.545523	0.003328	1.038639
-12.640128	-0.945192	0.550528	0.003349	1.038629
-12.477169	-0.995744	0.555533	0.003320	1.038648
-12.140588	-1.139931	0.560538	0.003259	1.038635
-12.785039	-0.947990	0.565542	0.003375	1.038550
-12.835169	-1.053219	0.570547	0.003384	1.038387
-12.838518	-1.051852	0.575552	0.003384	1.038387
-12.721298	-1.112447	0.580557	0.003364	1.038369
-13.590073	-1.005833	0.585562	0.003519	1.038058
-14.005241	-0.824606	0.590566	0.003593	1.038078
-12.934250	-1.164770	0.595571	0.003402	1.038190
-14.039051	-0.830504	0.600576	0.003599	1.038053
-13.720024	-0.953496	0.605581	0.003542	1.038058
-13.252089	-1.283807	0.610586	0.003459	1.037870
-14.593917	-0.854317	0.615590	0.003699	1.037734
-14.635803	-0.769176	0.620595	0.003706	1.037823
-14.277031	-0.980441	0.625600	0.003642	1.037734
-14.111031	-1.043905	0.630605	0.003613	1.037737
-14.287615	-0.971008	0.635610	0.003644	1.037740
-15.159681	-0.802653	0.640614	0.003800	1.037507
-13.891174	-1.273744	0.645619	0.003573	1.037551
-15.452252	-0.753527	0.650624	0.003853	1.037419
-15.384851	-0.778704	0.655629	0.003841	1.037421
-14.483543	-1.181757	0.660634	0.003680	1.037363
-15.813655	-0.730689	0.665638	0.003917	1.037261
-15.118832	-1.094369	0.670643	0.003793	1.037147
-15.530984	-0.965254	0.675648	0.003867	1.037102
-15.877620	-0.822213	0.680653	0.003929	1.037108
-15.418945	-1.114757	0.685658	0.003847	1.036965
-16.510829	-0.633275	0.690662	0.004042	1.037026
-15.784420	-0.974482	0.695667	0.003913	1.036958
-16.549772	-0.805767	0.700672	0.004049	1.036780
-16.555372	-0.801589	0.705677	0.004051	1.036783
-15.382832	-1.283853	0.710682	0.003841	1.036763
-17.342421	-0.652246	0.715686	0.004191	1.036569
-16.319726	-0.970955	0.720691	0.004009	1.036684
-17.077563	-0.830325	0.725696	0.004144	1.036474
-17.345743	-0.718752	0.730701	0.004192	1.036480
-16.683768	-0.985037	0.735706	0.004074	1.036476
-17.040006	-0.845773	0.740710	0.004138	1.036473
-16.697224	-1.143101	0.745715	0.004076	1.036263
-17.180365	-1.031759	0.750720	0.004163	1.036157
-18.013735	-0.695562	0.755725	0.004312	1.036163
-17.023005	-1.182634	0.760730	0.004135	1.036042
-18.207549	-0.846135	0.765734	0.004347	1.035866
-17.773549	-1.013123	0.770739	0.004269	1.035873
-17.862015	-0.981283	0.775744	0.004285	1.035868
-18.497071	-0.727794	0.780749	0.004399	1.035869
-17.916361	-1.127214	0.785754	0.004295	1.035649
-18.611459	-0.933354	0.790758	0.004419	1.035541
-18.842661	-0.839909	0.795763	0.004461	1.035543
-18.468001	-0.987345	0.800768	0.004394	1.035545
-18.596171	-1.002177	0.805773	0.004417	1.035459
-18.683654	-1.144086	0.810778	0.004432	1.035228
-19.635349	-0.768247	0.815782	0.004602	1.035224
-19.760437	-0.707300	0.820787	0.004625	1.035238
-19.377425	-0.870974	0.825792	0.004556	1.035224
-19.568987	-0.786853	0.830797	0.004591	1.035234
-18.610674	-1.222461	0.835802	0.004419	1.035163
-19.796566	-0.946533	0.840806	0.004632	1.034907
-19.692276	-0.984372	0.845811	0.004613	1.034911
-19.712524	-0.981476	0.850816	0.004617	1.034905
-20.172304	-0.802591	0.855821	0.004699	1.034899
-20.476759	-0.903660	0.860826	0.004753	1.034609
-20.831337	-0.774477	0.865830	0.004817	1.034593
-20.212831	-0.830094	0.870835	0.004706	1.034842
-20.972783	-0.706572	0.875840	0.004842	1.034608
-20.897080	-0.736377	0.880845	0.004829	1.034608
-20.231591	-1.001809	0.885850	0.004710	1.034607
-21.374035	-0.547152	0.890854	0.004914	1.034607
-21.026032	-0.688405	0.895859	0.004852	1.034603
-21.144582	-0.881208	0.900864	0.004873	1.034289
-21.957941	-0.562868	0.905869	0.005019	1.034282
-20.784631	-1.026528	0.910874	0.004809	1.034287
-21.417301	-0.783345	0.915878	0.004922	1.034275
-21.806850	-0.635815	0.920883	0.004992	1.034265
-21.754297	-0.876772	0.925888	0.004983	1.033977
-22.242908	-0.677742	0.930893	0.005070	1.033983
-22.003886	-0.775073	0.935898	0.005027	1.033980
-22.221574	-0.701808	0.940902	0.005066	1.033962
-22.178146	-0.713213	0.945907	0.005058	1.033970
-22.102973	-0.984178	0.950912	0.005045	1.033655
-23.089702	-0.587136	0.955917	0.005222	1.033660
-22.234016	-0.917857	0.960922	0.005069	1.033673
-22.860401	-0.800802	0.965926	0.005181	1.033500
-23.333182	-0.503171	0.970931	0.005265	1.033643
-22.705356	-0.902676	0.975936	0.005153	1.033447
-22.924567	-0.830584	0.980941	0.005192	1.033427
-22.719903	-0.982132	0.985946	0.005156	1.033335
-23.702150	-0.779118	0.990950	0.005332	1.033089
-24.278130	-0.542794	0.995955	0.005435	1.033098
-23.625778	-0.807077	1.000960	0.005318	1.033092

-23.251476	-0.964270	1.010957	0.005251	1.033081
-23.998500	-0.655029	1.020954	0.005385	1.033096
-23.574967	-0.828956	1.030950	0.005309	1.033089
-23.981073	-0.666372	1.040947	0.005382	1.033090
-23.803072	-0.679601	1.050944	0.005350	1.033165
-23.081011	-0.919165	1.060941	0.005221	1.033228
-23.248675	-0.834846	1.070938	0.005251	1.033250
-23.481314	-0.659314	1.080934	0.005293	1.033359
-23.528325	-0.752464	1.090931	0.005301	1.033212
-23.127449	-0.794207	1.100928	0.005230	1.033366
-22.968970	-0.878499	1.110925	0.005201	1.033338
-23.231136	-0.704944	1.120922	0.005248	1.033428
-23.267539	-0.693849	1.130918	0.005255	1.033424
-23.061229	-0.782848	1.140915	0.005218	1.033414
-22.898067	-0.843139	1.150912	0.005189	1.033420
-22.762349	-0.772778	1.160909	0.005165	1.033583
-22.790367	-0.771295	1.170906	0.005170	1.033570
-22.828386	-0.795883	1.180902	0.005177	1.033518
-22.365572	-1.025595	1.190899	0.005094	1.033458
-22.796357	-0.806410	1.200896	0.005171	1.033520
-22.516326	-0.810399	1.210893	0.005121	1.033660
-22.667393	-0.753357	1.220890	0.005148	1.033656
-22.771578	-0.705718	1.230886	0.005167	1.033664
-22.463530	-0.772657	1.240883	0.005112	1.033737
-22.295971	-0.723837	1.250880	0.005082	1.033887
-21.895216	-0.836277	1.260877	0.005011	1.033949
-22.468174	-0.648036	1.270874	0.005113	1.033896
-22.217018	-0.685258	1.280870	0.005068	1.033978
-21.866193	-0.884150	1.290867	0.005006	1.033901
-22.139557	-0.715724	1.300864	0.005055	1.033978
-21.545435	-0.880092	1.310861	0.004948	1.034072
-22.382354	-0.618452	1.320858	0.005098	1.033979
-22.002192	-0.680247	1.330854	0.005030	1.034095
-21.307063	-0.914530	1.340851	0.004906	1.034151
-21.618429	-0.818544	1.350848	0.004962	1.034114
-21.431146	-0.861949	1.360845	0.004928	1.034154
-21.706746	-0.890848	1.370842	0.004978	1.033973
-21.618595	-0.827544	1.380838	0.004962	1.034101
-21.058736	-1.015089	1.390835	0.004862	1.034147
-21.367563	-0.885500	1.400832	0.004917	1.034156
-21.427376	-0.786949	1.410829	0.004928	1.034253
-21.366976	-0.864735	1.420826	0.004917	1.034183
-21.204112	-0.856146	1.430822	0.004888	1.034278
-20.852776	-0.995648	1.440819	0.004826	1.034279
-20.909591	-0.976251	1.450816	0.004836	1.034274
-21.218952	-0.849619	1.460813	0.004891	1.034278
-20.956669	-0.953609	1.470810	0.004844	1.034279
-21.247210	-0.805470	1.480806	0.004896	1.034321
-20.316978	-1.039925	1.490803	0.004730	1.034498
-20.762201	-0.889049	1.500800	0.004810	1.034464
-21.083957	-0.693193	1.510797	0.004867	1.034552
-20.447186	-0.993271	1.520794	0.004754	1.034491
-20.542209	-0.921287	1.530790	0.004771	1.034535
-20.517853	-0.832469	1.540787	0.004766	1.034664
-20.368950	-0.865062	1.550784	0.004740	1.034698
-20.878004	-0.667607	1.560781	0.004831	1.034691
-20.070766	-0.948820	1.570778	0.004687	1.034743
-19.905278	-1.058778	1.580774	0.004657	1.034686
-20.139473	-0.936289	1.590771	0.004699	1.034724
-20.285010	-0.776588	1.600768	0.004725	1.034856
-20.167537	-0.872461	1.610765	0.004704	1.034792
-20.275081	-0.740742	1.620762	0.004724	1.034908
-19.697409	-0.973991	1.630758	0.004620	1.034903
-20.077465	-0.704877	1.640755	0.004688	1.035057
-19.792194	-0.781093	1.650752	0.004638	1.035105
-19.867611	-0.794327	1.660749	0.004651	1.035049
-19.838432	-0.741728	1.670746	0.004646	1.035132
-19.102254	-0.987326	1.680742	0.004514	1.035194
-19.851815	-0.680253	1.690739	0.004649	1.035205
-19.605666	-0.763093	1.700736	0.004605	1.035225
-19.538144	-0.789547	1.710733	0.004593	1.035225
-19.454446	-0.821662	1.720730	0.004578	1.035226
-18.953164	-0.902338	1.730726	0.004488	1.035381
-19.173346	-0.827910	1.740723	0.004528	1.035364
-19.407226	-0.695832	1.750720	0.004569	1.035414
-19.229719	-0.806473	1.760717	0.004538	1.035362
-18.935698	-0.783912	1.770714	0.004485	1.035544
-18.806344	-0.837913	1.780710	0.004462	1.035540
-18.903270	-0.800279	1.790707	0.004480	1.035539
-19.344744	-0.626448	1.800704	0.004559	1.035536
-18.995420	-0.728800	1.810701	0.004496	1.035584
-18.545015	-0.821392	1.820698	0.004416	1.035697
-18.451132	-0.850016	1.830694	0.004399	1.035708
-18.674051	-0.741930	1.840691	0.004439	1.035733
-18.570691	-0.739715	1.850688	0.004421	1.035789
-18.487386	-0.858496	1.860685	0.004406	1.035677
-18.242343	-0.877115	1.870682	0.004362	1.035780
-18.034182	-0.946078	1.880678	0.004325	1.035798
-18.661503	-0.700005	1.890675	0.004437	1.035793
-18.485790	-0.783119	1.900672	0.004406	1.035776
-17.906344	-0.936462	1.910669	0.004302	1.035876
-17.786782	-0.985547	1.920666	0.004281	1.035874
-18.156310	-0.834729	1.930662	0.004347	1.035879
-18.452572	-0.668578	1.940659	0.004400	1.035941
-17.932648	-0.910693	1.950656	0.004307	1.035895
-17.688707	-0.935443	1.960653	0.004264	1.035989
-17.690651	-0.914178	1.970650	0.004264	1.036016
-17.864253	-0.768335	1.980646	0.004295	1.036116
-18.138942	-0.623103	1.990643	0.004345	1.036162
-17.532326	-0.863011	2.000640	0.004236	1.036164
-17.617734	-0.800551	2.010637	0.004252	1.036201
-17.363668	-0.706956	2.020634	0.004206	1.036455
-17.169760	-0.901935	2.030630	0.004172	1.036301
-17.755213	-0.622808	2.040627	0.004276	1.036361
-17.421046	-0.707705	2.050624	0.004217	1.036423
-16.813760	-0.908268	2.060621	0.004108	1.036477
-17.144677	-0.772283	2.070618	0.004167	1.036482
-17.575958	-0.600840	2.080614	0.004245	1.036482
-17.131096	-0.780252	2.090611	0.004165	1.036478
-16.811355	-0.891222	2.100608	0.004108	1.036499
-16.829250	-0.786527	2.110605	0.004111	1.036626
-16.764709	-0.786021	2.120602	0.004100	1.036660
-17.051358	-0.689892	2.130598	0.004151	1.036636
-16.786137	-0.788206	2.140595	0.004104	1.036646
-16.422248	-0.875748	2.150592	0.004039	1.036720
-16.443365	-0.891191	2.160589	0.004043	1.036689
-16.807928	-0.691224	2.170586	0.004108	1.036760
-16.516858	-0.785320	2.180582	0.004056	1.036788
-16.299951	-0.876630	2.190579	0.004017	1.036782
-16.407889	-0.834377	2.200576	0.004037	1.036780
-16.482471	-0.807141	2.210573	0.004050	1.036777
-16.100447	-0.812327	2.220570	0.003982	1.036968
-16.287031	-0.742488	2.230566	0.004015	1.036962
-16.202389	-0.832646	2.240563	0.004000	1.036888
-16.064495	-0.714437	2.250560	0.003976	1.037114
-15.751348	-0.843395	2.260557	0.003920	1.037108
-15.792314	-0.821866	2.270554	0.003927	1.037114
-16.327865	-0.674580	2.280550	0.004023	1.037028
-15.973250	-0.752650	2.290547	0.003960	1.037110
-15.247717	-0.950710	2.300544	0.003830	1.037228
-15.696220	-0.859850	2.310541	0.003910	1.037114
-15.805125	-0.737879	2.320538	0.003930	1.037216
-15.676392	-0.751513	2.330534	0.003907	1.037265
-15.230877	-0.942275	2.340531	0.003827	1.037247
-15.409813	-0.842617	2.350528	0.003859	1.037284
-15.132372	-0.922577	2.360525	0.003810	1.037323
