Thu Feb 26 11:10:56 2026

Number of Points = 3601
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.978031	1.525601	0.000000	0.000689	1.050424

0.775650	1.605852	0.005005	0.000725	1.050424
1.022155	1.284194	0.010010	0.000681	1.050136
0.453562	1.439083	0.015014	0.000783	1.050045
0.514499	1.221284	0.020019	0.000772	1.049795
0.506871	1.092957	0.025024	0.000773	1.049626
0.290629	1.070677	0.030029	0.000812	1.049487
0.528912	0.784795	0.035034	0.000769	1.049241
-0.050965	0.871335	0.040038	0.000873	1.049055
-0.037426	0.715777	0.045043	0.000871	1.048862
-0.173781	0.609214	0.050048	0.000895	1.048655
-0.273148	0.571679	0.055053	0.000913	1.048556
0.056467	0.269313	0.060058	0.000854	1.048335
-0.452500	0.241863	0.065062	0.000945	1.048039
-0.688226	0.281750	0.070067	0.000987	1.047969
-0.774273	0.069006	0.075072	0.001002	1.047651
-1.086271	0.170365	0.080077	0.001058	1.047621
-1.140968	-0.033167	0.085082	0.001068	1.047331
-1.485671	0.000509	0.090086	0.001130	1.047197
-1.807692	-0.005368	0.095091	0.001187	1.047024
-1.527631	-0.120612	0.100096	0.001137	1.047019
-1.985258	-0.049171	0.105101	0.001219	1.046877
-1.729834	-0.287163	0.110106	0.001173	1.046701
-1.967272	-0.337689	0.115110	0.001216	1.046514
-2.549366	-0.200348	0.120115	0.001320	1.046392
-2.084136	-0.392649	0.125120	0.001237	1.046383
-2.670231	-0.368528	0.130125	0.001342	1.046113
-2.671166	-0.393002	0.135130	0.001342	1.046081
-2.693638	-0.398755	0.140134	0.001346	1.046062
-3.147896	-0.397838	0.145139	0.001427	1.045829
-3.033621	-0.484094	0.150144	0.001407	1.045777
-3.171623	-0.424424	0.155149	0.001431	1.045783
-3.244600	-0.612362	0.160154	0.001444	1.045502
-3.493151	-0.552250	0.165158	0.001489	1.045452
-3.465764	-0.578013	0.170163	0.001484	1.045433
-3.362903	-0.849364	0.175168	0.001466	1.045135
-3.907541	-0.633031	0.180173	0.001563	1.045135
-4.119942	-0.732641	0.185178	0.001601	1.044897
-4.065208	-0.815147	0.190182	0.001591	1.044818
-4.674544	-0.566067	0.195187	0.001700	1.044827
-4.098037	-0.809468	0.200192	0.001597	1.044809
-4.557242	-0.854981	0.205197	0.001679	1.044514
-4.557693	-0.851192	0.210202	0.001679	1.044518
-4.677242	-0.889908	0.215206	0.001701	1.044407
-5.372106	-0.774126	0.220211	0.001825	1.044199
-5.161379	-0.863534	0.225216	0.001787	1.044191
