Thu Feb 26 12:02:37 2026

Number of Points = 3586
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.031513	2.197916	0.000000	0.000969	1.043928

1.140094	2.228402	0.005005	0.000950	1.044022
1.037691	2.152688	0.010010	0.000968	1.043871
1.095813	2.140066	0.015014	0.000958	1.043883
0.961676	2.185802	0.020019	0.000982	1.043873
0.924303	2.206899	0.025024	0.000989	1.043880
1.063754	2.073119	0.030029	0.000965	1.043778
1.018076	1.932613	0.035034	0.000973	1.043571
1.070135	1.836283	0.040038	0.000964	1.043473
0.728455	1.875549	0.045043	0.001026	1.043347
0.699911	1.810466	0.050048	0.001031	1.043247
0.492921	1.719838	0.055053	0.001068	1.043022
0.502729	1.636748	0.060058	0.001067	1.042919
0.448402	1.488136	0.065062	0.001077	1.042697
0.060405	1.516953	0.070067	0.001147	1.042533
0.069771	1.398801	0.075072	0.001145	1.042384
-0.022703	1.332025	0.080077	0.001162	1.042249
0.133562	1.129749	0.085082	0.001134	1.042067
0.100011	0.938778	0.090086	0.001141	1.041801
-0.247853	0.917935	0.095091	0.001203	1.041593
-0.174230	0.762948	0.100096	0.001190	1.041430
-0.568545	0.688139	0.105101	0.001261	1.041128
-0.387773	0.512268	0.110106	0.001229	1.040992
-0.424820	0.334743	0.115110	0.001236	1.040742
-1.242474	0.468411	0.120115	0.001383	1.040492
-0.905152	0.258958	0.125120	0.001323	1.040393
-1.353819	0.283028	0.130125	0.001403	1.040192
-1.868765	0.475975	0.135130	0.001495	1.040176
-1.908276	0.260556	0.140134	0.001503	1.039874
-2.343808	0.431212	0.145139	0.001581	1.039870
-2.290458	0.407836	0.150144	0.001572	1.039866
-2.170459	0.370304	0.155149	0.001551	1.039879
-2.668492	0.409845	0.160154	0.001640	1.039672
-2.491100	0.256657	0.165158	0.001608	1.039564
-2.916194	0.429645	0.170163	0.001685	1.039568
-2.742725	0.355221	0.175168	0.001654	1.039560
-2.881621	0.227392	0.180173	0.001679	1.039321
-3.945919	0.684435	0.185178	0.001870	1.039364
-2.668403	0.158053	0.190182	0.001642	1.039340
-3.321488	0.341066	0.195187	0.001759	1.039239
-3.581092	0.440809	0.200192	0.001805	1.039233
-3.561390	0.241699	0.205197	0.001802	1.038984
-4.469432	0.557895	0.210202	0.001965	1.038924
-3.644804	0.235162	0.215206	0.001818	1.038930
-4.074091	0.405143	0.220211	0.001895	1.038929
-4.130892	0.436469	0.225216	0.001905	1.038939
-3.872701	0.171104	0.230221	0.001859	1.038727
-5.345695	0.732088	0.235226	0.002123	1.038693
-3.947614	0.222613	0.240230	0.001873	1.038753
-4.686446	0.414199	0.245235	0.002006	1.038619
-4.585961	0.378542	0.250240	0.001988	1.038624
-4.460647	0.137753	0.255245	0.001966	1.038375
-5.616844	0.589452	0.260250	0.002173	1.038363
-4.688835	0.223761	0.265254	0.002007	1.038367
-5.829933	0.527548	0.270259	0.002212	1.038170
-5.384574	0.499282	0.275264	0.002132	1.038363
-5.437998	0.278139	0.280269	0.002142	1.038047
-6.322788	0.623319	0.285274	0.002301	1.038037
-5.443943	0.276949	0.290278	0.002144	1.038041
-6.230419	0.586174	0.295283	0.002285	1.038035
-6.064568	0.518083	0.300288	0.002255	1.038031
-5.412751	0.117161	0.305293	0.002139	1.037846
-7.337352	0.799108	0.310298	0.002484	1.037736
-6.133111	0.308293	0.315302	0.002268	1.037720
-6.178469	0.324330	0.320307	0.002277	1.037717
-6.922751	0.619343	0.325312	0.002410	1.037714
-6.472857	0.245941	0.330317	0.002330	1.037460
-8.105274	0.909268	0.335322	0.002622	1.037477
-6.493980	0.349222	0.340326	0.002334	1.037582
-7.545776	0.624191	0.345331	0.002523	1.037394
-7.546586	0.620700	0.350336	0.002523	1.037389
-6.401054	0.099823	0.355341	0.002319	1.037303
-8.567826	0.863741	0.360346	0.002706	1.037174
-7.322466	0.453870	0.365350	0.002484	1.037285
-7.615174	0.426077	0.370355	0.002537	1.037096
-8.106132	0.619547	0.375360	0.002625	1.037093
-7.360890	0.214549	0.380365	0.002492	1.036951
-9.204669	0.834925	0.385370	0.002822	1.036802
-8.006845	0.451358	0.390374	0.002608	1.036923
-8.309463	0.456178	0.395379	0.002662	1.036771
-8.827961	0.660674	0.400384	0.002755	1.036768
-7.832720	0.156075	0.405389	0.002578	1.036626
-9.761680	0.799814	0.410394	0.002923	1.036463
-8.943244	0.475604	0.415398	0.002777	1.036464
-8.733188	0.391412	0.420403	0.002739	1.036463
-9.462653	0.675162	0.425408	0.002870	1.036453
-8.490400	0.189554	0.430413	0.002697	1.036324
-9.964003	0.637664	0.435418	0.002960	1.036142
-9.277933	0.372540	0.440422	0.002838	1.036152
-9.228204	0.225473	0.445427	0.002829	1.035985
-10.464124	0.658804	0.450432	0.003051	1.035908
-9.272702	0.140357	0.455437	0.002838	1.035849
-10.412131	0.596884	0.460442	0.003042	1.035852
-10.106603	0.472652	0.465446	0.002988	1.035848
-10.218539	0.310337	0.470451	0.003008	1.035577
-10.910143	0.546332	0.475456	0.003132	1.035525
-10.065191	0.211610	0.480461	0.002981	1.035526
-10.845863	0.468597	0.485466	0.003121	1.035455
-10.484578	0.346559	0.490470	0.003057	1.035483
-10.880361	0.290860	0.495475	0.003128	1.035204
-11.680993	0.617431	0.500480	0.003271	1.035213
-10.419632	0.115145	0.505485	0.003046	1.035212
-12.141169	0.673974	0.510490	0.003354	1.035046
-11.149378	0.389732	0.515494	0.003177	1.035190
-11.129773	0.157983	0.520499	0.003174	1.034896
-12.295156	0.621039	0.525504	0.003383	1.034894
-11.534612	0.325405	0.530509	0.003247	1.034903
-12.032052	0.409524	0.535514	0.003336	1.034753
-12.128756	0.532757	0.540518	0.003354	1.034863
-12.073407	0.298979	0.545523	0.003344	1.034586
-12.709158	0.551854	0.550528	0.003458	1.034585
-12.031143	0.283692	0.555533	0.003337	1.034586
-13.081517	0.553100	0.560538	0.003525	1.034391
-12.759103	0.572461	0.565542	0.003468	1.034583
-12.479798	0.254423	0.570547	0.003418	1.034312
-14.162395	0.907813	0.575552	0.003719	1.034290
-12.470466	0.371559	0.580557	0.003417	1.034468
-13.149431	0.480591	0.585562	0.003539	1.034257
-13.890258	0.781630	0.590566	0.003672	1.034264
-12.897417	0.331408	0.595571	0.003494	1.034191
-14.519032	0.914798	0.600576	0.003785	1.034109
-12.890338	0.232040	0.605581	0.003494	1.034063
-13.716031	0.476372	0.610586	0.003641	1.033952
-14.865441	0.935777	0.615590	0.003847	1.033954
-13.059677	0.136269	0.620595	0.003525	1.033848
-15.038648	0.772329	0.625600	0.003879	1.033648
-13.756565	0.339094	0.630605	0.003650	1.033748
-14.248470	0.457316	0.635610	0.003738	1.033646
-15.166757	0.827816	0.640614	0.003903	1.033652
-13.967944	0.262980	0.645619	0.003689	1.033536
-15.596913	0.810821	0.650624	0.003980	1.033404
-14.774005	0.485613	0.655629	0.003833	1.033406
-14.639822	0.326988	0.660634	0.003810	1.033268
-16.071431	0.981433	0.665638	0.004066	1.033378
-14.366879	0.169638	0.670643	0.003761	1.033202
-15.805155	0.641544	0.675648	0.004019	1.033070
-15.722541	0.617145	0.680653	0.004004	1.033080
-15.043887	0.206187	0.685658	0.003883	1.032895
-16.562077	0.771298	0.690662	0.004155	1.032843
-15.691793	0.366048	0.695667	0.004000	1.032765
-16.641339	0.740183	0.700672	0.004170	1.032759
-16.278859	0.604774	0.705677	0.004105	1.032770
-15.609915	0.242012	0.710682	0.003986	1.032643
-17.166950	0.842932	0.715686	0.004265	1.032617
-15.870843	0.230904	0.720691	0.004033	1.032491
-16.738882	0.537371	0.725696	0.004189	1.032439
-17.372531	0.796113	0.730701	0.004302	1.032446
-16.594317	0.346374	0.735706	0.004163	1.032262
-17.682469	0.793761	0.740710	0.004358	1.032280
-16.997871	0.429873	0.745715	0.004236	1.032160
-17.499014	0.610062	0.750720	0.004326	1.032133
-17.291392	0.535941	0.755725	0.004289	1.032144
-16.757938	0.123170	0.760730	0.004194	1.031880
-18.509090	0.770088	0.765734	0.004508	1.031814
-17.925234	0.536338	0.770739	0.004403	1.031811
-18.210572	0.654080	0.775744	0.004455	1.031816
-18.236173	0.664237	0.780749	0.004460	1.031815
-17.534316	0.258141	0.785754	0.004334	1.031648
-19.209817	0.867813	0.790758	0.004634	1.031572
-17.974567	0.361604	0.795763	0.004414	1.031552
-18.681879	0.607286	0.800768	0.004541	1.031504
-19.116141	0.784800	0.805773	0.004618	1.031510
-18.264420	0.305200	0.810778	0.004466	1.031325
-19.837129	0.866533	0.815782	0.004748	1.031239
-18.340670	0.341680	0.820787	0.004481	1.031331
-18.938194	0.463362	0.825792	0.004588	1.031178
-19.929140	0.768731	0.830797	0.004765	1.031060
-18.720828	0.207126	0.835802	0.004549	1.030954
-20.329742	0.802249	0.840806	0.004838	1.030893
-19.846329	0.606759	0.845811	0.004751	1.030888
-19.824352	0.603388	0.850816	0.004748	1.030895
