Thu May 21 10:07:20 2026

Number of Points = 3563
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
2.060845	2.652777	0.000000	0.001242	1.034749

2.231851	2.708935	0.005005	0.001212	1.034910
2.200766	2.716137	0.010010	0.001218	1.034900
2.464963	2.504993	0.015014	0.001172	1.034759
2.055397	2.553015	0.020019	0.001246	1.034605
2.218037	2.485485	0.025024	0.001218	1.034599
2.382493	2.429295	0.030029	0.001190	1.034608
2.073399	2.349229	0.035034	0.001246	1.034338
2.294026	2.225729	0.040038	0.001207	1.034289
2.163507	2.128942	0.045043	0.001232	1.034091
1.884815	2.155633	0.050048	0.001282	1.033977
1.912657	1.980440	0.055053	0.001278	1.033759
1.581657	2.043155	0.060058	0.001339	1.033665
1.583495	1.919932	0.065062	0.001339	1.033501
1.635443	1.842874	0.070067	0.001331	1.033424
1.320301	1.735972	0.075072	0.001388	1.033116
1.467390	1.629430	0.080077	0.001363	1.033050
0.704637	1.728183	0.085082	0.001500	1.032777
0.840828	1.678143	0.090086	0.001477	1.032780
0.661312	1.577159	0.095091	0.001510	1.032550
0.544660	1.546561	0.100096	0.001532	1.032446
0.538976	1.501910	0.105101	0.001533	1.032382
0.168354	1.478436	0.110106	0.001601	1.032154
0.393067	1.384739	0.115110	0.001561	1.032145
-0.040038	1.322034	0.120115	0.001640	1.031833
-0.323197	1.425321	0.125120	0.001691	1.031817
-0.115648	1.310318	0.130125	0.001655	1.031772
-0.516206	1.280820	0.135130	0.001728	1.031520
-0.619355	1.323358	0.140134	0.001747	1.031519
-0.687815	1.322147	0.145139	0.001760	1.031479
-1.079446	1.270196	0.150144	0.001831	1.031202
-0.850519	1.184060	0.155149	0.001791	1.031206
-0.940732	1.204148	0.160154	0.001808	1.031183
-1.141390	1.076055	0.165158	0.001845	1.030906
-1.155145	1.089168	0.170163	0.001849	1.030913
-1.648273	1.145232	0.175168	0.001938	1.030725
-1.549072	0.997876	0.180173	0.001921	1.030580
-1.667891	1.039562	0.185178	0.001943	1.030570
-1.670159	0.934516	0.190182	0.001945	1.030427
-1.627620	0.796589	0.195187	0.001938	1.030265
-2.031030	0.863597	0.200192	0.002011	1.030139
-2.043796	0.730721	0.205197	0.002014	1.029954
-2.292098	0.821855	0.210202	0.002060	1.029941
-2.415943	0.699590	0.215206	0.002083	1.029712
-2.221039	0.577749	0.220211	0.002049	1.029651
-2.731157	0.618134	0.225216	0.002141	1.029433
-2.695743	0.527269	0.230221	0.002135	1.029329
-2.803979	0.558836	0.235226	0.002156	1.029311
-3.193735	0.487103	0.240230	0.002226	1.029008
-3.093592	0.454433	0.245235	0.002209	1.029015
-3.057247	0.333862	0.250240	0.002204	1.028872
-3.105229	0.232634	0.255245	0.002213	1.028710
-3.452512	0.255090	0.260250	0.002276	1.028554
-4.021874	0.410776	0.265254	0.002379	1.028457
-3.708873	0.290564	0.270259	0.002324	1.028461
-4.049763	0.372514	0.275264	0.002386	1.028387
-4.225277	0.256483	0.280269	0.002418	1.028138
-4.498945	0.354865	0.285274	0.002468	1.028121
-4.277243	0.276254	0.290278	0.002430	1.028131
-4.464142	0.246397	0.295283	0.002464	1.027990
-5.269160	0.437964	0.300288	0.002609	1.027817
-4.859890	0.283015	0.305293	0.002537	1.027825
-4.763286	0.237405	0.310298	0.002520	1.027813
-4.958633	0.306272	0.315302	0.002556	1.027798
-5.227430	0.190497	0.320307	0.002605	1.027500
-5.337167	0.233313	0.325312	0.002626	1.027496
-5.346989	0.246256	0.330317	0.002628	1.027506
-5.617727	0.200581	0.335322	0.002678	1.027300
-5.712272	0.158879	0.340326	0.002696	1.027192
-5.469545	0.066032	0.345331	0.002653	1.027194
-6.168539	0.144957	0.350336	0.002779	1.026927
-6.010682	0.040781	0.355341	0.002752	1.026870
-5.975458	0.021308	0.360346	0.002746	1.026860
-6.174165	0.027197	0.365350	0.002783	1.026760
-6.260450	-0.091035	0.370355	0.002799	1.026555
-6.748305	0.105352	0.375360	0.002887	1.026555
-6.575563	0.029269	0.380365	0.002857	1.026543
-6.738823	-0.137145	0.385370	0.002888	1.026234
-6.909001	-0.061496	0.390374	0.002919	1.026241
-6.720136	-0.195395	0.395379	0.002886	1.026161
-7.444500	-0.064654	0.400384	0.003017	1.025949
-7.587169	-0.000094	0.405389	0.003043	1.025956
-7.578550	-0.013192	0.410394	0.003042	1.025940
-8.197672	0.235375	0.415398	0.003154	1.025940
-7.592307	-0.006112	0.420403	0.003047	1.025937
-7.789508	-0.082982	0.425408	0.003083	1.025728
-8.068069	-0.049101	0.430413	0.003134	1.025623
-8.185841	-0.003837	0.435418	0.003156	1.025618
-8.735930	0.215612	0.440422	0.003255	1.025616
-8.571366	0.156402	0.445427	0.003227	1.025621
-8.374233	0.077960	0.450432	0.003192	1.025619
-8.803968	0.065209	0.455437	0.003270	1.025372
-8.909273	0.062227	0.460442	0.003290	1.025310
-9.349451	0.239964	0.465446	0.003369	1.025310
-9.306073	0.227847	0.470451	0.003363	1.025314
-9.594127	0.341321	0.475456	0.003415	1.025309
-9.171879	0.177983	0.480461	0.003340	1.025313
-8.903163	0.064161	0.485466	0.003293	1.025302
-9.728960	0.161759	0.490470	0.003442	1.024992
-9.426307	0.046822	0.495475	0.003389	1.024997
-9.759054	0.175769	0.500480	0.003449	1.024989
-10.037648	0.296303	0.505485	0.003500	1.024999
-9.969542	0.087708	0.510490	0.003489	1.024755
-10.136731	0.100142	0.515494	0.003520	1.024681
-9.954434	0.041031	0.520499	0.003488	1.024696
-10.508486	0.079339	0.525504	0.003588	1.024451
-10.341845	0.027880	0.530509	0.003559	1.024468
-10.765033	0.117966	0.535514	0.003636	1.024361
-10.901258	0.174480	0.540518	0.003661	1.024361
-10.781946	0.106664	0.545523	0.003641	1.024332
-11.525050	0.283489	0.550528	0.003774	1.024170
-10.954441	0.000335	0.555533	0.003673	1.024094
-11.077325	0.026067	0.560538	0.003696	1.024060
-11.799184	0.312576	0.565542	0.003826	1.024055
-11.232461	0.036093	0.570547	0.003726	1.023986
-11.862299	0.106416	0.575552	0.003839	1.023743
-11.746299	0.069913	0.580557	0.003820	1.023753
-11.551018	-0.011262	0.585562	0.003786	1.023746
-12.221670	0.160194	0.590566	0.003906	1.023616
-12.222499	0.083835	0.595571	0.003908	1.023511
-12.368930	0.142541	0.600576	0.003935	1.023509
-12.015910	0.013143	0.605581	0.003872	1.023521
-12.363472	-0.067927	0.610586	0.003936	1.023227
-12.872238	0.100582	0.615590	0.004027	1.023178
-12.992832	0.150218	0.620595	0.004050	1.023177
-13.122522	0.199370	0.625600	0.004074	1.023171
-12.899720	0.123434	0.630605	0.004035	1.023186
-12.966412	-0.052615	0.635610	0.004048	1.022914
-13.637283	0.185326	0.640614	0.004169	1.022871
-13.828641	0.266713	0.645619	0.004204	1.022875
-13.588759	0.168924	0.650624	0.004162	1.022870
-13.299401	0.057450	0.655629	0.004111	1.022872
-13.868797	0.073882	0.660634	0.004214	1.022590
-14.325757	0.227100	0.665638	0.004297	1.022548
-14.133089	0.157773	0.670643	0.004263	1.022556
-13.996510	0.102598	0.675648	0.004240	1.022552
-14.187692	0.181977	0.680653	0.004275	1.022553
-14.312422	0.020644	0.685658	0.004298	1.022270
-14.675750	0.142513	0.690662	0.004364	1.022236
-14.707759	0.160572	0.695667	0.004371	1.022241
-14.433403	-0.044107	0.700672	0.004323	1.022111
-15.453841	0.298042	0.705677	0.004506	1.022022
-15.164130	0.096940	0.710682	0.004455	1.021906
-15.446816	0.214581	0.715686	0.004507	1.021910
-15.301156	0.167167	0.720691	0.004481	1.021921
-15.181536	0.112832	0.725696	0.004461	1.021909
-15.622733	0.125449	0.730701	0.004541	1.021689
-15.355782	-0.048189	0.735706	0.004494	1.021597
-16.182898	0.284337	0.740710	0.004643	1.021598
-15.687784	0.088432	0.745715	0.004555	1.021597
-16.263161	0.137271	0.750720	0.004659	1.021354
-16.707672	0.473466	0.755725	0.004740	1.021563
-16.563642	0.270877	0.760730	0.004715	1.021367
-16.593445	0.225137	0.765734	0.004721	1.021287
-16.393935	0.147968	0.770739	0.004686	1.021288
-16.638558	0.246439	0.775744	0.004731	1.021286
-17.006867	0.395892	0.780749	0.004798	1.021287
-16.579899	0.154171	0.785754	0.004722	1.021189
-17.345958	0.318721	0.790758	0.004860	1.020999
-16.747646	0.078714	0.795763	0.004754	1.020994
-17.200554	0.071374	0.800768	0.004836	1.020741
-18.044855	0.355743	0.805773	0.004988	1.020668
-17.838296	0.277869	0.810778	0.004952	1.020672
-18.123477	0.386722	0.815782	0.005004	1.020662
-17.491088	0.135932	0.820787	0.004892	1.020662
-17.502361	0.114483	0.825792	0.004895	1.020624
-18.429668	0.420665	0.830797	0.005062	1.020537
-17.882694	0.068381	0.835802	0.004965	1.020355
-18.431272	0.287351	0.840806	0.005064	1.020353
-18.386330	0.276290	0.845811	0.005057	1.020359
-18.262725	0.029492	0.850816	0.005035	1.020093
-18.885469	0.243265	0.855821	0.005148	1.020044
-18.741107	0.181240	0.860826	0.005123	1.020036
-19.187485	0.359735	0.865830	0.005204	1.020033
-18.918698	0.222073	0.870835	0.005156	1.019990
-19.129996	0.108426	0.875840	0.005195	1.019724
-19.829919	0.393985	0.880845	0.005321	1.019729
-19.158269	0.125941	0.885850	0.005202	1.019726
-19.492278	0.120180	0.890854	0.005263	1.019538
-19.691820	0.232519	0.895859	0.005299	1.019579
-19.573716	0.053907	0.900864	0.005279	1.019401
-19.834229	0.145035	0.905869	0.005327	1.019381
-19.919059	-0.031167	0.910874	0.005343	1.019098
-20.227989	0.096599	0.915878	0.005399	1.019102
-20.505141	0.216018	0.920883	0.005450	1.019111
-19.964912	-0.091918	0.925888	0.005354	1.018985
-21.501729	0.453117	0.930893	0.005630	1.018891
-20.417477	0.025197	0.935898	0.005437	1.018894
-20.576649	0.017768	0.940902	0.005466	1.018797
-21.460259	0.367609	0.945907	0.005625	1.018791
-20.884568	0.114854	0.950912	0.005523	1.018757
-21.716993	0.474161	0.955917	0.005673	1.018791
-21.187855	0.235416	0.960922	0.005579	1.018751
-21.154396	0.064374	0.965926	0.005574	1.018538
-21.067815	-0.030489	0.970931	0.005560	1.018454
-21.689647	0.029027	0.975936	0.005672	1.018200
-22.590918	0.397090	0.980941	0.005834	1.018209
-21.861105	0.102787	0.985946	0.005704	1.018202
-21.622555	0.003893	0.990950	0.005662	1.018194
-22.922468	0.374372	0.995955	0.005896	1.017993
-22.249885	0.077120	1.000960	0.005777	1.017952

-22.372785	0.156313	1.010957	0.005800	1.017987
-22.598185	0.320286	1.020954	0.005843	1.018080
-22.337341	0.245389	1.030950	0.005798	1.018114
-22.466370	0.313688	1.040947	0.005823	1.018130
-22.112784	0.225962	1.050944	0.005761	1.018196
-22.082638	0.219462	1.060941	0.005758	1.018198
-22.097474	0.237581	1.070938	0.005762	1.018209
-22.058615	0.216017	1.080934	0.005757	1.018195
-22.018040	0.207522	1.090931	0.005752	1.018200
-21.777241	0.113119	1.100928	0.005710	1.018197
-21.692410	0.083456	1.110925	0.005697	1.018197
-21.943608	0.188089	1.120922	0.005744	1.018197
-21.929834	0.189175	1.130918	0.005743	1.018201
-21.817587	0.228933	1.140915	0.005725	1.018308
-21.681338	0.156341	1.150912	0.005703	1.018278
-21.438714	0.252566	1.160909	0.005661	1.018530
-21.307159	0.204907	1.170906	0.005639	1.018531
-21.792735	0.350357	1.180902	0.005728	1.018461
-21.581324	0.322005	1.190899	0.005692	1.018530
-20.949841	0.075250	1.200896	0.005581	1.018532
-21.333385	0.227061	1.210893	0.005651	1.018525
-21.413912	0.349550	1.220890	0.005668	1.018640
-21.071749	0.162366	1.230886	0.005608	1.018567
-21.025571	0.185361	1.240883	0.005602	1.018616
-20.792112	0.132178	1.250880	0.005562	1.018664
-20.826201	0.208632	1.260877	0.005570	1.018743
-21.179737	0.275101	1.270874	0.005635	1.018638
-20.741315	0.220022	1.280870	0.005558	1.018792
-20.576228	0.153364	1.290867	0.005531	1.018786
-20.693888	0.205130	1.300864	0.005554	1.018786
-20.962132	0.314453	1.310861	0.005603	1.018784
-20.637494	0.279074	1.320858	0.005547	1.018904
-20.411742	0.121861	1.330854	0.005509	1.018809
-20.357650	0.169469	1.340851	0.005501	1.018896
-20.129069	0.124218	1.350848	0.005462	1.018952
-20.402133	0.234701	1.360845	0.005512	1.018948
-20.428274	0.228579	1.370842	0.005519	1.018921
-20.162218	0.185950	1.380838	0.005473	1.019000
-19.775745	0.074375	1.390835	0.005406	1.019051
-20.447073	0.363307	1.400832	0.005528	1.019074
-19.905180	0.167823	1.410829	0.005433	1.019096
-19.794798	0.123282	1.420826	0.005415	1.019090
-19.842530	0.149434	1.430822	0.005425	1.019094
-19.893629	0.178629	1.440819	0.005436	1.019100
-19.806085	0.145953	1.450816	0.005422	1.019098
-19.901896	0.349641	1.460813	0.005441	1.019313
-19.477094	0.094888	1.470810	0.005367	1.019194
-19.435246	0.141079	1.480806	0.005362	1.019272
-19.339668	0.076723	1.490803	0.005346	1.019231
-19.589688	0.283767	1.500800	0.005393	1.019369
-19.390499	0.164012	1.510797	0.005359	1.019310
-19.471083	0.270713	1.520794	0.005375	1.019404
-19.341135	0.219420	1.530790	0.005354	1.019399
-19.092465	0.160319	1.540787	0.005311	1.019447
-19.179672	0.271840	1.550784	0.005329	1.019544
-19.291790	0.313775	1.560781	0.005351	1.019535
-18.838656	0.174166	1.570778	0.005272	1.019584
-18.710304	0.149943	1.580774	0.005250	1.019614
-18.724587	0.128935	1.590771	0.005255	1.019573
-19.066288	0.351721	1.600768	0.005318	1.019683
-18.757223	0.265665	1.610765	0.005264	1.019727
-18.423664	0.132149	1.620762	0.005207	1.019721
-18.464758	0.093875	1.630758	0.005216	1.019643
-18.683998	0.244484	1.640755	0.005257	1.019722
-18.558369	0.200248	1.650752	0.005236	1.019724
-18.219022	0.066181	1.660749	0.005177	1.019720
-18.298629	0.104523	1.670746	0.005193	1.019723
-18.335538	0.123605	1.680742	0.005202	1.019724
-18.160074	0.053626	1.690739	0.005172	1.019718
-18.223944	0.084518	1.700736	0.005186	1.019720
-18.296302	0.121082	1.710733	0.005200	1.019725
-17.982294	0.002341	1.720730	0.005146	1.019728
-17.972660	0.076892	1.730726	0.005146	1.019827
-18.117617	0.250057	1.740723	0.005174	1.019975
-17.833177	0.094333	1.750720	0.005125	1.019913
-18.013381	0.260225	1.760717	0.005159	1.020033
-17.724995	0.152177	1.770714	0.005109	1.020037
-17.603428	0.110383	1.780710	0.005089	1.020040
-17.911135	0.238958	1.790707	0.005146	1.020043
-17.450170	0.183332	1.800704	0.005066	1.020208
-17.409816	0.043169	1.810701	0.005060	1.020037
-17.376589	0.109797	1.820698	0.005056	1.020138
-17.155755	0.035969	1.830694	0.005019	1.020152
-17.499814	0.225726	1.840691	0.005082	1.020216
-17.074457	0.102801	1.850688	0.005008	1.020273
-17.118586	0.042423	1.860685	0.005017	1.020164
-17.205438	0.114093	1.870682	0.005035	1.020208
-16.840703	0.081452	1.880678	0.004971	1.020352
-17.136523	0.124932	1.890675	0.005026	1.020248
-17.210806	0.240916	1.900672	0.005041	1.020357
-16.853762	0.098560	1.910669	0.004979	1.020352
-16.938412	0.174518	1.920666	0.004996	1.020403
-16.618344	0.164294	1.930662	0.004941	1.020554
-16.752532	0.192849	1.940659	0.004967	1.020515
-16.664607	0.277708	1.950656	0.004953	1.020669
-16.572333	0.204655	1.960653	0.004938	1.020615
-16.598966	0.257715	1.970650	0.004945	1.020666
-16.441527	0.197155	1.980646	0.004919	1.020664
-16.324685	0.157190	1.990643	0.004899	1.020667
-16.350302	0.171473	2.000640	0.004906	1.020667
-16.089101	0.063537	2.010637	0.004861	1.020657
-15.792923	-0.040985	2.020634	0.004810	1.020669
-16.417840	0.208729	2.030630	0.004924	1.020664
-16.127912	0.169660	2.040627	0.004874	1.020761
-16.009077	0.198908	2.050624	0.004854	1.020857
-15.841658	0.242471	2.060621	0.004826	1.020999
-15.837194	0.244637	2.070618	0.004827	1.020999
-15.790738	0.231109	2.080614	0.004821	1.021000
-15.706440	0.202073	2.090611	0.004807	1.021000
-15.849886	0.264709	2.100608	0.004835	1.021002
-15.688189	0.205327	2.110605	0.004808	1.021004
-15.667261	0.194293	2.120602	0.004806	1.020994
-15.416992	0.210927	2.130598	0.004763	1.021144
