Tue May 26 12:33:00 2026

Number of Points = 6529
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
4.574679	1.876380	0.000000	0.000841	1.048780

4.421202	1.928755	0.005005	0.000869	1.048767
4.638379	1.850584	0.010010	0.000830	1.048777
4.494575	1.908358	0.015014	0.000856	1.048776
4.528775	1.726490	0.020019	0.000851	1.048555
4.628197	1.611140	0.025024	0.000833	1.048455
4.358787	1.633021	0.030029	0.000882	1.048342
4.459276	1.496571	0.035034	0.000864	1.048215
4.330789	1.407372	0.040038	0.000888	1.048030
4.380505	1.271782	0.045043	0.000879	1.047877
4.488122	0.993032	0.050048	0.000860	1.047567
4.109303	0.953675	0.055053	0.000928	1.047317
4.203845	0.777990	0.060058	0.000912	1.047135
4.216742	0.571400	0.065062	0.000910	1.046870
4.239018	0.334517	0.070067	0.000906	1.046570
4.293746	0.055922	0.075072	0.000897	1.046232
4.151255	-0.142021	0.080077	0.000923	1.045897
4.252174	-0.443711	0.085082	0.000905	1.045552
4.148327	-0.691942	0.090086	0.000924	1.045171
4.211460	-1.034335	0.095091	0.000913	1.044754
4.304789	-1.419568	0.100096	0.000897	1.044295
4.049192	-1.645349	0.105101	0.000943	1.043864
4.205518	-2.059098	0.110106	0.000916	1.043400
3.871699	-2.241058	0.115110	0.000976	1.042985
3.420324	-2.430238	0.120115	0.001057	1.042499
3.647560	-2.805896	0.125120	0.001017	1.042122
2.480514	-2.663495	0.130125	0.001226	1.041697
2.067748	-2.687032	0.135130	0.001300	1.041448
1.939952	-2.732393	0.140134	0.001324	1.041320
1.723463	-2.859212	0.145139	0.001363	1.041038
1.693524	-2.956926	0.150144	0.001368	1.040893
1.445620	-2.965788	0.155149	0.001413	1.040750
1.678833	-3.258064	0.160154	0.001372	1.040486
1.493590	-3.360403	0.165158	0.001405	1.040252
1.322804	-3.465083	0.170163	0.001436	1.040023
1.421380	-3.681981	0.175168	0.001419	1.039788
0.948603	-3.726550	0.180173	0.001504	1.039479
0.798596	-3.801480	0.185178	0.001531	1.039300
0.541562	-3.801626	0.190182	0.001578	1.039164
-0.453881	-3.568837	0.195187	0.001756	1.038947
-0.578008	-3.353222	0.200192	0.001779	1.039165
-1.039976	-3.171655	0.205197	0.001862	1.039161
-0.986351	-3.188902	0.210202	0.001852	1.039165
-1.286667	-3.069265	0.215206	0.001907	1.039164
-1.347860	-3.050142	0.220211	0.001918	1.039156
-1.119226	-3.140370	0.225216	0.001877	1.039156
-1.796764	-2.872984	0.230221	0.001999	1.039152
-2.159431	-2.537790	0.235226	0.002064	1.039403
-2.033380	-2.518664	0.240230	0.002042	1.039493
-2.361731	-2.391179	0.245235	0.002101	1.039488
-2.133169	-2.252203	0.250240	0.002061	1.039790
-2.307213	-2.183074	0.255245	0.002092	1.039789
-2.329472	-2.181287	0.260250	0.002096	1.039779
-2.139441	-2.249049	0.265254	0.002063	1.039788
-2.381061	-2.154733	0.270259	0.002106	1.039784
-2.122546	-2.251532	0.275264	0.002061	1.039791
-2.322250	-2.177273	0.280269	0.002097	1.039783
-2.371484	-2.196147	0.285274	0.002106	1.039731
-2.484634	-2.335727	0.290278	0.002127	1.039486
-2.808212	-2.206003	0.295283	0.002185	1.039487
-2.518436	-2.313181	0.300288	0.002133	1.039496
-2.690822	-2.319608	0.305293	0.002165	1.039396
-2.838500	-2.434151	0.310298	0.002191	1.039166
-2.746359	-2.470869	0.315302	0.002175	1.039165
-3.147748	-2.476570	0.320307	0.002247	1.038945
-2.894048	-2.641652	0.325312	0.002202	1.038859
-3.407458	-2.439010	0.330317	0.002295	1.038856
-4.407805	-2.152453	0.335322	0.002474	1.038707
-4.983630	-1.807700	0.340326	0.002577	1.038859
-5.620695	-1.407652	0.345331	0.002692	1.039051
-5.912597	-1.063371	0.350336	0.002744	1.039351
-5.729158	-0.916888	0.355341	0.002712	1.039640
-5.609856	-0.842441	0.360346	0.002691	1.039800
-5.126378	-0.802289	0.365350	0.002605	1.040106
-5.289412	-0.735237	0.370355	0.002634	1.040107
-5.031314	-0.835239	0.375360	0.002588	1.040110
-4.908668	-0.887707	0.380365	0.002567	1.040104
-5.431522	-0.679842	0.385370	0.002661	1.040102
-5.012519	-0.837095	0.390374	0.002586	1.040114
-5.017837	-0.842291	0.395379	0.002588	1.040103
-5.136859	-0.914063	0.400384	0.002609	1.039945
-5.209706	-1.004967	0.405389	0.002623	1.039785
-5.260493	-0.981593	0.410394	0.002632	1.039788
-5.096815	-1.201223	0.415398	0.002603	1.039583
-5.474401	-1.127973	0.420403	0.002671	1.039480
-5.976827	-1.088823	0.425408	0.002761	1.039267
-6.155706	-1.100029	0.430413	0.002794	1.039157
-6.677420	-0.889179	0.435418	0.002888	1.039160
-6.290726	-1.042036	0.440422	0.002819	1.039160
-6.279359	-1.050557	0.445427	0.002817	1.039154
-6.585580	-0.919291	0.450432	0.002872	1.039165
-6.581588	-0.927948	0.455437	0.002872	1.039155
-7.465177	-0.670708	0.460442	0.003030	1.039029
-6.956233	-0.775920	0.465446	0.002940	1.039156
-7.334154	-0.817942	0.470451	0.003008	1.038901
-7.622633	-0.562874	0.475456	0.003060	1.039085
-7.205738	-0.838476	0.480461	0.002986	1.038939
