Mon Jun 01 13:22:08 2026

Number of Points = 3584
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.501231	1.941947	0.000000	0.000878	1.068356

1.361870	1.998244	0.005005	0.000902	1.068358
1.535037	1.919566	0.010010	0.000871	1.068346
1.386691	1.982218	0.015014	0.000897	1.068352
1.534808	1.921422	0.020019	0.000870	1.068350
1.364496	1.921868	0.025024	0.000901	1.068264
1.332576	1.807971	0.030029	0.000906	1.068102
1.382413	1.787222	0.035034	0.000897	1.068101
1.172721	1.637515	0.040038	0.000934	1.067801
1.176064	1.619296	0.045043	0.000933	1.067780
1.404037	1.318710	0.050048	0.000892	1.067510
1.300136	1.209295	0.055053	0.000910	1.067316
1.105866	1.137234	0.060058	0.000945	1.067124
0.911072	0.988102	0.065062	0.000979	1.066832
0.875480	0.871850	0.070067	0.000985	1.066665
0.948430	0.657335	0.075072	0.000972	1.066426
0.810246	0.508475	0.080077	0.000996	1.066163
0.825949	0.288391	0.085082	0.000993	1.065887
0.804665	0.073963	0.090086	0.000997	1.065600
0.866652	-0.218750	0.095091	0.000986	1.065254
0.977988	-0.563015	0.100096	0.000965	1.064867
0.479186	-0.629685	0.105101	0.001054	1.064524
0.324845	-0.815067	0.110106	0.001082	1.064205
0.171394	-0.991392	0.115110	0.001109	1.063899
-0.019005	-1.153193	0.120115	0.001143	1.063592
-0.035201	-1.361877	0.125120	0.001145	1.063314
-0.329289	-1.440420	0.130125	0.001197	1.063061
-0.398333	-1.634113	0.135130	0.001210	1.062775
-0.548611	-1.825507	0.140134	0.001236	1.062450
-0.870999	-1.906458	0.145139	0.001294	1.062180
-0.599240	-2.232394	0.150144	0.001245	1.061898
-0.948215	-2.349411	0.155149	0.001307	1.061566
-1.014166	-2.545340	0.160154	0.001318	1.061279
-1.070979	-2.757756	0.165158	0.001328	1.060974
-1.357109	-2.860634	0.170163	0.001379	1.060693
-1.494106	-3.035139	0.175168	0.001403	1.060397
-1.864146	-3.085612	0.180173	0.001469	1.060140
-1.880850	-3.235311	0.185178	0.001472	1.059938
-2.002560	-3.397075	0.190182	0.001493	1.059665
-2.059950	-3.583472	0.195187	0.001503	1.059394
-2.102198	-3.777817	0.200192	0.001511	1.059120
-2.302019	-3.917933	0.205197	0.001546	1.058835
-2.663776	-3.925494	0.210202	0.001610	1.058639
-2.727577	-4.068035	0.215206	0.001622	1.058421
-3.053143	-4.128387	0.220211	0.001680	1.058174
-2.917701	-4.300531	0.225216	0.001655	1.058021
-3.308239	-4.285980	0.230221	0.001725	1.057839
-3.583093	-4.425360	0.235226	0.001773	1.057515
-3.599875	-4.469295	0.240230	0.001776	1.057450
-4.178902	-4.435206	0.245235	0.001879	1.057195
-3.861794	-4.565408	0.250240	0.001822	1.057191
-4.292485	-4.617683	0.255245	0.001899	1.056900
-4.407743	-4.580174	0.260250	0.001919	1.056890
-4.617710	-4.647649	0.265254	0.001957	1.056694
-5.177747	-4.524863	0.270259	0.002057	1.056564
-4.956277	-4.616538	0.275264	0.002017	1.056560
-5.127447	-4.544940	0.280269	0.002047	1.056566
-5.287955	-4.485060	0.285274	0.002075	1.056561
-5.386728	-4.659801	0.290278	0.002093	1.056283
-5.812941	-4.512498	0.295283	0.002169	1.056255
-5.525621	-4.633841	0.300288	0.002117	1.056247
-5.637555	-4.581984	0.305293	0.002137	1.056257
-5.834036	-4.703920	0.310298	0.002172	1.055997
