Thu Sep 25 11:40:24 2025

Number of Points = 3599
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.026818	2.963560	0.000000	0.003061	1.320418

0.261826	2.759519	0.005005	0.003008	1.320228
-0.016890	2.710392	0.010010	0.003060	1.320110
-0.185859	2.738674	0.015014	0.003091	1.320110
0.083191	2.697939	0.020019	0.003042	1.320115
0.038515	2.693155	0.025024	0.003050	1.320100
0.160885	2.488567	0.030029	0.003028	1.319876
-0.057736	2.471197	0.035034	0.003068	1.319809
-0.301118	2.296066	0.040038	0.003113	1.319545
-0.277512	2.237327	0.045043	0.003109	1.319478
-0.281429	2.080420	0.050048	0.003110	1.319285
-0.354068	1.995718	0.055053	0.003124	1.319167
-0.798605	1.835633	0.060058	0.003206	1.318879
-1.093004	1.857600	0.065062	0.003261	1.318845
-0.963891	1.793624	0.070067	0.003237	1.318793
-1.100355	1.607088	0.075072	0.003263	1.318537
-1.014039	1.536497	0.080077	0.003247	1.318468
-1.154392	1.357381	0.085082	0.003273	1.318220
-1.139002	1.211222	0.090086	0.003271	1.318045
-1.367378	1.144611	0.095091	0.003313	1.317916
-1.945851	1.005077	0.100096	0.003420	1.317625
-2.450938	1.069005	0.105101	0.003513	1.317599
-2.242952	1.038970	0.110106	0.003475	1.317605
-1.851441	0.902318	0.115110	0.003403	1.317519
-2.428066	0.878431	0.120115	0.003510	1.317370
-2.591605	0.897055	0.125120	0.003540	1.317358
-2.842896	0.824043	0.130125	0.003586	1.317217
-3.292973	0.916462	0.135130	0.003669	1.317237
-2.984714	0.691724	0.140134	0.003613	1.317025
-3.023844	0.715077	0.145139	0.003620	1.317046
-3.217083	0.740074	0.150144	0.003656	1.317036
-3.151014	0.511946	0.155149	0.003644	1.316770
-4.572066	0.716622	0.160154	0.003906	1.316726
-4.207924	0.892714	0.165158	0.003839	1.317017
-3.955474	0.834019	0.170163	0.003793	1.316997
-4.776735	0.921816	0.175168	0.003944	1.316934
-3.761688	0.789537	0.180173	0.003758	1.316982
-4.653735	0.731682	0.185178	0.003922	1.316726
-4.188473	0.646402	0.190182	0.003837	1.316718
-4.261413	0.670051	0.195187	0.003851	1.316732
-5.368991	0.845713	0.200192	0.004055	1.316717
-4.509585	0.704484	0.205197	0.003897	1.316722
-5.208799	0.825618	0.210202	0.004026	1.316725
