Thu Sep 25 10:53:25 2025

Number of Points = 3596
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.932187	1.865152	0.000000	0.002040	1.317366

0.959984	1.862055	0.005005	0.002035	1.317368
0.909726	1.676577	0.010010	0.002045	1.317130
0.518311	1.672393	0.015014	0.002117	1.317044
0.070974	1.749739	0.020019	0.002200	1.317045
0.667709	1.651016	0.025024	0.002090	1.317048
1.027572	1.585250	0.030029	0.002025	1.317041
0.320849	1.500886	0.035034	0.002155	1.316792
0.042037	1.498843	0.040038	0.002207	1.316731
0.140725	1.476148	0.045043	0.002189	1.316723
0.504622	1.352908	0.050048	0.002123	1.316647
0.427785	1.163938	0.055053	0.002137	1.316400
0.586708	0.960217	0.060058	0.002108	1.316183
0.024059	0.872903	0.065062	0.002212	1.315959
-1.215072	0.936965	0.070067	0.002441	1.315780
-0.839339	0.907213	0.075072	0.002372	1.315822
-0.403063	0.798408	0.080077	0.002292	1.315778
-0.520038	0.723671	0.085082	0.002314	1.315662
-0.561529	0.577002	0.090086	0.002322	1.315474
-0.529636	0.451710	0.095091	0.002317	1.315326
-1.026128	0.399147	0.100096	0.002409	1.315159
-1.300771	0.344531	0.105101	0.002460	1.315034
-1.347115	0.211885	0.110106	0.002469	1.314862
-1.063086	0.127671	0.115110	0.002417	1.314817
-1.659756	0.000526	0.120115	0.002527	1.314537
-1.819602	0.026781	0.125120	0.002557	1.314536
-1.872132	-0.121003	0.130125	0.002567	1.314344
-2.607370	-0.099328	0.135130	0.002703	1.314217
-2.254114	-0.151627	0.140134	0.002638	1.314226
-1.574340	-0.329723	0.145139	0.002513	1.314148
-2.148082	-0.434394	0.150144	0.002620	1.313901
-3.586276	-0.188066	0.155149	0.002885	1.313904
-4.135992	-0.034528	0.160154	0.002986	1.313977
-3.004158	-0.030458	0.165158	0.002778	1.314217
-2.524024	-0.360865	0.170163	0.002690	1.313911
-2.706958	-0.387235	0.175168	0.002724	1.313840
-3.229068	-0.499513	0.180173	0.002821	1.313594
-3.682085	-0.421436	0.185178	0.002905	1.313595
-4.548373	-0.265025	0.190182	0.003064	1.313607
-4.075275	-0.353860	0.195187	0.002978	1.313595
-5.212651	-0.011747	0.200192	0.003187	1.313778
-3.802852	-0.150043	0.205197	0.002928	1.313901
-3.781624	-0.329334	0.210202	0.002925	1.313685
-6.175269	0.139297	0.215206	0.003366	1.313762
-4.436599	-0.038213	0.220211	0.003046	1.313905
-4.630656	0.004217	0.225216	0.003082	1.313917
-3.842865	-0.177644	0.230221	0.002937	1.313857
-3.789484	-0.411706	0.235226	0.002928	1.313581
-6.788982	-0.054376	0.240230	0.003481	1.313395
-4.812302	-0.107316	0.245235	0.003117	1.313741
-5.579135	-0.089204	0.250240	0.003259	1.313603
-5.569215	-0.094817	0.255245	0.003257	1.313598
-4.626112	-0.255491	0.260250	0.003084	1.313596
-6.227387	-0.202185	0.265254	0.003379	1.313329
-4.917667	-0.276225	0.270259	0.003138	1.313510
-7.828461	0.145897	0.275264	0.003674	1.313422
-4.776440	-0.266512	0.280269	0.003113	1.313550
-5.111808	-0.472217	0.285274	0.003175	1.313228
-8.296111	0.117601	0.290278	0.003762	1.313289
-4.975973	-0.351376	0.295283	0.003151	1.313403
-7.409688	-0.040719	0.300288	0.003599	1.313278
-6.943597	-0.118696	0.305293	0.003514	1.313279
-5.185066	-0.529990	0.310298	0.003191	1.313140
-9.424535	0.186951	0.315302	0.003971	1.313138
-5.512752	-0.308823	0.320307	0.003251	1.313342
-8.027382	0.003649	0.325312	0.003715	1.313202
-6.595955	-0.271557	0.330317	0.003452	1.313162
-7.226653	-0.323837	0.335322	0.003568	1.312966
-8.968783	0.060644	0.340326	0.003889	1.313075
-5.740650	-0.416195	0.345331	0.003295	1.313161
-9.695421	0.002893	0.350336	0.004024	1.312853
-6.941868	-0.159706	0.355341	0.003517	1.313225
-8.005657	-0.294303	0.360346	0.003714	1.312839
-9.112732	0.005571	0.365350	0.003918	1.312976
-7.591796	-0.254960	0.370355	0.003638	1.312972
-8.089326	-0.331231	0.375360	0.003730	1.312775
-10.420727	0.285306	0.380365	0.004159	1.313046
-7.130209	-0.460460	0.385370	0.003554	1.312815
-9.664945	0.074427	0.390374	0.004021	1.312944
-7.934916	-0.366491	0.395379	0.003703	1.312762
-9.715340	-0.138743	0.400384	0.004031	1.312671
-9.839984	0.091648	0.405389	0.004054	1.312927
-6.908186	-0.664073	0.410394	0.003515	1.312609
-12.384878	0.337842	0.415398	0.004524	1.312700
-6.601298	-0.682638	0.420403	0.003459	1.312649
-11.977990	0.135144	0.425408	0.004450	1.312535
-10.139468	-0.069045	0.430413	0.004111	1.312666
-8.162369	-0.439924	0.435418	0.003748	1.312621
-12.262669	0.141502	0.440422	0.004503	1.312482
-8.148101	-0.360394	0.445427	0.003746	1.312721
-11.559918	-0.026790	0.450432	0.004375	1.312421
-10.219017	-0.072165	0.455437	0.004128	1.312643
-9.996539	-0.313205	0.460442	0.004087	1.312393
-11.398809	-0.069618	0.465446	0.004346	1.312400
-10.896242	-0.086696	0.470451	0.004254	1.312483
-10.411978	-0.234971	0.475456	0.004165	1.312402
-11.917734	0.021187	0.480461	0.004443	1.312403
-10.304501	-0.255375	0.485466	0.004146	1.312398
-11.706986	-0.017537	0.490470	0.004405	1.312398
-11.346446	-0.084891	0.495475	0.004339	1.312390
-10.983469	-0.366089	0.500480	0.004272	1.312120
-13.465005	0.190271	0.505485	0.004729	1.312286
-10.148054	-0.427092	0.510490	0.004119	1.312218
-13.049108	-0.014546	0.515494	0.004654	1.312121
-11.293973	-0.286608	0.520499	0.004331	1.312151
-13.053137	-0.057125	0.525504	0.004655	1.312067
-13.250906	0.126544	0.530509	0.004692	1.312251
-9.404231	-0.622448	0.535514	0.003984	1.312131
-15.867451	0.307285	0.540518	0.005174	1.311928
-10.473749	-0.367120	0.545523	0.004182	1.312221
-14.139900	-0.032559	0.550528	0.004857	1.311869
-12.745300	-0.104485	0.555533	0.004601	1.312070
-12.128022	-0.249910	0.560538	0.004487	1.312020
-14.624288	-0.018971	0.565542	0.004947	1.311784
-12.670193	-0.120663	0.570547	0.004588	1.312065
-14.190224	-0.095589	0.575552	0.004868	1.311779
-13.820551	0.081416	0.580557	0.004800	1.312073
-12.137637	-0.368344	0.585562	0.004491	1.311870
-14.877605	-0.012720	0.590566	0.004996	1.311736
