Thu Nov 20 14:18:13 2025

Number of Points = 3577
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.876029	1.818828	0.000000	0.001974	1.319645

1.914195	1.807216	0.005005	0.001967	1.319638
1.853839	1.812433	0.010010	0.001978	1.319632
2.007369	1.793945	0.015014	0.001950	1.319641
1.911031	1.682576	0.020019	0.001968	1.319486
1.821681	1.570487	0.025024	0.001984	1.319331
1.886195	1.436105	0.030029	0.001973	1.319180
1.948499	1.286495	0.035034	0.001961	1.319010
1.804031	1.078781	0.040038	0.001988	1.318727
1.786573	0.932888	0.045043	0.001992	1.318546
1.798662	0.734218	0.050048	0.001989	1.318306
1.601337	0.577869	0.055053	0.002026	1.318074
1.749945	0.305734	0.060058	0.001999	1.317773
1.738083	0.125050	0.065062	0.002001	1.317549
1.843360	-0.216215	0.070067	0.001982	1.317155
1.800766	-0.522726	0.075072	0.001990	1.316771
1.514409	-0.765516	0.080077	0.002043	1.316415
1.847921	-1.139906	0.085082	0.001982	1.316027
1.544480	-1.473987	0.090086	0.002038	1.315556
1.446594	-1.772268	0.095091	0.002056	1.315170
1.563882	-2.154543	0.100096	0.002035	1.314727
1.535919	-2.553706	0.105101	0.002041	1.314233
1.392838	-2.943455	0.110106	0.002067	1.313726
1.384405	-3.315352	0.115110	0.002069	1.313269
1.091551	-3.675438	0.120115	0.002123	1.312767
1.427923	-4.129814	0.125120	0.002062	1.312280
1.305629	-4.564479	0.130125	0.002085	1.311721
1.099304	-5.007913	0.135130	0.002123	1.311135
0.856429	-5.422797	0.140134	0.002168	1.310575
0.972579	-5.864645	0.145139	0.002147	1.310057
1.032102	-6.376338	0.150144	0.002136	1.309441
0.768863	-6.822862	0.155149	0.002185	1.308837
0.558514	-7.243660	0.160154	0.002224	1.308276
0.517533	-7.679423	0.165158	0.002232	1.307731
0.355719	-8.136102	0.170163	0.002262	1.307136
0.313368	-8.611819	0.175168	0.002270	1.306541
0.165364	-9.075656	0.180173	0.002298	1.305939
-0.031023	-9.510972	0.185178	0.002335	1.305362
-0.422939	-9.903640	0.190182	0.002407	1.304796
-0.872484	-10.224107	0.195187	0.002490	1.304306
-0.884603	-10.604006	0.200192	0.002493	1.303835
-1.156243	-10.948557	0.205197	0.002543	1.303353
-1.579985	-11.197339	0.210202	0.002621	1.302957
-2.081747	-11.382207	0.215206	0.002714	1.302624
-2.774441	-11.517898	0.220211	0.002842	1.302311
-3.243706	-11.553229	0.225216	0.002928	1.302169
-3.848056	-11.582220	0.230221	0.003039	1.302006
-4.213123	-11.532565	0.235226	0.003107	1.301991
-4.127662	-11.540209	0.240230	0.003091	1.301999
-4.830081	-11.424297	0.245235	0.003220	1.301995
-4.747056	-11.366270	0.250240	0.003205	1.302084
-5.215128	-11.098401	0.255245	0.003291	1.302316
-5.357785	-11.080514	0.260250	0.003318	1.302309
-5.438947	-10.978666	0.265254	0.003332	1.302417
-6.024024	-10.690949	0.270259	0.003440	1.302650
-6.011378	-10.587121	0.275264	0.003438	1.302781
-6.093244	-10.474567	0.280269	0.003453	1.302902
-6.258491	-10.255227	0.285274	0.003483	1.303139
-6.056961	-10.230030	0.290278	0.003446	1.303212
-6.469231	-10.020559	0.295283	0.003522	1.303384
-6.146561	-9.970385	0.300288	0.003462	1.303513
-6.250024	-9.944172	0.305293	0.003482	1.303524
-6.578015	-9.769978	0.310298	0.003542	1.303670
-6.331326	-9.680564	0.315302	0.003496	1.303832
-6.762717	-9.611136	0.320307	0.003576	1.303827
-6.708410	-9.616959	0.325312	0.003566	1.303832
-6.648169	-9.625117	0.330317	0.003555	1.303834
-6.687742	-9.622845	0.335322	0.003562	1.303829
-6.289079	-9.681756	0.340326	0.003489	1.303839
-6.778670	-9.607444	0.345331	0.003579	1.303828
-6.827875	-9.600816	0.350336	0.003588	1.303826
-6.789319	-9.603015	0.355341	0.003581	1.303832
-6.908782	-9.635759	0.360346	0.003603	1.303766
-6.640298	-9.883125	0.365350	0.003554	1.303517
