Thu Nov 20 14:30:31 2025

Number of Points = 3607
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.725066	0.699272	0.000000	0.000935	1.319992

0.894853	0.582780	0.005005	0.000904	1.319885
1.099078	0.309622	0.010010	0.000866	1.319594
0.684077	0.164024	0.015014	0.000943	1.319331
0.488703	-0.025546	0.020019	0.000979	1.319059
0.279412	-0.124185	0.025024	0.001018	1.318896
0.570563	-0.362048	0.030029	0.000965	1.318665
0.798913	-0.696216	0.035034	0.000923	1.318305
-0.438157	-0.672921	0.040038	0.001151	1.318077
-1.174704	-0.541084	0.045043	0.001287	1.318085
-0.997488	-0.648155	0.050048	0.001255	1.317991
-0.526584	-0.910608	0.055053	0.001168	1.317768
0.348913	-1.184528	0.060058	0.001007	1.317615
0.163972	-1.494545	0.065062	0.001042	1.317198
-0.121495	-1.766379	0.070067	0.001095	1.316807
-1.577027	-1.709627	0.075072	0.001363	1.316574
-2.245943	-1.600301	0.080077	0.001487	1.316569
-1.304479	-1.793368	0.085082	0.001313	1.316528
-1.851506	-1.924156	0.090086	0.001414	1.316255
-2.064791	-1.884805	0.095091	0.001454	1.316258
-2.013974	-1.941660	0.100096	0.001445	1.316199
-2.105305	-2.151514	0.105101	0.001462	1.315924
-1.784658	-2.245748	0.110106	0.001403	1.315875
-2.099574	-2.394007	0.115110	0.001461	1.315628
-2.388870	-2.478391	0.120115	0.001515	1.315465
-3.412742	-2.422799	0.125120	0.001704	1.315320
-2.774903	-2.540617	0.130125	0.001587	1.315308
-9.290046	-1.269908	0.135130	0.002786	1.315510
-7.091501	-0.403051	0.140134	0.002381	1.317025
-5.108307	-0.529871	0.145139	0.002016	1.317281
-4.939599	-0.289777	0.150144	0.001985	1.317608
-1.863036	-0.842941	0.155149	0.001418	1.317570
0.450559	-1.806935	0.160154	0.000993	1.316872
-1.680495	-2.110692	0.165158	0.001386	1.316059
-4.653706	-1.846819	0.170163	0.001934	1.315765
-5.182379	-1.617781	0.175168	0.002031	1.315935
-3.583624	-1.894843	0.180173	0.001737	1.315927
-5.786143	-1.706016	0.185178	0.002143	1.315702
-7.711212	-0.822828	0.190182	0.002497	1.316382
-5.331968	-1.074178	0.195187	0.002059	1.316567
-2.321930	-1.670907	0.200192	0.001505	1.316462
-2.858562	-2.143583	0.205197	0.001605	1.315773
-10.121070	-0.689808	0.210202	0.002942	1.316044
-4.874102	-1.156138	0.215206	0.001976	1.316561
-3.536907	-1.603999	0.220211	0.001730	1.316291
-5.952353	-1.483542	0.225216	0.002175	1.315937
-5.592042	-1.477344	0.230221	0.002109	1.316019
-5.915933	-1.485013	0.235226	0.002169	1.315943
-4.396458	-1.810893	0.240230	0.001889	1.315859
-5.473413	-1.985164	0.245235	0.002088	1.315422
-11.745600	-0.393138	0.250240	0.003242	1.316068
-4.736831	-1.359139	0.255245	0.001952	1.316340
-5.185290	-1.464695	0.260250	0.002035	1.316118
-4.574489	-1.863123	0.265254	0.001923	1.315757
-8.047336	-1.598816	0.270259	0.002563	1.315360
-9.689469	-0.717467	0.275264	0.002865	1.316097
-5.901165	-1.276214	0.280269	0.002167	1.316199
-5.210321	-1.690975	0.285274	0.002041	1.315835
-7.731548	-1.437096	0.290278	0.002505	1.315622
-5.974173	-1.850805	0.295283	0.002182	1.315481
-11.031887	-0.887069	0.300288	0.003113	1.315610
-5.569406	-1.667156	0.305293	0.002108	1.315789
-6.961670	-1.710818	0.310298	0.002364	1.315446
-10.499021	-0.926905	0.315302	0.003016	1.315671
-6.630805	-1.563683	0.320307	0.002304	1.315694
-7.690365	-1.427678	0.325312	0.002499	1.315641
-6.988479	-1.801163	0.330317	0.002370	1.315329
-10.127814	-1.342234	0.335322	0.002948	1.315239
-8.982809	-1.119279	0.340326	0.002737	1.315749
-7.115550	-1.738281	0.345331	0.002394	1.315379
-11.190528	-1.008353	0.350336	0.003144	1.315427
-6.614466	-1.674033	0.355341	0.002302	1.315561
-9.797743	-1.500876	0.360346	0.002889	1.315113
-9.956881	-1.100399	0.365350	0.002918	1.315569
-8.023525	-1.607646	0.370355	0.002562	1.315350
-10.924485	-1.115366	0.375360	0.003096	1.315350
-7.396201	-1.631712	0.380365	0.002447	1.315450
-11.098263	-1.335689	0.385370	0.003129	1.315044
-10.386323	-1.039111	0.390374	0.002998	1.315554
-6.952252	-2.086259	0.395379	0.002366	1.314985
-14.360199	-0.628285	0.400384	0.003730	1.315232
-6.058855	-1.991579	0.405389	0.002202	1.315286
-13.376667	-1.008095	0.410394	0.003549	1.314971
-9.148590	-1.455167	0.415398	0.002771	1.315301
-11.209366	-1.290945	0.420403	0.003151	1.315074
-10.625158	-1.191245	0.425408	0.003043	1.315317
-8.344134	-1.856206	0.430413	0.002624	1.314977
-13.650660	-1.117339	0.435418	0.003601	1.314779
-11.294111	-0.978581	0.440422	0.003167	1.315438
-8.535435	-1.902146	0.445427	0.002660	1.314880
-13.967178	-0.893924	0.450432	0.003660	1.314986
-8.669430	-1.797450	0.455437	0.002685	1.314980
-14.620352	-0.920905	0.460442	0.003780	1.314817
-10.541189	-1.286169	0.465446	0.003029	1.315216
-10.696250	-1.556526	0.470451	0.003058	1.314853
-13.472575	-1.174604	0.475456	0.003570	1.314744
-10.906295	-1.391976	0.480461	0.003097	1.315011
-13.061794	-1.286904	0.485466	0.003495	1.314692
-12.751829	-0.966190	0.490470	0.003437	1.315148
-9.204231	-1.983206	0.495475	0.002785	1.314640
-16.164828	-0.841592	0.500480	0.004066	1.314592
-10.892997	-1.452534	0.505485	0.003096	1.314938
-13.647086	-1.187941	0.510490	0.003603	1.314690
-13.649726	-1.080079	0.515494	0.003604	1.314821
-10.317062	-1.652705	0.520499	0.002991	1.314812
-15.846890	-1.084847	0.525504	0.004009	1.314359
-11.089593	-1.443039	0.530509	0.003133	1.314908
-15.075972	-1.342960	0.535514	0.003868	1.314203
-13.836357	-0.937341	0.540518	0.003639	1.314956
-12.405494	-1.592614	0.545523	0.003376	1.314451
-13.950651	-1.393629	0.550528	0.003661	1.314374
-15.914127	-0.807680	0.555533	0.004022	1.314683
-11.390858	-1.719382	0.560538	0.003190	1.314506
-17.221373	-0.581905	0.565542	0.004263	1.314688
-9.346059	-2.193767	0.570547	0.002814	1.314349
-19.186802	-0.636998	0.575552	0.004626	1.314212
-11.026587	-1.833502	0.580557	0.003124	1.314441
-17.517281	-0.883651	0.585562	0.004319	1.314256
-14.329845	-1.205669	0.590566	0.003732	1.314523
-14.070678	-1.373868	0.595571	0.003685	1.314371
-15.240697	-1.386621	0.600576	0.003901	1.314112
-16.043550	-0.887111	0.605581	0.004048	1.314557
-14.066077	-1.549589	0.610586	0.003685	1.314156
-16.644805	-0.915890	0.615590	0.004159	1.314396
-14.322350	-1.508055	0.620595	0.003732	1.314153
-16.479408	-1.101334	0.625600	0.004129	1.314203
-15.676418	-1.098466	0.630605	0.003982	1.314373
-15.014757	-1.455103	0.635610	0.003860	1.314074
-18.118066	-0.801751	0.640614	0.004432	1.314229
-13.731736	-1.541134	0.645619	0.003624	1.314234
-16.833918	-1.396082	0.650624	0.004196	1.313768
-17.881147	-0.866384	0.655629	0.004389	1.314198
-15.371796	-1.385986	0.660634	0.003927	1.314083
-17.637015	-1.018553	0.665638	0.004344	1.314062
-15.605650	-1.390203	0.670643	0.003971	1.314029
-17.133293	-1.351597	0.675648	0.004252	1.313759
-18.444516	-0.926818	0.680653	0.004494	1.314006
-16.094883	-1.382222	0.685658	0.004061	1.313937
-18.753384	-0.906449	0.690662	0.004551	1.313967
-15.650051	-1.423139	0.695667	0.003980	1.313978
-17.719789	-1.249296	0.700672	0.004361	1.313761
-19.095231	-0.908351	0.705677	0.004614	1.313893
-16.260592	-1.329556	0.710682	0.004093	1.313965
-18.985346	-1.039379	0.715686	0.004595	1.313755
-16.947285	-1.377560	0.720691	0.004220	1.313764
-18.655263	-1.092710	0.725696	0.004534	1.313757
-18.736037	-1.077744	0.730701	0.004549	1.313759
-17.013249	-1.450468	0.735706	0.004232	1.313660
-21.144993	-0.838355	0.740710	0.004993	1.313551
-16.366075	-1.403208	0.745715	0.004114	1.313852
-20.021111	-1.108089	0.750720	0.004787	1.313454
-18.740264	-1.114168	0.755725	0.004551	1.313712
-18.975416	-1.295487	0.760730	0.004595	1.313441
-20.419149	-0.928768	0.765734	0.004861	1.313590
-17.808394	-1.291890	0.770739	0.004380	1.313687
-19.489201	-1.205943	0.775744	0.004690	1.313443
-20.459616	-1.048547	0.780749	0.004869	1.313434
-19.291713	-1.224168	0.785754	0.004654	1.313462
-20.686990	-1.007576	0.790758	0.004911	1.313437
-18.651473	-1.200429	0.795763	0.004536	1.313623
-19.683937	-1.397800	0.800768	0.004727	1.313167
-21.870860	-0.863242	0.805773	0.005130	1.313367
-19.534093	-1.202091	0.810778	0.004700	1.313437
-20.208627	-1.262639	0.815782	0.004824	1.313223
-20.848477	-1.015285	0.820787	0.004942	1.313392
-19.398307	-1.588163	0.825792	0.004675	1.312992
-22.954017	-0.731099	0.830797	0.005330	1.313303
-19.793144	-1.319393	0.835802	0.004748	1.313239
-21.464753	-1.121406	0.840806	0.005056	1.313133
-22.105199	-0.886960	0.845811	0.005174	1.313287
-18.876145	-1.584928	0.850816	0.004580	1.313103
-24.368611	-0.632165	0.855821	0.005591	1.313129
-19.004340	-1.524023	0.860826	0.004604	1.313151
-23.121488	-0.961316	0.865830	0.005362	1.312984
-21.478053	-1.123857	0.870835	0.005060	1.313126
-20.604816	-1.373403	0.875840	0.004899	1.313002
-24.168812	-0.863358	0.880845	0.005556	1.312886
-20.653430	-1.330906	0.885850	0.004909	1.313043
-23.246408	-1.069779	0.890854	0.005386	1.312824
-22.490621	-1.198888	0.895859	0.005247	1.312823
-22.551431	-1.186608	0.900864	0.005259	1.312825
-24.194529	-0.811850	0.905869	0.005561	1.312942
-20.240738	-1.420323	0.910874	0.004834	1.313018
-24.047161	-1.093377	0.915878	0.005535	1.312628
-22.727205	-1.159884	0.920883	0.005292	1.312820
-22.643417	-1.234543	0.925888	0.005277	1.312746
-24.884959	-0.944532	0.930893	0.005690	1.312635
-21.782637	-1.361603	0.935898	0.005119	1.312769
-25.184819	-0.905017	0.940902	0.005745	1.312621
-23.257604	-1.066900	0.945907	0.005391	1.312823
-22.741897	-1.343137	0.950912	0.005296	1.312591
-25.448362	-0.895229	0.955917	0.005794	1.312577
-22.910134	-1.214453	0.960922	0.005327	1.312714
-24.582197	-1.217774	0.965926	0.005636	1.312362
-25.561302	-0.748496	0.970931	0.005816	1.312733
-22.867185	-1.311615	0.975936	0.005320	1.312603
-24.883373	-1.253283	0.980941	0.005692	1.312255
-25.528212	-0.893645	0.985946	0.005810	1.312561
-24.740464	-1.152329	0.990950	0.005666	1.312408
-24.928057	-0.996175	0.995955	0.005700	1.312560
-25.162961	-1.132832	1.000960	0.005744	1.312343

-24.477604	-1.179638	1.010957	0.005618	1.312428
-24.765114	-1.078930	1.020954	0.005671	1.312491
-24.861310	-1.122297	1.030950	0.005689	1.312418
-25.090448	-1.076178	1.040947	0.005732	1.312426
-24.638399	-1.184183	1.050944	0.005649	1.312387
-24.435679	-1.175374	1.060941	0.005612	1.312440
-24.734287	-1.039123	1.070938	0.005668	1.312544
-24.734941	-1.106031	1.080934	0.005668	1.312462
-24.369017	-1.154039	1.090931	0.005601	1.312479
-24.134021	-1.209860	1.100928	0.005558	1.312459
-24.151350	-1.145231	1.110925	0.005562	1.312534
-25.003570	-0.985889	1.120922	0.005719	1.312551
-23.791617	-1.189274	1.130918	0.005496	1.312554
-24.631795	-1.075517	1.140915	0.005651	1.312518
-23.755663	-1.185658	1.150912	0.005491	1.312565
-23.402687	-1.225091	1.160909	0.005426	1.312589
-24.660000	-0.998433	1.170906	0.005658	1.312605
-24.179752	-1.112563	1.180902	0.005570	1.312565
