Thu Oct 30 12:35:07 2025

Number of Points = 3591
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-2.767908	1.229798	0.000000	0.001598	1.322741

-3.224489	1.159426	0.005005	0.001682	1.322561
-3.185479	1.067200	0.010010	0.001675	1.322456
-3.761361	0.903763	0.015014	0.001781	1.322138
-6.739261	1.537823	0.020019	0.002329	1.322297
-5.195212	1.595075	0.025024	0.002045	1.322686
-2.758375	1.075020	0.030029	0.001596	1.322554
-3.593784	0.933692	0.035034	0.001750	1.322209
-3.999225	0.834931	0.040038	0.001825	1.322004
-4.114955	0.687103	0.045043	0.001846	1.321800
-4.027139	0.467332	0.050048	0.001831	1.321550
-4.684556	0.389598	0.055053	0.001952	1.321319
-5.352094	0.388335	0.060058	0.002075	1.321179
-4.958958	0.314384	0.065062	0.002002	1.321170
-6.364557	0.558849	0.070067	0.002261	1.321178
-4.860414	0.307893	0.075072	0.001984	1.321182
-3.520094	-0.214876	0.080077	0.001738	1.320820
-6.548674	0.075137	0.085082	0.002296	1.320549
-7.345666	0.378436	0.090086	0.002442	1.320755
-6.062411	0.239508	0.095091	0.002206	1.320850
-5.813002	0.117513	0.100096	0.002160	1.320753
-7.131877	0.247990	0.105101	0.002403	1.320640
-6.748063	0.364336	0.110106	0.002332	1.320861
-4.134905	-0.325264	0.115110	0.001851	1.320558
-6.095662	-0.400391	0.120115	0.002213	1.320061
-7.652099	-0.067103	0.125120	0.002499	1.320146
-6.334594	-0.340014	0.130125	0.002257	1.320085
-7.347099	-0.291510	0.135130	0.002443	1.319935
-7.693950	-0.237046	0.140134	0.002507	1.319930
-7.957534	-0.185939	0.145139	0.002556	1.319938
-7.762440	-0.041751	0.150144	0.002520	1.320154
-7.415502	-0.277625	0.155149	0.002456	1.319938
-7.188451	-0.317885	0.160154	0.002414	1.319935
-6.287056	-0.675666	0.165158	0.002248	1.319684
-10.091679	-0.210880	0.170163	0.002949	1.319466
-10.776095	0.419093	0.175168	0.003075	1.320095
-4.642628	-0.668612	0.180173	0.001946	1.320033
-9.648800	-0.346101	0.185178	0.002868	1.319392
-10.157903	0.144410	0.190182	0.002961	1.319886
-11.329132	0.622873	0.195187	0.003177	1.320229
-8.777222	0.444821	0.200192	0.002707	1.320539
-5.242812	-0.453433	0.205197	0.002056	1.320171
-8.356300	-0.497398	0.210202	0.002630	1.319474
-9.810103	-0.149141	0.215206	0.002897	1.319599
-9.456719	-0.211845	0.220211	0.002832	1.319595
-9.037299	-0.279335	0.225216	0.002755	1.319599
-8.188567	-0.651371	0.230221	0.002599	1.319320
-11.311002	-0.167303	0.235226	0.003174	1.319266
-10.867026	0.000141	0.240230	0.003092	1.319563
-8.705047	-0.451629	0.245235	0.002694	1.319457
-11.232159	-0.063055	0.250240	0.003160	1.319410
-9.736317	-0.316998	0.255245	0.002884	1.319408
-10.823460	-0.224799	0.260250	0.003085	1.319296
-10.141993	-0.346161	0.265254	0.002959	1.319289
-10.460540	-0.286464	0.270259	0.003018	1.319296
-12.410116	0.146747	0.275264	0.003377	1.319423
-9.153165	-0.333891	0.280269	0.002777	1.319508
