Thu Sep 11 10:02:15 2025

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	2.052446	0.000000	0.002037	1.317847

0.228212	2.071930	0.005005	0.001996	1.317917
0.242602	2.084544	0.010010	0.001994	1.317935
0.206701	2.314842	0.015014	0.002000	1.318209
0.155466	2.626041	0.020019	0.002010	1.318578
0.119282	2.976352	0.025024	0.002017	1.318999
0.014673	3.479069	0.030029	0.002036	1.319591
0.098743	4.014619	0.035034	0.002021	1.320262
0.129644	4.630294	0.040038	0.002015	1.321019
0.184620	5.344847	0.045043	0.002005	1.321902
0.136322	6.074317	0.050048	0.002014	1.322781
0.200019	6.937820	0.055053	0.002002	1.323845
0.333950	7.838022	0.060058	0.001977	1.324968
0.435796	8.829629	0.065062	0.001958	1.326195
0.545223	9.844160	0.070067	0.001938	1.327449
0.809283	10.882076	0.075072	0.001889	1.328763
0.935934	12.034103	0.080077	0.001865	1.330185
0.929446	13.264080	0.085082	0.001866	1.331673
1.107825	14.506905	0.090086	0.001832	1.333213
1.368048	15.818769	0.095091	0.001784	1.334851
1.500866	17.201168	0.100096	0.001759	1.336546
1.645437	18.604627	0.105101	0.001732	1.338266
1.822155	20.094112	0.110106	0.001699	1.340095
1.907314	21.657513	0.115110	0.001683	1.341991
2.096213	23.249524	0.120115	0.001647	1.343940
2.373228	24.886794	0.125120	0.001595	1.345958
2.328892	26.628649	0.130125	0.001603	1.348033
2.581667	28.399096	0.135130	0.001555	1.350199
2.736172	30.248213	0.140134	0.001526	1.352435
3.022740	32.119538	0.145139	0.001473	1.354721
3.258726	34.037201	0.150144	0.001428	1.357047
3.628237	35.957235	0.155149	0.001359	1.359400
3.807312	37.952854	0.160154	0.001325	1.361799
4.062745	40.003955	0.165158	0.001277	1.364275
4.525860	42.040512	0.170163	0.001191	1.366771
4.749881	44.123945	0.175168	0.001149	1.369270
4.956574	46.295354	0.180173	0.001110	1.371864
5.125133	48.502387	0.185178	0.001078	1.374487
5.256033	50.786446	0.190182	0.001053	1.377189
5.634713	53.093853	0.195187	0.000982	1.379961
5.767258	55.452461	0.200192	0.000956	1.382738
6.123115	57.863477	0.205197	0.000889	1.385615
6.334344	60.289534	0.210202	0.000849	1.388475
6.702406	62.766483	0.215206	0.000780	1.391419
6.796204	65.339245	0.220211	0.000762	1.394414
7.047576	67.917572	0.225216	0.000714	1.397439
7.431817	70.533062	0.230221	0.000642	1.400526
7.838479	73.150891	0.235226	0.000566	1.403614
8.329347	75.792196	0.240230	0.000474	1.406737
8.599331	78.476706	0.245235	0.000423	1.409861
8.911892	81.199456	0.250240	0.000364	1.413029
9.215626	83.989615	0.255245	0.000307	1.416266
9.516758	86.763924	0.260250	0.000250	1.419476
10.041314	89.576647	0.265254	0.000152	1.422765
10.332211	92.423294	0.270259	0.000097	1.426041
10.696427	95.285298	0.275264	0.000028	1.429340
10.843499	98.264716	0.280269	-0.000001	1.432723
11.240119	101.221866	0.285274	-0.000075	1.436120
11.561111	104.226025	0.290278	-0.000136	1.439547
11.865158	107.277516	0.295283	-0.000193	1.443015
12.401392	110.298527	0.300288	-0.000294	1.446485
12.638394	113.412307	0.305293	-0.000339	1.449993
12.911557	116.572651	0.310298	-0.000391	1.453552
13.338545	119.764971	0.315302	-0.000471	1.457165
13.704788	122.971172	0.320307	-0.000541	1.460774
14.325957	126.124396	0.325312	-0.000657	1.464362
14.604560	129.348888	0.330317	-0.000710	1.467956
14.838535	132.647580	0.335322	-0.000755	1.471616
15.336108	135.921989	0.340326	-0.000848	1.475287
15.547990	139.272741	0.345331	-0.000889	1.478980
15.872377	142.656268	0.350336	-0.000950	1.482721
16.198542	146.101939	0.355341	-0.001012	1.486519
16.584353	149.551057	0.360346	-0.001085	1.490323
17.077802	153.022060	0.365350	-0.001178	1.494159
17.376117	156.516161	0.370355	-0.001235	1.497975
17.688409	160.079298	0.375360	-0.001294	1.501859
18.203715	163.634299	0.380365	-0.001391	1.505759
18.542033	167.228093	0.385370	-0.001455	1.509660
19.104664	170.818203	0.390374	-0.001561	1.513586
19.696589	174.371087	0.395379	-0.001672	1.517467
20.184762	177.953347	0.400384	-0.001764	1.521351
20.609049	181.578201	0.405389	-0.001844	1.525259
20.874251	185.235293	0.410394	-0.001895	1.529164
21.437484	188.910073	0.415398	-0.002001	1.533128
21.881065	192.577939	0.420403	-0.002084	1.537055
