Thu Nov 20 15:53:38 2025

Number of Points = 3586
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.369753	1.947025	0.000000	0.002155	1.320556

1.211926	1.994644	0.005005	0.002184	1.320581
1.604267	1.934911	0.010010	0.002112	1.320589
1.352550	1.967170	0.015014	0.002158	1.320577
1.553694	1.816036	0.020019	0.002121	1.320434
1.428641	1.703291	0.025024	0.002144	1.320271
1.226152	1.736500	0.030029	0.002182	1.320269
2.176652	1.451644	0.035034	0.002007	1.320119
2.375691	1.135134	0.040038	0.001970	1.319774
2.196953	0.869481	0.045043	0.002003	1.319413
2.104216	0.605335	0.050048	0.002021	1.319072
1.868179	0.349174	0.055053	0.002064	1.318711
1.861916	0.064441	0.060058	0.002066	1.318362
1.465961	-0.133934	0.065062	0.002139	1.318038
1.354478	-0.365507	0.070067	0.002160	1.317733
1.288790	-0.543536	0.075072	0.002172	1.317502
0.500338	-0.654723	0.080077	0.002317	1.317203
0.388993	-0.775591	0.085082	0.002338	1.317032
-0.110744	-0.807897	0.090086	0.002430	1.316889
-2.146870	-0.451041	0.095091	0.002805	1.316903
-2.609877	-0.079843	0.100096	0.002890	1.317260
-1.342547	-0.078355	0.105101	0.002657	1.317525
0.461831	-0.482133	0.110106	0.002325	1.317405
0.420559	-0.786842	0.115110	0.002332	1.317024
-0.074666	-0.959089	0.120115	0.002424	1.316711
-0.599567	-1.048428	0.125120	0.002521	1.316494
-2.716673	-0.771478	0.130125	0.002910	1.316393
-2.581277	-0.538984	0.135130	0.002885	1.316705
-0.599184	-0.931202	0.140134	0.002521	1.316637
-0.685662	-1.154279	0.145139	0.002537	1.316346
-1.744008	-1.043249	0.150144	0.002732	1.316262
-1.887806	-1.195226	0.155149	0.002758	1.316047
-1.766370	-1.305311	0.160154	0.002736	1.315937
-1.862126	-1.291715	0.165158	0.002754	1.315934
-1.887669	-1.534696	0.170163	0.002759	1.315632
-1.764749	-1.620810	0.175168	0.002736	1.315552
-3.702905	-1.420136	0.180173	0.003093	1.315395
-3.950659	-1.181026	0.185178	0.003138	1.315636
