Thu Nov 20 10:41:21 2025

Number of Points = 3579
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.234679	2.021908	0.000000	0.002039	1.319611

1.466243	2.005810	0.005005	0.001996	1.319638
1.443286	1.960355	0.010010	0.002001	1.319578
1.227174	1.785514	0.015014	0.002041	1.319319
1.316310	1.770269	0.020019	0.002025	1.319319
1.365443	1.762048	0.025024	0.002016	1.319319
1.386758	1.717670	0.030029	0.002012	1.319269
1.231632	1.520686	0.035034	0.002041	1.318995
1.323087	1.504154	0.040038	0.002025	1.318994
1.225230	1.275059	0.045043	0.002043	1.318693
1.087974	1.230093	0.050048	0.002069	1.318609
1.131247	1.030721	0.055053	0.002061	1.318374
1.089456	0.861154	0.060058	0.002069	1.318158
0.866473	0.753156	0.065062	0.002111	1.317979
0.767647	0.592978	0.070067	0.002129	1.317763
0.811150	0.418241	0.075072	0.002121	1.317557
0.820460	0.226812	0.080077	0.002120	1.317325
0.421082	0.112942	0.085082	0.002194	1.317102
0.426627	-0.074597	0.090086	0.002193	1.316874
0.351352	-0.323040	0.095091	0.002208	1.316553
0.042797	-0.459306	0.100096	0.002265	1.316322
-0.048867	-0.599066	0.105101	0.002282	1.316132
-0.433129	-0.699333	0.110106	0.002353	1.315929
-0.880516	-0.780862	0.115110	0.002436	1.315736
-0.951077	-0.864972	0.120115	0.002449	1.315618
-1.466528	-0.783093	0.125120	0.002544	1.315611
-1.564861	-0.760239	0.130125	0.002563	1.315618
-1.669589	-0.745598	0.135130	0.002582	1.315614
-1.814279	-0.956819	0.140134	0.002609	1.315325
-1.789681	-0.974893	0.145139	0.002605	1.315308
-1.745712	-0.989753	0.150144	0.002597	1.315298
-1.928661	-0.970526	0.155149	0.002631	1.315284
-1.928007	-1.197383	0.160154	0.002631	1.315005
-2.002333	-1.183750	0.165158	0.002645	1.315006
-2.345669	-1.286590	0.170163	0.002709	1.314809
-3.283077	-1.194598	0.175168	0.002882	1.314727
-2.802789	-1.076332	0.180173	0.002793	1.314971
-2.868212	-1.308421	0.185178	0.002806	1.314673
-3.152195	-1.259356	0.190182	0.002858	1.314673
-3.497274	-1.193076	0.195187	0.002922	1.314683
-3.728016	-1.160150	0.200192	0.002965	1.314675
-3.594381	-1.180263	0.205197	0.002940	1.314678
-3.359145	-1.225402	0.210202	0.002897	1.314671
-3.737277	-1.159188	0.215206	0.002967	1.314673
-3.668371	-1.167833	0.220211	0.002955	1.314677
-3.686067	-1.321306	0.225216	0.002958	1.314485
-4.001577	-1.364544	0.230221	0.003017	1.314366
-3.977517	-1.375519	0.235226	0.003012	1.314357
-4.595801	-1.262028	0.240230	0.003127	1.314368
-4.897732	-1.210749	0.245235	0.003182	1.314368
-4.709619	-1.248356	0.250240	0.003148	1.314360
-4.254206	-1.319325	0.255245	0.003064	1.314367
-4.364022	-1.545431	0.260250	0.003085	1.314067
-5.103888	-1.434691	0.265254	0.003221	1.314049
-5.248035	-1.405420	0.270259	0.003248	1.314054
-5.371804	-1.386277	0.275264	0.003271	1.314052
-5.857379	-1.298116	0.280269	0.003361	1.314059
-5.490786	-1.367213	0.285274	0.003294	1.314050
-5.116952	-1.421830	0.290278	0.003225	1.314060
-5.363893	-1.590007	0.295283	0.003271	1.313802
-6.657074	-1.415324	0.300288	0.003509	1.313748
-6.708376	-1.152981	0.305293	0.003519	1.314059
-5.898373	-1.297664	0.310298	0.003370	1.314049
-5.876392	-1.442641	0.315302	0.003366	1.313876
-6.619717	-1.423876	0.320307	0.003503	1.313744
-6.742968	-1.411685	0.325312	0.003526	1.313733
-6.465834	-1.447454	0.330317	0.003475	1.313746
-6.514563	-1.441460	0.335322	0.003485	1.313743
-6.995016	-1.358107	0.340326	0.003573	1.313746
-7.355460	-1.298633	0.345331	0.003640	1.313743
-7.239303	-1.320686	0.350336	0.003619	1.313740
-6.955125	-1.360063	0.355341	0.003567	1.313751
-7.084778	-1.545561	0.360346	0.003591	1.313496
-8.133141	-1.375895	0.365350	0.003784	1.313486
-7.419293	-1.346471	0.370355	0.003653	1.313670
-7.363089	-1.559930	0.375360	0.003643	1.313419
-8.719780	-1.328456	0.380365	0.003893	1.313421
-8.763920	-1.169551	0.385370	0.003901	1.313607
-8.003365	-1.189727	0.390374	0.003761	1.313740
-7.383421	-1.523311	0.395379	0.003648	1.313459
-8.259318	-1.406681	0.400384	0.003809	1.313420
-9.126754	-1.257289	0.405389	0.003969	1.313423
-9.052352	-1.277292	0.410394	0.003956	1.313413
-8.815533	-1.313357	0.415398	0.003912	1.313418
-8.743156	-1.317827	0.420403	0.003899	1.313427
-8.647070	-1.376902	0.425408	0.003882	1.313374
-9.750496	-1.332945	0.430413	0.004085	1.313199
-9.278422	-1.231355	0.435418	0.003998	1.313421
-9.157339	-1.435611	0.440422	0.003977	1.313195
-10.028419	-1.347678	0.445427	0.004137	1.313122
-10.317223	-1.057268	0.450432	0.004190	1.313418
-9.582935	-1.180557	0.455437	0.004055	1.313419
-8.673648	-1.525778	0.460442	0.003888	1.313184
-9.970391	-1.358713	0.465446	0.004127	1.313119
-10.733595	-1.223789	0.470451	0.004268	1.313126
-10.735633	-1.231673	0.475456	0.004269	1.313116
-10.356426	-1.296490	0.480461	0.004199	1.313115
-10.125761	-1.340919	0.485466	0.004157	1.313108
-11.121064	-1.368467	0.490470	0.004341	1.312867
-11.509645	-1.098319	0.495475	0.004412	1.313117
-10.609831	-1.250912	0.500480	0.004247	1.313117
-10.719149	-1.262867	0.505485	0.004267	1.313079
-11.112735	-1.413393	0.510490	0.004340	1.312812
-12.190071	-1.152537	0.515494	0.004539	1.312908
-11.582417	-1.079168	0.520499	0.004427	1.313124
-10.959345	-1.295639	0.525504	0.004312	1.312988
-11.589201	-1.330232	0.530509	0.004429	1.312814
-11.987944	-1.268330	0.535514	0.004502	1.312807
-12.337526	-1.202494	0.540518	0.004567	1.312815
-12.246758	-1.213895	0.545523	0.004551	1.312819
-12.322186	-1.211508	0.550528	0.004565	1.312806
-12.933789	-1.024820	0.555533	0.004677	1.312908
-11.833307	-1.150029	0.560538	0.004475	1.312983
-11.769132	-1.306846	0.565542	0.004464	1.312803
-12.645464	-1.357088	0.570547	0.004625	1.312559
-13.326584	-1.151973	0.575552	0.004751	1.312669
-12.833455	-1.131981	0.580557	0.004660	1.312796
-12.977259	-1.315222	0.585562	0.004687	1.312541
-13.498773	-1.222746	0.590566	0.004783	1.312545
-13.630223	-1.179878	0.595571	0.004808	1.312570
-13.516108	-1.221716	0.600576	0.004787	1.312543
-13.707691	-1.178064	0.605581	0.004823	1.312556
-13.415314	-1.230149	0.610586	0.004769	1.312553
-13.601966	-1.202764	0.615590	0.004804	1.312547
-14.112536	-1.113983	0.620595	0.004898	1.312550
-13.553180	-1.217630	0.625600	0.004795	1.312538
-14.199207	-1.364472	0.630605	0.004914	1.312223
-14.944283	-1.058192	0.635610	0.005052	1.312444
-14.176778	-1.179055	0.640614	0.004911	1.312455
-15.129174	-1.089172	0.645619	0.005086	1.312367
-14.132799	-1.227143	0.650624	0.004903	1.312405
-15.133457	-1.202162	0.655629	0.005088	1.312227
-15.196380	-1.196680	0.660634	0.005099	1.312220
-15.583658	-1.080207	0.665638	0.005171	1.312283
-14.848625	-1.047564	0.670643	0.005036	1.312475
