Thu Oct 30 14:38:36 2025

Number of Points = 3590
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.063064	1.559363	0.000000	0.001970	1.322043

0.722096	1.592920	0.005005	0.002033	1.322014
-0.052736	1.722942	0.010010	0.002176	1.322012
-0.092505	1.723867	0.015014	0.002183	1.322005
0.112750	1.696413	0.020019	0.002146	1.322014
0.505458	1.630631	0.025024	0.002074	1.322015
0.467887	1.505368	0.030029	0.002081	1.321854
0.436329	1.387858	0.035034	0.002087	1.321704
0.300786	1.293879	0.040038	0.002112	1.321561
0.153112	1.179801	0.045043	0.002139	1.321391
0.273126	0.998204	0.050048	0.002117	1.321193
0.380128	0.798653	0.055053	0.002098	1.320971
-0.061831	0.692567	0.060058	0.002179	1.320750
-0.356229	0.536614	0.065062	0.002234	1.320499
-0.208060	0.448460	0.070067	0.002207	1.320421
-0.101877	0.191723	0.075072	0.002187	1.320129
-0.245988	-0.001467	0.080077	0.002214	1.319863
-0.472708	-0.177266	0.085082	0.002256	1.319601
-0.848689	-0.248769	0.090086	0.002325	1.319436
-1.436149	-0.348009	0.095091	0.002434	1.319192
-1.146050	-0.399589	0.100096	0.002380	1.319189
-0.848371	-0.691346	0.105101	0.002326	1.318894
-1.116533	-0.851497	0.110106	0.002375	1.318642
-1.502935	-0.902459	0.115110	0.002447	1.318499
-1.784326	-1.059670	0.120115	0.002499	1.318248
-6.905660	-0.051805	0.125120	0.003442	1.318422
-4.348439	0.127987	0.130125	0.002970	1.319172
-3.391157	0.239147	0.135130	0.002794	1.319506
-3.232757	0.204349	0.140134	0.002765	1.319496
-2.399864	0.066551	0.145139	0.002612	1.319499
-1.746990	-0.246985	0.150144	0.002492	1.319251
-2.023427	-0.461063	0.155149	0.002543	1.318931
-2.882116	-0.506773	0.160154	0.002701	1.318697
-4.205545	-0.359151	0.165158	0.002945	1.318604
-3.272752	-0.338257	0.170163	0.002773	1.318823
-4.294285	-0.383495	0.175168	0.002962	1.318556
-4.455137	-0.108539	0.180173	0.002991	1.318859
-3.460634	-0.288524	0.185178	0.002808	1.318844
-3.970749	-0.428458	0.190182	0.002902	1.318567
-3.897214	-0.436858	0.195187	0.002889	1.318572
-4.623424	-0.310546	0.200192	0.003023	1.318576
-4.645762	-0.306496	0.205197	0.003027	1.318577
-4.001102	-0.429435	0.210202	0.002908	1.318560
-5.557583	-0.352310	0.215206	0.003195	1.318332
-4.694616	-0.290342	0.220211	0.003036	1.318586
-4.993509	-0.253042	0.225216	0.003091	1.318570
-5.056043	-0.475033	0.230221	0.003103	1.318285
-5.463827	-0.240204	0.235226	0.003178	1.318488
-6.128574	-0.298424	0.240230	0.003301	1.318279
-5.014112	-0.252417	0.245235	0.003095	1.318566
-6.228271	-0.273693	0.250240	0.003319	1.318288
-5.269014	-0.217629	0.255245	0.003142	1.318555
-5.000867	-0.599571	0.260250	0.003093	1.318143
-7.458927	-0.102310	0.265254	0.003546	1.318243
-5.882171	-0.359028	0.270259	0.003256	1.318255
-6.332636	-0.285390	0.275264	0.003339	1.318252
-6.569111	-0.245068	0.280269	0.003382	1.318252
-5.457456	-0.488764	0.285274	0.003178	1.318184
-8.357645	-0.088557	0.290278	0.003712	1.318073
-5.470521	-0.335199	0.295283	0.003180	1.318369
-7.905565	-0.225732	0.300288	0.003629	1.317998
-6.946863	-0.158868	0.305293	0.003452	1.318279
-5.740685	-0.571568	0.310298	0.003231	1.318023
-8.358701	-0.194915	0.315302	0.003713	1.317942
-7.598846	-0.115019	0.320307	0.003573	1.318197
-6.809510	-0.446774	0.325312	0.003428	1.317954
-9.059563	0.074295	0.330317	0.003842	1.318126
-6.217966	-0.503130	0.335322	0.003319	1.318008
-7.986189	-0.263928	0.340326	0.003645	1.317934
-8.897967	-0.172659	0.345331	0.003813	1.317857
-7.379517	-0.415456	0.350336	0.003533	1.317874
-10.402280	0.163719	0.355341	0.004090	1.317957
-6.840741	-0.355372	0.360346	0.003434	1.318059
-8.802820	-0.120144	0.365350	0.003795	1.317941
-8.348402	-0.193207	0.370355	0.003712	1.317945
-7.968776	-0.506079	0.375360	0.003642	1.317640
-10.430195	-0.032270	0.380365	0.004095	1.317711
-8.216017	-0.290439	0.385370	0.003688	1.317853
-10.516642	-0.057287	0.390374	0.004111	1.317662
-7.842040	-0.322050	0.395379	0.003619	1.317892
-10.143187	-0.243419	0.400384	0.004043	1.317511
-9.521024	-0.148155	0.405389	0.003928	1.317757
-9.721607	-0.210184	0.410394	0.003965	1.317639
-9.814574	-0.204315	0.415398	0.003983	1.317627
-10.293218	-0.119155	0.420403	0.004071	1.317632
-9.324128	-0.348786	0.425408	0.003893	1.317551
-10.643759	-0.064108	0.430413	0.004136	1.317626
-9.537129	-0.358193	0.435418	0.003932	1.317495
-11.707464	-0.016567	0.440422	0.004332	1.317464
-9.384479	-0.295782	0.445427	0.003904	1.317603
-10.790621	-0.233646	0.450432	0.004163	1.317388
-11.374525	-0.129730	0.455437	0.004271	1.317394
-10.774730	-0.227511	0.460442	0.004160	1.317398
-11.728954	-0.074086	0.465446	0.004336	1.317389
-11.704933	0.105169	0.470451	0.004332	1.317613
-9.037588	-0.592200	0.475456	0.003841	1.317311
-13.531746	0.144257	0.480461	0.004668	1.317282
-11.198568	-0.157465	0.485466	0.004239	1.317396
-11.388711	-0.138471	0.490470	0.004274	1.317380
-11.648348	-0.080413	0.495475	0.004322	1.317397
-11.115065	-0.390701	0.500480	0.004224	1.317127
-14.204171	0.251568	0.505485	0.004792	1.317274
-10.044081	-0.441029	0.510490	0.004027	1.317287
-13.863086	0.033402	0.515494	0.004730	1.317077
-12.187116	0.015052	0.520499	0.004421	1.317402
-11.826742	-0.295209	0.525504	0.004355	1.317096
-13.315392	-0.073166	0.530509	0.004629	1.317059
-12.426564	-0.213593	0.535514	0.004466	1.317071
-13.584978	-0.030149	0.540518	0.004679	1.317056
-12.783432	0.001463	0.545523	0.004532	1.317261
-11.559473	-0.556443	0.550528	0.004307	1.316831
-15.109659	0.130254	0.555533	0.004960	1.316936
-12.149909	-0.362498	0.560538	0.004415	1.316946
-14.958064	-0.034509	0.565542	0.004933	1.316765
-14.174823	0.192804	0.570547	0.004788	1.317207
-11.639358	-0.528332	0.575552	0.004322	1.316848
-14.937732	-0.049791	0.580557	0.004929	1.316751
-14.722048	-0.085103	0.585562	0.004890	1.316752
-14.846807	-0.032999	0.590566	0.004913	1.316790
-14.086425	0.056954	0.595571	0.004773	1.317058
-12.960059	-0.494186	0.600576	0.004566	1.316615
-16.082490	0.119468	0.605581	0.005140	1.316720
-14.348328	-0.147514	0.610586	0.004821	1.316752
