Thu May 21 11:33:46 2026

Number of Points = 3582
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.439790	2.055642	0.000000	0.001027	1.056698

1.176033	2.122775	0.005005	0.001074	1.056649
1.351809	2.057516	0.010010	0.001042	1.056656
1.181455	2.031805	0.015014	0.001073	1.056536
0.903903	1.993403	0.020019	0.001122	1.056345
1.056005	1.938360	0.025024	0.001095	1.056353
0.795206	1.923434	0.030029	0.001141	1.056200
1.033579	1.695762	0.035034	0.001099	1.056030
0.928358	1.651697	0.040038	0.001117	1.055920
0.737227	1.592990	0.045043	0.001151	1.055747
0.813000	1.375024	0.050048	0.001138	1.055506
0.239721	1.529431	0.055053	0.001240	1.055411
0.330949	1.317808	0.060058	0.001224	1.055186
0.031837	1.368752	0.065062	0.001277	1.055099
-0.059119	1.268558	0.070067	0.001293	1.054924
-0.039261	1.152514	0.075072	0.001289	1.054785
-0.426849	1.200279	0.080077	0.001359	1.054648
-0.489449	1.097098	0.085082	0.001370	1.054483
-0.609336	1.137273	0.090086	0.001391	1.054474
-0.842882	1.043221	0.095091	0.001433	1.054234
-0.888764	0.997251	0.100096	0.001441	1.054151
-1.202495	1.117606	0.105101	0.001497	1.054146
-1.191604	0.942254	0.110106	0.001495	1.053926
-1.423607	0.965831	0.115110	0.001536	1.053838
-1.499731	1.004698	0.120115	0.001550	1.053849
-1.315617	0.775848	0.125120	0.001517	1.053649
-1.710407	0.839569	0.130125	0.001587	1.053529
-1.719874	0.800339	0.135130	0.001589	1.053474
-2.055565	0.795664	0.140134	0.001649	1.053296
-2.072512	0.799692	0.145139	0.001651	1.053293
-1.798275	0.576866	0.150144	0.001602	1.053147
-2.367979	0.660120	0.155149	0.001704	1.052962
-2.276718	0.581518	0.160154	0.001688	1.052908
-2.641710	0.522746	0.165158	0.001753	1.052645
-2.881618	0.617038	0.170163	0.001796	1.052644
-2.799691	0.574665	0.175168	0.001781	1.052632
-3.196405	0.494524	0.180173	0.001852	1.052325
-3.087131	0.458986	0.185178	0.001832	1.052335
-3.125244	0.469875	0.190182	0.001839	1.052330
-3.519309	0.392441	0.195187	0.001909	1.052028
-3.563461	0.411603	0.200192	0.001917	1.052031
-3.755480	0.477631	0.205197	0.001951	1.052018
-3.646518	0.323133	0.210202	0.001931	1.051875
-3.824518	0.254297	0.215206	0.001963	1.051695
-4.253705	0.425806	0.220211	0.002040	1.051696
-4.194378	0.409130	0.225216	0.002029	1.051705
-4.569177	0.362191	0.230221	0.002096	1.051452
-4.383112	0.243950	0.235226	0.002062	1.051396
-4.494224	0.285192	0.240230	0.002082	1.051392
-4.630673	0.328064	0.245235	0.002106	1.051378
-4.564660	0.064684	0.250240	0.002095	1.051072
-5.029898	0.248383	0.255245	0.002178	1.051070
-5.157987	0.305453	0.260250	0.002200	1.051078
-5.216749	0.149237	0.265254	0.002211	1.050847
-5.370997	0.164049	0.270259	0.002238	1.050787
-5.294627	0.134112	0.275264	0.002224	1.050788
-5.586049	0.090379	0.280269	0.002276	1.050582
-5.584714	-0.008047	0.285274	0.002276	1.050455
-5.735908	0.046146	0.290278	0.002303	1.050448
-5.980652	0.071424	0.295283	0.002347	1.050355
-6.067672	-0.060789	0.300288	0.002362	1.050140
-6.219505	-0.005735	0.305293	0.002389	1.050133
-6.402112	0.071419	0.310298	0.002422	1.050139
-6.352419	-0.068804	0.315302	0.002413	1.049984
-7.053818	0.083326	0.320307	0.002538	1.049820
-6.765268	-0.024380	0.325312	0.002486	1.049829
-6.850528	-0.001819	0.330317	0.002501	1.049815
-6.873531	0.006200	0.335322	0.002505	1.049814
-7.040458	-0.162872	0.340326	0.002535	1.049510
-7.564507	0.048012	0.345331	0.002629	1.049513
-7.242670	-0.078630	0.350336	0.002571	1.049515
-7.476280	-0.017176	0.355341	0.002613	1.049475
-8.027033	0.083153	0.360346	0.002711	1.049321
-7.825412	-0.095364	0.365350	0.002675	1.049194
-8.432851	0.137828	0.370355	0.002783	1.049183
-8.447206	0.149399	0.375360	0.002786	1.049191
-8.284087	0.075913	0.380365	0.002756	1.049181
