Fri Feb 20 10:36:29 2026

Number of Points = 3589
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.701349	2.208732	0.000000	0.001012	1.015958

0.819060	2.193709	0.005005	0.000993	1.015996
0.647546	2.270572	0.010010	0.001025	1.016003
0.855689	2.188840	0.015014	0.000989	1.016000
1.035550	2.109616	0.020019	0.000959	1.015986
0.849421	2.196099	0.025024	0.000994	1.015998
0.933479	2.035409	0.030029	0.000980	1.015823
0.933162	1.924425	0.035034	0.000982	1.015670
1.007241	1.870361	0.040038	0.000970	1.015633
0.724177	1.779991	0.045043	0.001022	1.015357
0.908092	1.673525	0.050048	0.000991	1.015308
1.037805	1.417560	0.055053	0.000969	1.015030
0.787443	1.330972	0.060058	0.001015	1.014777
0.790539	1.183507	0.065062	0.001016	1.014576
0.610757	1.075180	0.070067	0.001050	1.014331
0.535610	0.942810	0.075072	0.001065	1.014109
0.404393	0.788805	0.080077	0.001090	1.013829
0.328263	0.677019	0.085082	0.001105	1.013634
0.283923	0.550203	0.090086	0.001115	1.013436
-0.028390	0.468341	0.095091	0.001172	1.013155
-0.217340	0.368826	0.100096	0.001207	1.012916
-0.236781	0.185025	0.105101	0.001212	1.012655
-0.490302	0.114073	0.110106	0.001259	1.012420
-0.453030	-0.031411	0.115110	0.001254	1.012240
-0.599242	-0.187887	0.120115	0.001282	1.011948
-0.690840	-0.344542	0.125120	0.001300	1.011684
-0.977266	-0.404065	0.130125	0.001352	1.011446
-1.263595	-0.388572	0.135130	0.001405	1.011310
-1.249394	-0.594244	0.140134	0.001404	1.011037
-1.495038	-0.643748	0.145139	0.001450	1.010834
-1.371933	-0.797603	0.150144	0.001429	1.010689
-1.461533	-0.975720	0.155149	0.001447	1.010397
-1.875406	-1.006743	0.160154	0.001522	1.010129
-1.966675	-1.039588	0.165158	0.001540	1.010032
-2.730609	-0.922230	0.170163	0.001678	1.009776
-2.851340	-0.866260	0.175168	0.001701	1.009782
-2.971708	-0.821117	0.180173	0.001724	1.009773
-3.091802	-0.896550	0.185178	0.001747	1.009603
-3.260304	-0.935077	0.190182	0.001779	1.009456
-3.317807	-0.915571	0.195187	0.001791	1.009447
-3.333946	-0.898624	0.200192	0.001795	1.009457
-3.511179	-0.968705	0.205197	0.001829	1.009263
-3.753159	-0.953708	0.210202	0.001873	1.009149
-3.803535	-0.930658	0.215206	0.001884	1.009148
-3.757131	-1.003222	0.220211	0.001877	1.009071
-4.086681	-1.039442	0.225216	0.001938	1.008841
-4.067410	-1.049550	0.230221	0.001936	1.008833
-4.081590	-1.075789	0.235226	0.001940	1.008786
-4.576655	-1.016751	0.240230	0.002030	1.008595
-4.590980	-1.010043	0.245235	0.002034	1.008592
-5.213443	-0.760043	0.250240	0.002147	1.008590
-4.815036	-0.922038	0.255245	0.002077	1.008581
-4.571698	-1.131114	0.260250	0.002035	1.008426
-5.263705	-0.974440	0.265254	0.002160	1.008261
-5.342482	-0.945574	0.270259	0.002176	1.008253
-5.450483	-0.894102	0.275264	0.002197	1.008259
-5.251720	-0.993787	0.280269	0.002163	1.008227
-5.668134	-1.036545	0.285274	0.002239	1.007942
