Tue May 26 11:05:41 2026

Number of Points = 6521
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
4.883505	2.461293	0.000000	0.000995	1.049409

5.015792	2.403194	0.005005	0.000971	1.049401
5.041540	2.273007	0.010010	0.000967	1.049243
4.932061	2.195273	0.015014	0.000987	1.049083
4.903257	2.202170	0.020019	0.000993	1.049076
4.712906	2.286176	0.025024	0.001027	1.049086
4.740238	2.269363	0.030029	0.001023	1.049077
4.676482	2.200187	0.035034	0.001034	1.048952
4.357291	2.190665	0.040038	0.001092	1.048772
4.485521	2.142712	0.045043	0.001069	1.048775
4.485766	2.143898	0.050048	0.001070	1.048776
4.254575	2.004196	0.055053	0.001111	1.048472
4.274593	1.996798	0.060058	0.001108	1.048471
4.280010	1.887928	0.065062	0.001108	1.048330
4.104503	1.878852	0.070067	0.001139	1.048226
3.940669	1.801649	0.075072	0.001169	1.048038
3.831458	1.726340	0.080077	0.001189	1.047882
3.858516	1.584725	0.085082	0.001185	1.047709
3.673962	1.552484	0.090086	0.001218	1.047570
3.824768	1.302151	0.095091	0.001192	1.047319
3.534317	1.300002	0.100096	0.001244	1.047164
3.090083	1.308035	0.105101	0.001324	1.046942
3.348821	1.119713	0.110106	0.001278	1.046829
2.933983	1.127773	0.115110	0.001352	1.046622
3.027624	0.967679	0.120115	0.001336	1.046459
2.854274	0.924091	0.125120	0.001368	1.046311
2.271481	0.977240	0.130125	0.001472	1.046075
2.453970	0.847710	0.135130	0.001440	1.045999
2.033984	1.008518	0.140134	0.001515	1.045990
1.919445	0.861043	0.145139	0.001536	1.045735
1.627386	0.955122	0.150144	0.001589	1.045705
1.312479	1.072926	0.155149	0.001646	1.045694
1.904727	0.824710	0.160154	0.001540	1.045677
1.077186	0.920920	0.165158	0.001689	1.045369
1.159826	0.890799	0.170163	0.001674	1.045372
1.416343	0.793798	0.175168	0.001629	1.045377
0.970441	0.904761	0.180173	0.001709	1.045289
0.983970	0.723453	0.185178	0.001707	1.045057
0.766687	0.808238	0.190182	0.001746	1.045054
0.809537	0.742064	0.195187	0.001739	1.044988
0.267787	0.778654	0.200192	0.001836	1.044752
-0.280785	0.990302	0.205197	0.001935	1.044742
0.029484	0.871544	0.210202	0.001880	1.044747
-0.182680	0.951621	0.215206	0.001918	1.044740
-0.224678	0.970033	0.220211	0.001926	1.044741
0.068513	0.860033	0.225216	0.001874	1.044749
-0.563758	1.080453	0.230221	0.001987	1.044707
-0.621109	0.924965	0.235226	0.001998	1.044471
-0.810175	0.976486	0.240230	0.002032	1.044439
-0.637269	0.907822	0.245235	0.002002	1.044438
-0.429802	0.829145	0.250240	0.001965	1.044442
-1.331076	0.988148	0.255245	0.002126	1.044178
-1.010186	0.921339	0.260250	0.002069	1.044257
-1.351744	0.949292	0.265254	0.002131	1.044114
-1.458438	0.996957	0.270259	0.002150	1.044120
-1.129253	0.869478	0.275264	0.002092	1.044123
-1.755743	0.908380	0.280269	0.002204	1.043846
-1.588181	0.815424	0.285274	0.002175	1.043810
-1.817359	0.906258	0.290278	0.002216	1.043808
-2.368171	1.122910	0.295283	0.002315	1.043804
-1.825877	0.907936	0.300288	0.002218	1.043804
-2.696754	1.121334	0.305293	0.002375	1.043627
-2.204550	0.881188	0.310298	0.002287	1.043568
-2.149712	0.809427	0.315302	0.002278	1.043501
-2.517708	0.950055	0.320307	0.002344	1.043492
-2.436159	0.783762	0.325312	0.002330	1.043315
-3.309422	1.090554	0.330317	0.002486	1.043261
-2.994598	0.970266	0.335322	0.002430	1.043266
-2.624227	0.825792	0.340326	0.002364	1.043269
-3.580847	0.950319	0.345331	0.002536	1.042930
-3.305597	0.845720	0.350336	0.002487	1.042936
-3.966962	1.105972	0.355341	0.002606	1.042931
-3.930201	1.096654	0.360346	0.002600	1.042937
-3.202668	0.811796	0.365350	0.002470	1.042942
-3.601657	0.843131	0.370355	0.002542	1.042773
-3.551529	0.716478	0.375360	0.002533	1.042631
-4.109553	0.932875	0.380365	0.002633	1.042623
-4.389310	1.045094	0.385370	0.002684	1.042623
-4.416939	0.813482	0.390374	0.002689	1.042302
-4.568206	0.875980	0.395379	0.002716	1.042304
-4.234591	0.749151	0.400384	0.002657	1.042311
-4.741731	0.801812	0.405389	0.002748	1.042113
-5.275887	0.924986	0.410394	0.002844	1.041994
-4.867090	0.758746	0.415398	0.002772	1.041988
-5.425644	0.982535	0.420403	0.002872	1.041989
-5.024785	0.836639	0.425408	0.002801	1.042006
-5.268249	0.925527	0.430413	0.002844	1.041994
-5.850598	1.036141	0.435418	0.002949	1.041833
